SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0006778694,-0.41784005,12.577857,0.0016223179,14.284794,0.0025740791,5.8990553e-09,-0.000575956,-0.35502043,0.17110893,0.0016223179,0.31509398,0.0025740791,1.0805779e-06,-3.570933,-0.59753239,30.630809,5.9761329,-5.4677106,-1.5928763,2.193244e-19,,,,,,,,204.7346,0.61726384,12.577857,331.68085,14.284794,716.52255,3.5214812e-20,15.246052,0.046111723,30.630809,330.63289,-5.4677106,721.91147,0.53198868,337.60116,0.62293004,11.886353,541.95678,13.970242,883.56829,1.6288212e-20,125.87426,0.23482268,29.971665,536.03962,-4.9769276,885.75951,0.0012936057,165.78314,0.30589735,0.17018086,541.95678,0.31345738,883.56829,3.2899931e-05,-252.19111,-0.47148465,28.196802,534.88722,-0.61482169,871.30797,1.8395523e-06,-410.70422,-0.76618257,0.0016187382,536.03962,0.0025074812,885.75951,5.4972369e-37,-296.80233,-0.55369475,5.983679,536.03962,-1.6164414,885.75951,2.9715406e-16,6268.7029,271780.52,1.2323633,721.49211,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00078377792,-0.41917325,10.93059,0.0018698186,6.4207538,0.0025967046,3.1248788e-08,-0.00030584958,-0.16357179,0.37489972,0.0018698186,0.18099211,0.0025967046,0.038143742,-2.7601736,-0.41119313,46.315468,6.7125966,-15.757366,-2.7031073,1.3057793e-08,,,,,,,,139.13982,0.40841841,10.93059,340.67959,6.4207538,641.35719,7.519966e-08,-43.967407,-0.12832439,46.315468,342.62704,-15.757366,658.86484,0.088719071,218.68786,0.38524304,10.845376,567.66207,6.5476068,782.48073,4.8969253e-07,-5.2100849,-0.0093332511,46.43411,558.2283,-15.673441,787.16397,0.90215464,41.731674,0.073514995,0.37593129,567.66207,0.18017025,782.48073,0.3555597,-370.39414,-0.66874166,41.065029,553.86731,-51.097562,748.64352,4.3530182e-13,-399.12822,-0.71499101,0.0018319413,558.2283,0.0024614637,787.16397,7.5489746e-29,-297.30025,-0.53257824,6.7195056,558.2283,-2.7335227,787.16397,2.786634e-14,6153.6592,270639.87,1.2406837,659.63509,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00072758288,-0.39141166,11.309282,0.0018588687,6.6753015,0.002609962,2.8350313e-07,-0.00024675899,-0.13274686,0.39043473,0.0018588687,0.20837925,0.002609962,0.093214026,-2.6274161,-0.38698715,41.396092,6.7894144,-14.180613,-2.790678,1.0329083e-07,,,,,,,,135.42193,0.40298064,11.309282,336.0507,6.6753015,636.60829,1.1587954e-07,-56.897608,-0.16847079,41.396092,337.72982,-14.180613,652.32251,0.024992163,212.86711,0.39266567,11.059743,542.10777,6.9267317,764.11503,3.0651892e-07,-26.1504,-0.048788661,40.734617,535.9934,-13.463963,767.25354,0.52141225,35.192304,0.064917543,0.39192352,542.10777,0.20789757,764.11503,0.41623049,-336.76778,-0.65168915,42.238477,516.76137,-49.455768,727.19211,2.636823e-12,-382.58169,-0.71378059,0.0018069159,535.9934,0.0024522744,767.25354,1.4721926e-28,-287.54437,-0.53646999,6.7746301,535.9934,-2.8788571,767.25354,1.9809406e-14,6130.6861,270485.83,1.2416699,653.93387,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00062330691,-0.34584747,12.422923,0.0018022596,7.5481626,0.0025458354,8.0017813e-06,-0.00026523425,-0.14716762,0.4193021,0.0018022596,0.23797172,0.0025458354,0.064145999,-2.927585,-0.43306615,40.314002,6.7601336,-14.137788,-3.102,2.1535495e-09,,,,,,,,140.56993,0.41364857,12.422923,339.82935,7.5481626,634.58562,5.9774189e-08,-78.100171,-0.22880766,40.314002,341.33548,-14.137788,648.81373,0.0023217235,191.06465,0.36224938,12.470941,527.43956,7.6410503,756.41371,3.1310046e-06,-18.67422,-0.035805941,40.378137,521.53969,-13.822738,756.41066,0.64000669,10.430273,0.019775295,0.4214106,527.43956,0.24033225,756.41371,0.80581561,-307.26208,-0.63515824,41.926201,483.75675,-49.670069,720.37522,2.3041144e-11,-363.80857,-0.69756641,0.0017562805,521.53969,0.0023955312,756.41066,1.5228883e-26,-272.56104,-0.52260843,6.7515016,521.53969,-3.1872832,756.41066,1.6416119e-13,5988.828,270162.66,1.2429278,650.56031,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00076515742,-0.42550964,12.022904,0.0017982141,6.9610926,0.0025264117,2.0345774e-08,-0.0004141222,-0.23029638,0.43139943,0.0017982141,0.25674156,0.0025264117,0.0033930203,-3.2125255,-0.473424,35.855767,6.7857258,-14.098936,-3.3165714,3.6775901e-11,,,,,,,,141.85576,0.41645561,12.022904,340.62637,6.9610926,630.09799,4.3164577e-08,-92.909745,-0.27122814,35.855767,342.55202,-14.098936,640.64233,0.00028277036,218.89255,0.42961072,12.022904,509.5137,6.9610926,730.09498,1.4365608e-08,4.6199548,0.0091861313,35.855767,502.92715,-14.098936,728.72645,0.90396607,81.506307,0.15996882,0.43139943,509.5137,0.25674156,730.09498,0.043318127,-278.42962,-0.60002841,40.828496,464.02741,-48.844823,705.03561,5.1558014e-10,-352.19667,-0.70029362,0.0017672406,502.92715,0.002409656,728.72645,4.064334e-27,-272.01779,-0.54086917,6.7857258,502.92715,-3.3165714,728.72645,1.1031378e-14,6024.14,270059.49,1.243692,640.64233,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00069820241,-0.39333864,13.435541,0.0017750669,6.8938669,0.0025169865,2.448284e-07,-0.00043335386,-0.24413381,0.39240908,0.0017750669,0.22676322,0.0025169865,0.0018027666,-3.463245,-0.50802679,37.709408,6.8170519,-15.450533,-3.4517045,6.1492443e-13,,,,,,,,118.18772,0.33982668,13.435541,347.78822,6.8938669,628.17079,1.0323144e-05,-91.009674,-0.26103446,37.709408,348.65004,-15.450533,636.69751,0.00046664865,210.64438,0.41300682,13.469111,510.0264,6.9317192,725.79615,5.7153672e-08,43.939102,0.087694689,37.817611,501.04633,-15.449734,721.58791,0.24849907,116.04697,0.2275313,0.39322756,510.0264,0.22818049,725.79615,0.0038090841,-273.26999,-0.58172719,41.057402,469.75627,-50.979161,704.43506,2.2534868e-09,-348.29146,-0.69512825,0.0017251711,501.04633,0.0023785908,721.58791,1.3796429e-26,-265.91731,-0.530724,6.7857225,501.04633,-3.5142857,721.58791,4.2018228e-14,5946.4769,269865.25,1.2445081,636.3832,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00056596996,-0.32113767,11.80037,0.0017623904,6.8691131,0.0024864386,3.6704495e-05,-0.00048805795,-0.27692953,0.37759661,0.0017623904,0.19244682,0.0024864386,0.00040968509,-3.6302217,-0.53057735,29.713938,6.8420215,-15.705818,-3.7255747,5.0664395e-14,,,,,,,,164.78477,0.42195836,11.80037,390.52378,6.8691131,633.02472,3.031287e-08,-142.20046,-0.3658745,29.713938,388.65913,-15.705818,639.33094,6.8822142e-07,229.05148,0.44426746,11.836316,515.57114,6.8538507,719.75813,4.9950816e-09,18.566685,0.036555842,29.747376,507.89925,-15.571765,715.51115,0.63301255,113.02051,0.2192142,0.37848376,515.57114,0.19366484,719.75813,0.0056515319,-279.54346,-0.57684791,41.6837,484.60514,-51.954775,709.98106,4.048361e-09,-352.56253,-0.69415839,0.0017032706,507.89925,0.0023434782,715.51115,3.3590286e-26,-270.28333,-0.53215935,6.795242,507.89925,-3.7976879,715.51115,4.8920103e-14,5858.6954,269559.67,1.2455505,638.08881,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00059703424,-0.33732081,11.283663,0.0017699301,6.3312831,0.0025067004,1.5592307e-05,-0.00035459484,-0.20034398,0.40341284,0.0017699301,0.20635987,0.0025067004,0.011876147,-3.4303092,-0.4972085,26.710443,6.8991364,-17.582366,-3.8764368,2.9740443e-12,,,,,,,,192.11729,0.49488506,11.283663,388.20588,6.3312831,621.14698,4.4490278e-11,-137.70259,-0.35803933,26.710443,384.60184,-17.582366,622.05143,1.2308818e-06,271.71046,0.50335434,11.283663,539.79958,6.3312831,706.67035,1.8292152e-11,-15.833792,-0.029905669,26.710443,529.45787,-17.582366,701.63127,0.69525981,113.51508,0.21029116,0.40341284,539.79958,0.20635987,706.67035,0.0082050816,-311.06859,-0.61695032,43.004364,504.20363,-50.014344,697.15284,1.5467046e-10,-368.47804,-0.69595347,0.0017349097,529.45787,0.0023735028,701.63127,1.5877746e-26,-288.50772,-0.54491158,6.8991364,529.45787,-3.8764368,701.63127,7.6461835e-15,5933.7569,269457.12,1.2475323,622.05143,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00059351377,-0.32751485,10.845082,0.0018121736,6.4137611,0.0025314914,3.0001116e-05,-0.00054686693,-0.30177403,0.37655456,0.0018121736,0.22335934,0.0025314914,0.00012893219,-4.2319943,-0.60889466,24.225486,6.9502897,-13.208995,-3.7710227,3.0893289e-19,,,,,,,,160.07102,0.42593696,10.845082,375.80918,6.4137611,613.85531,2.9646373e-08,-124.28133,-0.33434004,24.225486,371.72134,-13.208995,609.28501,5.757196e-06,292.12852,0.52366291,10.845082,557.85604,6.4137611,710.36012,2.3077752e-12,29.275338,0.053525678,24.238306,546.94008,-13.333673,698.64435,0.48173904,161.99262,0.29038427,0.37655456,557.85604,0.22335934,710.36012,0.0002357253,-305.7318,-0.5814894,40.710969,525.77364,-36.500227,704.80671,3.5072559e-09,-375.11871,-0.68584973,0.0017676077,546.94008,0.0024009789,698.64435,1.1628634e-25,-291.84269,-0.53359171,6.9551859,546.94008,-3.8054286,698.64435,2.8921971e-14,6002.4474,269501.42,1.2487398,611.15879,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00091763491,-0.51728829,15.198632,0.0017739333,12.283881,0.0025566437,2.9222982e-12,-0.00046213463,-0.2605141,0.44802963,0.0017739333,0.45390024,0.0025566437,0.00091153854,-5.0093537,-0.73202045,29.994287,6.8431881,1.808398,-3.2285311,5.5649457e-31,,,,,,,,188.63288,0.49823854,15.198632,378.59953,12.283881,616.7641,2.3447153e-11,-10.916643,-0.029437647,29.994287,370.83952,1.808398,617.33497,0.69731174,355.21118,0.61537232,15.198632,577.2297,12.283881,746.42422,6.0935686e-18,218.77334,0.38576073,30.073644,567.12187,1.7625561,745.32419,1.2412002e-07,168.93495,0.29266503,0.44802963,577.2297,0.45390024,746.42422,0.00018143648,-142.90117,-0.26349137,48.128352,542.33719,18.267322,734.29874,0.013667722,-398.43427,-0.70255495,0.0017430213,567.12187,0.002425985,745.32419,1.6751404e-27,-301.77043,-0.5321086,6.849435,567.12187,-3.2605114,745.32419,2.9635514e-14,6064.9624,270028.87,1.2471208,619.16945,1,8
