SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-2.2199746,-0.1475225,3.9363632,15.04838,14.266199,11.529147,0.20346975,-2.3628507,-0.088320274,3.9722063,26.753209,14.12721,-10.301557,0.41871919,-0.0060703707,-0.031255588,3.9363632,0.19421713,14.266199,0.32561171,0.78867661,-2.3789682,-0.13889777,3.9940989,17.127475,14.19214,-5.8326124,0.19424009,8.5288112e-05,0.088935044,15.04838,0.00095899331,11.529147,0.0029488885,0.44487685,0.00043342702,0.45196042,0.19421713,0.00095899331,0.32561171,0.0029488885,4.1603266e-05,-1.6458076,-0.37811636,26.753209,4.3526486,-10.301557,-3.303634,0.00033140456,-114.93362,-0.19058694,3.9940989,603.05089,14.19214,536.91081,0.073612738,20.53671,0.1163313,15.04838,176.53641,11.529147,203.74804,0.31694877,24.222575,0.13567182,26.753209,178.53799,-10.301557,205.92161,0.21293847,49.986726,0.080622635,15.04838,620.00858,11.529147,614.58143,0.48872913,-231.29215,-0.38146165,26.753209,606.33134,-10.301557,554.07319,0.00029029898,-254.58172,-0.41060999,0.19421713,620.00858,0.32561171,614.58143,0.00022944572,-4.7108724,-0.0078117328,17.127475,603.05089,-5.8326124,536.91081,0.94208063,-321.7949,-0.53361152,0.00093936457,603.05089,0.0029251709,536.91081,7.2668383e-08,263.65679,0.43720488,4.3336913,603.05089,-3.3950976,536.91081,1.8360272e-05,7312.9272,290410.02,0.99356667,,1,daily
1.2566761,0.078501155,4.0173769,16.008378,14.200893,7.9090746,0.56523182,3.1118813,0.10163782,4.0379567,30.617355,14.246479,-24.940146,0.39900408,0.058974053,0.17064764,4.0173769,0.34558961,14.200893,0.18725026,0.20858893,2.6765433,0.1022383,4.0631348,26.179458,14.185632,-32.074805,0.34604176,3.7240394e-05,0.031430187,16.008378,0.0011848607,7.9090746,0.0026551973,0.81812758,0.00018084583,0.15263045,0.34558961,0.0011848607,0.18725026,0.0026551973,0.26143087,-1.5069851,-0.32497917,30.617355,4.6371746,-24.940146,-3.0886972,0.005688733,-120.43135,-0.16563454,4.0631348,727.09078,14.185632,573.14167,0.1252261,59.376771,0.28698703,16.008378,206.89706,7.9090746,122.99367,0.031991906,16.585408,0.081316798,30.617355,203.96041,-24.940146,125.28466,0.5002203,152.39885,0.19790972,16.008378,770.04226,7.9090746,858.37942,0.14370746,-213.21413,-0.28054389,30.617355,760.00275,-24.940146,686.89555,0.017800198,-229.43053,-0.29794537,0.34558961,770.04226,0.18725026,858.37942,0.025730792,-333.75025,-0.45902143,26.179458,727.09078,-32.074805,573.14167,7.7596331e-06,-450.01933,-0.61893142,0.001105063,727.09078,0.0028266547,573.14167,1.6651308e-10,267.5264,0.36794085,4.6148313,727.09078,-3.7191092,573.14167,0.00045467265,7066.6368,290032.74,1.0005826,,1,0
0.83042942,0.050845695,3.9737421,16.332345,14.121818,4.8517776,0.71238173,3.8682816,0.098407654,4.0278475,39.308747,14.200694,-11.69038,0.41084845,0.021976457,0.064254797,3.9737421,0.34202048,14.121818,0.20281067,0.64117027,3.1103529,0.11679496,4.0517691,26.630883,14.243023,-32.227651,0.2841996,-7.7943747e-05,-0.064658557,16.332345,0.0012054669,4.8517776,0.0026360412,0.63907111,0.00022872466,0.18973948,0.34202048,0.0012054669,0.20281067,0.0026360412,0.16529984,-0.85988429,-0.19220546,39.308747,4.4737766,-11.69038,-3.1490347,0.10577157,-134.58238,-0.17630844,4.0517691,763.33484,14.243023,589.59042,0.10441,7.402782,0.036171096,16.332345,204.66015,4.8517776,113.23878,0.79318548,23.574741,0.11261866,39.308747,209.33247,-11.69038,127.13535,0.34625539,293.38745,0.36010788,16.332345,814.72099,4.8517776,888.30782,0.0069225856,-341.12728,-0.42796809,39.308747,797.08577,-11.69038,689.14648,0.00017683708,-289.42553,-0.35524497,0.34202048,814.72099,0.20281067,888.30782,0.0077798393,-333.55122,-0.4369658,26.630883,763.33484,-32.227651,589.59042,2.5940847e-05,-485.74665,-0.63634806,0.0011061201,763.33484,0.0028010379,589.59042,4.5631558e-11,259.02874,0.33933829,4.536276,763.33484,-3.7846047,589.59042,0.001392273,7002.5947,289967.45,1.0008934,,1,1
-1.1588768,-0.072684424,3.9782361,15.94395,14.238393,4.2732254,0.59447832,2.8966673,0.088366093,3.9529197,32.780303,14.263571,-23.246974,0.46695856,0.02508369,0.070975911,3.9782361,0.35341132,14.238393,0.20664701,0.60319462,2.0438974,0.077277237,4.0326199,26.448893,14.261047,-31.407279,0.47943501,-0.00031090362,-0.27215136,15.94395,0.0011423923,4.2732254,0.0026416251,0.042444347,0.00031581237,0.27644827,0.35341132,0.0011423923,0.20664701,0.0026416251,0.039162711,-0.56511022,-0.12006588,32.780303,4.7066677,-23.246974,-3.2826786,0.32215309,-140.82882,-0.19144627,4.0326199,735.60496,14.261047,575.49935,0.077430692,-24.845489,-0.11014962,15.94395,225.56128,4.2732254,119.4035,0.4190005,-3.5000553,-0.015325214,32.780303,228.38541,-23.246974,123.59753,0.89979635,311.91109,0.39918005,15.94395,781.37946,4.2732254,852.87317,0.0023067912,-166.74092,-0.21702224,32.780303,768.3126,-23.246974,693.38262,0.071134336,-165.14909,-0.21135581,0.35341132,781.37946,0.20664701,852.87317,0.11788994,-278.12347,-0.37808808,26.448893,735.60496,-31.407279,575.49935,0.00033177377,-448.65467,-0.60991251,0.0010824313,735.60496,0.0028121944,575.49935,4.5665598e-10,279.70716,0.38024099,4.605949,735.60496,-3.75075,575.49935,0.00030472115,7030.4859,290005.36,1.0000601,,1,2
-0.94134682,-0.05911989,3.9749886,15.922675,14.127778,6.5847036,0.67109399,-2.617633,-0.045721231,3.9351129,57.252023,14.078571,-10.890828,0.70703572,-0.0063072824,-0.018661388,3.9749886,0.33798571,14.127778,0.19448233,0.89345359,-0.31649308,-0.012378907,4.0344249,25.567126,14.262209,-30.609698,0.90993404,4.7293866e-06,0.0041647789,15.922675,0.0011355673,6.5847036,0.0026777192,0.97615578,0.00014582707,0.12841781,0.33798571,0.0011355673,0.19448233,0.0026777192,0.35474074,-1.2777567,-0.27831225,57.252023,4.5910904,-10.890828,-3.1175929,0.019653543,-146.99861,-0.19401247,4.0344249,757.6761,14.262209,573.63446,0.073466981,7.6077517,0.034029001,15.922675,223.56671,6.5847036,114.6763,0.80701348,8.1735068,0.038326367,57.252023,213.26067,-10.890828,120.81983,0.75275905,157.91131,0.19123099,15.922675,825.76215,6.5847036,866.12145,0.16599279,-205.42997,-0.25646446,57.252023,801.00755,-10.890828,680.9822,0.032106317,-33.347604,-0.040384031,0.33798571,825.76215,0.19448233,866.12145,0.77186579,-239.90352,-0.31663071,25.567126,757.6761,-30.609698,573.63446,0.0029763848,-453.76984,-0.59889687,0.0010680087,757.6761,0.0027992751,573.63446,1.1213909e-09,315.0963,0.41587204,4.7012063,757.6761,-3.8152035,573.63446,6.8292942e-05,6998.1879,289930.77,1.0008487,,1,3
1.152607,0.064256948,3.8617286,17.937468,13.988596,7.2867885,0.63487769,9.2367171,0.23171322,3.9390387,39.862711,14.158696,-23.440401,0.055396559,0.019846362,0.051283639,3.8617286,0.38699207,13.988596,0.23440414,0.70479587,1.6052578,0.066252648,4.0440627,24.229337,14.311765,-30.226247,0.54688283,-9.8745566e-05,-0.08902734,17.937468,0.00110916,7.2867885,0.0026993169,0.51017821,0.00045242891,0.40790229,0.38699207,0.00110916,0.23440414,0.0026993169,0.0016350518,-0.85128,-0.18594876,39.862711,4.5780353,-23.440401,-3.0253841,0.12607517,-151.86799,-0.20364377,4.0440627,745.7532,14.311765,581.68592,0.061575014,22.602803,0.094832814,17.937468,238.34369,7.2867885,131.63207,0.48287014,-16.524568,-0.073254342,39.862711,225.57801,-23.440401,129.37773,0.54971698,146.67494,0.18307931,17.937468,801.15519,7.2867885,828.53138,0.17283552,-89.996452,-0.11470342,39.862711,784.60128,-23.440401,694.56895,0.34799058,-294.433,-0.36751057,0.38699207,801.15519,0.23440414,828.53138,0.0049185429,-227.15622,-0.30459972,24.229337,745.7532,-30.226247,581.68592,0.0045915402,-442.46746,-0.5933162,0.0010690507,745.7532,0.002795337,581.68592,2.1804438e-09,311.68272,0.41794353,4.7544217,745.7532,-3.7602647,581.68592,6.8922831e-05,6988.3424,289998.98,1.0009632,,1,4
0.080717498,0.0047811812,3.9789344,16.882334,14.032456,7.6322459,0.97184244,5.8363122,0.16636083,3.9626716,35.082251,14.157971,-20.855315,0.17187849,0.0023243803,0.0076140558,3.9789344,0.30527493,14.032456,0.17375769,0.95517285,1.4709243,0.059854372,4.039431,24.575052,14.311765,-28.649018,0.58633985,2.8453657e-05,0.024978189,16.882334,0.0011391401,7.6322459,0.0026832154,0.8536746,-7.3168942e-05,-0.064231732,0.30527493,0.0011391401,0.17375769,0.0026832154,0.6350108,-0.4363719,-0.08755278,35.082251,4.984101,-20.855315,-3.4081594,0.47438842,-154.53826,-0.21068302,4.039431,733.51074,14.311765,577.83423,0.052938165,37.298345,0.17265485,16.882334,216.02836,7.6322459,127.9911,0.19903474,1.6586547,0.0080027931,35.082251,207.25948,-20.855315,130.81234,0.94796478,97.576724,0.12418149,16.882334,785.759,7.6322459,824.04226,0.357391,-136.46552,-0.1775356,35.082251,768.66566,-20.855315,693.76879,0.14445472,-129.75977,-0.1651394,0.30527493,785.759,0.17375769,824.04226,0.21959618,-279.70826,-0.3813281,24.575052,733.51074,-28.649018,577.83423,0.00031738793,-437.42464,-0.59634388,0.001072074,733.51074,0.0027965123,577.83423,1.7218787e-09,298.59094,0.40707098,4.7780827,733.51074,-3.7906235,577.83423,0.00011050367,6991.2807,289977.79,1.0010971,,1,5
-0.021367947,-0.0014118786,4.0390266,15.134408,14.046226,6.753712,0.99199453,6.7430237,0.1411505,3.9960283,47.771872,14.074286,-14.625721,0.2438036,-0.0025509319,-0.0090752413,4.0390266,0.28108695,14.046226,0.14792184,0.94857639,0.81294012,0.034099072,4.0325669,23.840535,14.249405,-29.019167,0.75813566,-2.571551e-06,-0.0022480312,15.134408,0.0011439125,6.753712,0.0026304814,0.9872538,1.6488412e-05,0.01441405,0.28108695,0.0011439125,0.14792184,0.0026304814,0.9184083,-0.95949555,-0.18903772,47.771872,5.0756829,-14.625721,-3.4860786,0.11704626,-139.36694,-0.18350931,4.0325669,759.45433,14.249405,599.40781,0.094739163,24.836558,0.14176774,15.134408,175.19189,6.753712,109.30168,0.31125116,26.344018,0.1534654,47.771872,171.66096,-14.625721,119.54792,0.20465741,216.53927,0.26737825,15.134408,809.86121,6.753712,907.41115,0.052925572,-140.70364,-0.17833848,47.771872,788.96962,-14.625721,707.02944,0.13965145,-133.88825,-0.16532247,0.28108695,809.86121,0.14792184,907.41115,0.23679807,-301.67545,-0.39722659,23.840535,759.45433,-29.019167,599.40781,0.00018309758,-464.60616,-0.61176312,0.0010729252,759.45433,0.002783549,599.40781,6.3267823e-10,307.35505,0.40470511,4.7933468,759.45433,-3.7149702,599.40781,0.00013436179,6958.8726,290051.04,1.0012372,,1,6
-0.87014634,-0.052811152,3.9318962,16.476564,13.898148,7.7459471,0.70449084,8.2480363,0.21080548,3.9562734,39.12629,14.085211,-12.102798,0.077624601,0.011746508,0.032257669,3.9318962,0.3641462,13.898148,0.21992525,0.81688123,0.41532653,0.01793347,4.0393031,23.159295,14.320588,-28.243571,0.87059446,8.7748796e-05,0.081412457,16.476564,0.0010778301,7.7459471,0.0026344836,0.55839225,0.00020503424,0.19022873,0.3641462,0.0010778301,0.21992525,0.0026344836,0.16826529,-1.8805979,-0.37348208,39.12629,5.0353097,-12.102798,-3.5065493,0.0013361676,-116.88915,-0.16916339,4.0393031,690.98373,14.320588,562.12929,0.12169591,13.519609,0.085779619,16.476564,157.60864,7.7459471,119.11961,0.53740764,16.862718,0.11529261,39.12629,146.26017,-12.102798,117.48283,0.33835187,184.48456,0.25204311,16.476564,731.95639,7.7459471,841.05172,0.06597404,-234.77881,-0.32741779,39.12629,717.06186,-12.102798,659.08772,0.0053170294,-228.9595,-0.31280483,0.3641462,731.95639,0.21992525,841.05172,0.021280201,-255.04778,-0.36910822,23.159295,690.98373,-28.243571,562.12929,0.00050851557,-399.01488,-0.57745916,0.0010456512,690.98373,0.002798567,562.12929,7.2226981e-09,276.78727,0.40056988,4.7825027,690.98373,-3.8370588,562.12929,0.00014542673,6996.4176,289919.81,1.0017194,,1,7
-0.54405822,-0.034556086,4.0642308,15.744209,14.012264,7.852284,0.80595579,-7.0773974,-0.16064593,3.9946373,44.055876,14.115,-13.901297,0.18401086,0.03322789,0.11439412,4.0642308,0.29046851,14.012264,0.15298528,0.41471414,-1.0708107,-0.043400687,4.0264075,24.672668,14.257738,-25.388137,0.69505934,-0.00020581936,-0.1861329,15.744209,0.0011057656,7.852284,0.0026548049,0.18205589,3.1130328e-05,0.028152737,0.29046851,0.0011057656,0.15298528,0.0026548049,0.84139658,-1.3073713,-0.26413666,44.055876,4.9496018,-13.901297,-3.4268,0.027137376,-121.80024,-0.1702465,4.0264075,715.43467,14.257738,568.03186,0.12155456,9.1199164,0.063121706,15.744209,144.48146,7.852284,120.73893,0.65341469,8.295234,0.062371657,44.055876,132.99685,-13.901297,113.79824,0.60799152,339.02257,0.44395527,15.744209,763.64127,7.852284,856.68419,0.00086872531,-234.10443,-0.31527427,44.055876,742.54215,-13.901297,670.50678,0.0078501715,-219.60872,-0.287581,0.29046851,763.64127,0.15298528,856.68419,0.036794996,-276.76539,-0.38684929,24.672668,715.43467,-25.388137,568.03186,0.00027796781,-428.76431,-0.59930603,0.0010526169,715.43467,0.0027947667,568.03186,1.7131287e-09,290.1155,0.40550942,4.7649764,715.43467,-3.837375,568.03186,0.0001299064,6986.9167,289900.44,1.0012777,,1,8
