SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.112913,-0.27249839,5.7396331,4.0841087,8.6640682,3.3199903,0.0089702567,-2.9764461,-0.25815663,5.7396331,11.529613,8.6640682,-3.1213521,0.013486894,-0.039939277,-0.24203501,5.7396331,0.16501446,8.6640682,0.22378428,0.020809115,-3.111502,-0.21073014,5.7396331,14.765339,8.6640682,-9.6219297,0.044960507,4.5183004e-06,0.004293709,4.6656438,0.0010523071,3.8690062,0.0018527062,0.96335399,0.00019179786,0.18226415,0.20564621,0.0010523071,0.27048207,0.0018527062,0.04920297,-3.9519919,-0.49428027,11.2601,7.9954474,-3.0885438,-8.9099905,1.4808767e-08,-19.636293,-0.12071305,5.7396331,162.66918,8.6640682,452.63476,0.25437624,105.70314,0.59755867,4.6656438,176.89166,3.8690062,405.69781,1.1402064e-12,-21.819501,-0.12334952,11.2601,176.89166,-3.0885438,405.69781,0.18518113,59.711839,0.35344573,4.6656438,168.94203,3.8690062,434.2533,9.2679415e-05,11.123326,0.065841083,11.2601,168.94203,-3.0885438,434.2533,0.4806238,-9.7616392,-0.057780999,0.20564621,168.94203,0.27048207,434.2533,0.53604548,-104.01196,-0.60353797,17.074104,172.33707,-8.0797772,432.55461,2.3645516e-12,-110.93296,-0.63734483,0.0010430424,174.05485,0.0018616984,426.47877,2.9515698e-15,-89.503806,-0.51422759,7.9014971,174.05485,-8.8379376,426.47877,1.3750807e-09,4654.246,266646.6,1.2420937,406.54854,1,daily
-0.27464929,-0.082201832,6.144847,3.3411578,9.3012179,0.93413308,0.47431375,-1.3051969,-0.094509648,6.0702179,13.810197,9.1679012,-7.4274706,0.40133068,-0.064221936,-0.24871409,6.144847,0.25821591,9.3012179,0.14243424,0.028110049,1.2900672,0.054701193,5.8754156,23.583894,8.8244444,-29.819153,0.6086015,-0.000148084,-0.13732637,3.6343234,0.0010783363,1.125838,0.0017933587,0.17305186,8.4338978e-06,0.0078212132,0.30577398,0.0010783363,0.18801954,0.0017933587,0.93844059,-1.9323466,-0.23729983,13.09429,8.1430593,-6.8378405,-9.5541288,0.015799293,5.3351787,0.029334104,5.8754156,181.87632,8.8244444,370.55936,0.78373362,118.8362,0.49175471,3.6343234,241.65747,1.125838,322.7034,2.0395584e-07,-42.372352,-0.17070716,13.09429,248.2166,-6.8378405,331.02703,0.084703615,80.497757,0.45230592,3.6343234,177.97193,1.125838,362.55989,2.3092968e-06,-31.287642,-0.17618496,13.09429,177.58407,-6.8378405,365.8763,0.075041055,-5.1502883,-0.028938768,0.30577398,177.97193,0.18801954,362.55989,0.77502425,-85.412258,-0.46640557,24.717053,183.12873,-29.325629,352.29701,3.1955383e-07,-104.72512,-0.57135943,0.0011219942,183.29114,0.0018454262,349.44919,7.7120597e-12,-75.934999,-0.41428624,8.7489937,183.29114,-9.666624,349.44919,2.3137782e-06,4613.5656,265803.38,1.2503357,343.41558,1,0
-0.36495617,-0.106563,6.0974322,3.4247926,9.147625,1.1695124,0.34680223,-0.76741145,-0.067529292,6.079488,11.364127,9.0706173,-8.0012173,0.54917179,-0.077548064,-0.26236421,6.1363567,0.2955741,9.1452532,0.1548728,0.019498852,2.3468879,0.094532133,5.8699297,24.826351,8.8096111,-30.785853,0.37547668,-0.00017317632,-0.15597748,3.6018042,0.0011102649,1.107272,0.0018269349,0.11932998,1.2603261e-05,0.011678579,0.36573352,0.0010791776,0.21470654,0.0017750298,0.90913273,-2.0735929,-0.25201353,11.140623,8.2281017,-7.668563,-9.7697553,0.011425214,6.2108771,0.035074814,5.8699297,177.07513,8.8096111,362.10639,0.74276151,110.09925,0.45759013,3.6018042,240.60671,1.107272,326.22354,1.5022867e-06,-83.459957,-0.33736996,11.140623,247.38408,-7.668563,331.10294,0.00059805304,78.443022,0.45135128,3.6018042,173.79594,1.107272,350.02067,2.1670601e-06,-26.892394,-0.15835581,11.140623,169.82259,-7.668563,358.38928,0.11558103,-0.26659104,-0.0015674184,0.36573352,170.08288,0.21470654,358.06682,0.98777883,-79.355145,-0.44717695,25.711237,177.45804,-30.136633,344.25968,1.0897054e-06,-102.89839,-0.58170651,0.001116779,176.89056,0.0018266329,340.44629,2.6176291e-12,-77.133794,-0.43605377,8.7993499,176.89056,-9.8955656,340.44629,5.7526218e-07,4566.5823,265581.15,1.2513872,336.27683,1,1
-0.27585814,-0.089266938,6.0999748,3.0902611,9.2336076,0.86180094,0.43401535,-1.1843488,-0.087965768,6.0674995,13.463746,9.2028125,-8.0157535,0.43780056,-0.047287374,-0.13508425,6.0999748,0.35005839,9.2336076,0.18860309,0.23524059,0.6681382,0.026714344,5.8623438,25.010467,8.793,-30.614083,0.80263647,-0.00012564918,-0.1156491,3.4316957,0.0010864692,0.92896917,0.0018008422,0.24946037,-5.2819765e-05,-0.049460436,0.37216339,0.0010679195,0.22027839,0.001788663,0.62684468,-1.0512164,-0.12656835,12.865052,8.3055232,-7.5804854,-9.8484745,0.20954267,7.7850528,0.045309964,5.8623438,171.81768,8.793,354.45674,0.67152399,97.672511,0.39701834,3.4316957,246.01511,0.92896917,328.96887,3.9464323e-05,-78.185898,-0.31818787,12.865052,245.72243,-7.5804854,333.2446,0.001254658,67.423713,0.40224305,3.4316957,167.61934,0.92896917,344.52729,3.04974e-05,-50.054903,-0.29772473,12.865052,168.12478,-7.5804854,344.58168,0.0026267113,16.033781,0.096064942,0.37216339,166.90564,0.22027839,347.20815,0.34420739,-90.428946,-0.52677064,25.685862,171.66664,-29.862766,335.15638,4.0088299e-09,-100.41695,-0.58367709,0.001103851,172.04195,0.0018099288,331.12734,2.1215679e-12,-77.295271,-0.44928153,8.8870418,172.04195,-10.117712,331.12734,2.3519994e-07,4524.8219,265346.88,1.2522728,334.23721,1,2
-0.17901469,-0.059833782,6.0747756,2.9918666,9.1590625,0.66642546,0.59804111,-0.61621203,-0.054185048,6.1135452,11.372363,9.1563924,-9.4822994,0.63530063,-0.054205241,-0.17613068,6.1135452,0.30775581,9.1563924,0.16211544,0.12049561,0.40006388,0.015382751,5.8542117,26.007304,8.7763889,-30.56549,0.88557773,-5.983314e-05,-0.055511394,3.3818997,0.0010778533,0.79042225,0.0017639469,0.57947239,0.00010296638,0.097125227,0.33863754,0.0010601404,0.20563469,0.0017427175,0.33888331,-1.4503262,-0.17304824,11.245181,8.3810512,-8.7343399,-10.275291,0.086732953,7.5516578,0.045769503,5.8542117,164.99322,8.7763889,348.43316,0.66838709,70.520707,0.29630574,3.3818997,237.9998,0.79042225,329.15775,0.0024956179,-97.916074,-0.40809194,11.245181,239.93631,-8.7343399,331.88183,2.7534448e-05,45.334534,0.289105,3.3818997,156.80993,0.79042225,342.58706,0.0032083574,-34.967566,-0.22661993,11.245181,154.30048,-8.7343399,348.38761,0.024093532,-22.007289,-0.14262618,0.33863754,154.30048,0.20563469,348.38761,0.1590421,-94.666989,-0.57413438,26.206063,164.88647,-29.015181,327.12314,6.7185761e-11,-100.03195,-0.60294793,0.0011138757,165.90479,0.0018092011,322.9578,2.5178465e-13,-81.435383,-0.49085612,8.9714535,165.90479,-10.250435,322.9578,1.0916291e-08,4523.0026,265220.07,1.2523961,335.15427,1,3
-0.23145852,-0.088485722,6.200109,2.6157725,9.2309868,0.58454929,0.44718957,0.0081510706,0.00062651677,6.0255286,13.01014,9.1241358,-8.9091087,0.99557096,-0.075377452,-0.21060363,6.200109,0.35791146,9.2309868,0.19614295,0.067833504,-1.2116237,-0.046158939,5.8446406,26.248951,8.7588333,-30.475137,0.66573317,-9.2977423e-05,-0.085378278,3.1646948,0.0010890056,0.7560393,0.0017250061,0.4056927,-3.3443607e-05,-0.030559802,0.37602221,0.001094366,0.23555314,0.0017278268,0.76755817,-1.4093987,-0.16436294,12.401147,8.5749181,-8.0638125,-10.139903,0.097106261,-3.1771677,-0.018888596,5.8446406,168.2056,8.7588333,347.53874,0.85974101,53.282978,0.26675006,3.1646948,199.7487,0.7560393,299.30625,0.0082621521,-89.15964,-0.41437578,12.401147,215.16615,-8.0638125,314.70963,1.3526453e-05,41.529995,0.25859821,3.1646948,160.59661,0.7560393,340.14878,0.010541522,-55.431772,-0.3433228,12.401147,161.45672,-8.0638125,336.5624,0.00038468221,1.1645151,0.0072552404,0.37602221,160.50676,0.23555314,341.89922,0.94406929,-100.05121,-0.59618729,26.040439,167.81843,-28.642207,325.14781,7.9343944e-12,-95.334389,-0.56830574,0.0011161306,167.75194,0.0017997364,320.34774,1.0533212e-11,-77.034791,-0.45921849,9.0634271,167.75194,-10.377037,320.34774,1.1712668e-07,4499.341,265102.73,1.2534199,325.20766,1,4
-0.45414697,-0.09836304,6.1237548,4.6170489,9.1541026,1.0353327,0.39157001,1.0397729,0.078284708,6.0613703,13.281942,9.086125,-8.6137763,0.49004328,-0.064457157,-0.19862639,6.1237548,0.32451457,9.1541026,0.18003872,0.081278772,0.47468266,0.018463252,5.835631,25.709591,8.742,-28.462305,0.86286833,3.3317359e-05,0.030164549,4.701885,0.0011045204,1.3329442,0.0017631401,0.76576357,2.7450138e-05,0.024855708,0.35586782,0.0011043796,0.22698097,0.0017743787,0.80706974,-1.4271936,-0.16709671,12.614233,8.5411232,-7.6981504,-10.085894,0.094887166,-15.937447,-0.094758244,5.835631,168.19061,8.742,346.74721,0.37433055,91.622661,0.43759095,4.701885,209.3797,1.3329442,310.51112,5.2978578e-06,-88.801309,-0.42285258,12.614233,210.00536,-7.6981504,312.27817,1.056879e-05,64.881631,0.40035478,4.701885,162.06034,1.3329442,337.4077,3.671811e-05,-66.414019,-0.40791217,12.614233,162.8145,-7.6981504,336.03477,2.2943735e-05,-5.3474895,-0.032873681,0.35586782,162.6678,0.22698097,338.24449,0.74667841,-99.338089,-0.58979857,24.984281,168.42715,-26.194987,326.24886,1.4979688e-11,-89.805334,-0.53285775,0.0011072714,168.53529,0.0017880237,321.01949,3.1448364e-10,-72.379683,-0.42946307,9.1173263,168.53529,-10.457931,321.01949,8.8583454e-07,4470.0594,265021.16,1.2543743,316.88273,1,5
-0.56852048,-0.10434102,6.0632653,5.4486769,9.0515,1.160504,0.35700667,0.55346153,0.044632185,6.1017442,12.400503,9.0451899,-7.8788712,0.69611423,-0.052628339,-0.14686485,6.1017442,0.35834536,9.0451899,0.21101084,0.19650503,0.45162301,0.017208259,5.829224,26.24455,8.725,-27.633906,0.87210776,-1.4304896e-05,-0.01314484,5.674863,0.0010882518,1.3288499,0.0017746504,0.89619831,4.5526713e-05,0.04168216,0.363,0.001092235,0.22760187,0.0017908545,0.68206772,-1.6394674,-0.19244504,16.103414,8.519146,-8.98764,-9.9845587,0.055082303,-24.389827,-0.14765509,5.829224,165.18108,8.725,347.6787,0.1648863,119.09645,0.56246902,5.674863,211.73869,1.3288499,301.29464,9.2827996e-10,-60.211664,-0.28477777,16.103414,211.43387,-8.98764,303.28505,0.0040828701,80.614258,0.49588571,5.674863,162.5662,1.3288499,336.93005,1.3426888e-07,-27.284969,-0.16734817,16.103414,163.04313,-8.98764,337.8745,0.096072487,8.9496435,0.05480153,0.363,163.3101,0.22760187,339.22457,0.59006045,-92.747051,-0.55552586,25.541027,166.95361,-25.50165,328.19036,3.6160355e-10,-87.133686,-0.52002063,0.0011015216,167.55813,0.0017817392,322.34691,9.7907838e-10,-70.401724,-0.42016298,9.1274835,167.55813,-10.47819,322.34691,1.6042404e-06,4454.348,264988.1,1.2550449,312.41681,1,6
-0.44186265,-0.091066303,6.0722577,4.8520983,9.0911392,1.2150029,0.42476952,0.52210904,0.040138127,6.0722577,13.007808,9.0911392,-7.5726891,0.72543032,-0.043917952,-0.11273022,6.0722577,0.38958455,9.0911392,0.2452964,0.32258731,0.020884436,0.00081633075,5.8213773,25.583302,8.7087778,-26.702049,0.9939073,-5.6482118e-05,-0.051056213,5.1466795,0.0011062732,1.3868492,0.001839904,0.61575286,0.00010553252,0.095259442,0.40108968,0.0011078431,0.27550005,0.0018303442,0.35079679,-2.0624389,-0.23976227,12.453954,8.6020161,-7.3367204,-9.8818564,0.017413135,-32.256813,-0.20185868,5.8213773,159.79899,8.7087778,337.58093,0.056401457,117.56049,0.56035445,5.1466795,209.79665,1.3868492,294.67067,1.6280417e-09,-73.436684,-0.34882482,12.453954,210.52597,-7.3367204,295.88385,0.00043133536,76.979852,0.48028766,5.1466795,160.27864,1.3868492,325.92865,4.8825003e-07,-21.700722,-0.1353829,12.453954,160.29146,-7.3367204,327.54319,0.18379689,13.09282,0.081681333,0.40108968,160.29146,0.27550005,327.54319,0.42396208,-83.168876,-0.51510041,25.209728,161.46148,-24.787369,319.04344,9.9979704e-09,-85.038054,-0.52245625,0.0011006652,162.76589,0.0017822505,313.38395,7.9216071e-10,-70.435878,-0.43274349,9.1218981,162.76589,-10.535875,313.38395,7.1536587e-07,4455.6262,264919.65,1.2558815,306.45945,1,7
-0.79767362,-0.18170959,6.0867219,4.3898268,9.0301266,1.6016737,0.10900076,-0.78618407,-0.063304654,6.0941459,12.419056,8.9906329,-5.1312341,0.57940636,-0.0098980675,-0.037755346,6.1259382,0.26216334,9.0248718,0.13933042,0.74277579,-2.016422,-0.089036254,5.8128173,22.647202,8.6931667,-9.1965956,0.40398576,-4.4182753e-05,-0.040065948,4.7541173,0.0011027507,1.9853548,0.0018164817,0.69527918,0.00010226313,0.092433502,0.32028445,0.0011063427,0.19782411,0.0018095687,0.36785817,-2.9174624,-0.34705217,11.778913,8.4064086,-4.693431,-9.6934845,0.00046344936,-28.226219,-0.17564916,5.8128173,160.69658,8.6931667,360.8687,0.097729379,136.71196,0.6201772,4.7541173,220.44016,1.9853548,307.2746,9.7548447e-12,-40.045217,-0.18188975,11.778913,220.16203,-4.693431,307.04222,0.073053252,74.304217,0.46333634,4.7541173,160.36777,1.9853548,352.80366,1.552591e-06,-17.226496,-0.10746475,11.778913,160.29903,-4.693431,352.85864,0.2922261,15.350525,0.096015695,0.32028445,159.87516,0.19782411,354.87697,0.34950508,-67.533619,-0.41050544,23.483641,164.51334,-6.5713964,340.96525,9.2744573e-06,-90.110804,-0.53950456,0.0010927457,167.0251,0.0017887406,334.3588,1.7139077e-10,-75.227983,-0.45039927,8.8701837,167.0251,-10.216226,334.3588,2.1769931e-07,4471.8515,265228.26,1.255051,309.62421,1,8
