SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.33936027,0.029833624,3.6228162,11.375093,20.636643,8.847146,0.78636009,0.33032712,0.018551468,3.7091401,17.805983,20.732325,-22.291323,0.86537479,0.018780852,0.14216176,3.6228162,0.13210902,20.636643,0.28333039,0.19433429,3.0028471,0.15689648,3.7091401,19.139034,20.732325,-1.6685329,0.14911667,4.8587105e-05,0.057694598,11.619082,0.00084214306,9.189146,0.0033543086,0.59555852,5.5915661e-05,0.066396867,0.13088408,0.00084214306,0.28260978,0.0033543086,0.54118231,-1.4999263,-0.41438984,17.918854,3.6196021,-22.108698,-0.64307611,5.9761682e-05,-90.457246,-0.2051091,3.7091401,441.02015,20.732325,558.03244,0.058163347,16.084499,0.10536424,11.619082,152.65615,9.189146,199.41174,0.33141656,9.4256038,0.061212361,17.918854,153.98203,-22.108698,202.18013,0.57102393,173.34598,0.39423189,11.619082,439.70561,9.189146,567.32701,0.00015797374,-181.28795,-0.41307884,17.918854,438.8701,-22.108698,563.21459,6.3400779e-05,-159.71184,-0.36322447,0.13088408,439.70561,0.28260978,567.32701,0.00054455716,-54.538613,-0.12427051,18.968393,438.8701,-1.4868856,563.21459,0.24867632,-183.7089,-0.41859517,0.00083778973,438.8701,0.0033512218,563.21459,4.9357603e-05,211.96944,0.48298901,3.6196021,438.8701,-0.64307611,563.21459,1.8791311e-06,8378.0545,290748.19,1.0208258,,1,daily
-1.1369592,-0.059391931,3.6734875,19.143328,20.670258,6.8750337,0.60311079,-0.13743475,-0.0047484297,3.6820961,28.943199,20.732163,-29.670792,0.96601688,0.0058066132,0.017464307,3.6734875,0.33248461,20.670258,0.18817947,0.87858471,4.9928467,0.16627029,3.8043782,30.028496,20.866899,-41.891579,0.13301962,6.8971622e-05,0.06627053,20.047239,0.0010407586,7.6164294,0.0032139367,0.556659,0.000147213,0.14144779,0.32961461,0.0010407586,0.18353306,0.0032139367,0.20781821,-1.7757745,-0.45402234,29.979015,3.9112052,-30.476277,-0.92293529,1.2752773e-05,-164.471,-0.28787445,3.7897276,571.32892,20.839487,587.75655,0.0079228167,24.995397,0.15007768,20.047239,166.54973,7.6164294,97.885869,0.18112692,8.9865221,0.048341574,29.979015,185.89635,-30.476277,105.58937,0.66041136,184.06058,0.31750367,20.047239,579.71166,7.6164294,635.21461,0.003873897,-245.86321,-0.42436425,29.979015,579.36835,-30.476277,608.2544,5.17555e-05,-164.47791,-0.28372365,0.32961461,579.71166,0.18353306,635.21461,0.010264065,-216.09879,-0.37096108,29.812865,582.53762,-42.301771,603.27283,0.00047399857,-347.15952,-0.59924334,0.0010227725,579.3298,0.0032296588,601.51648,1.090712e-09,239.49074,0.41339276,3.8885605,579.3298,-0.92917442,601.51648,7.6204229e-05,8074.147,290400.02,1.029291,,1,0
-2.2356159,-0.10102381,3.6522469,22.129594,20.593443,5.7730826,0.37568412,-0.024010866,-0.00070620765,3.6877956,33.999725,20.723892,-36.096251,0.99494441,-0.019290029,-0.051803871,3.6522469,0.37236655,20.593443,0.23802977,0.65025467,3.6958856,0.12336444,3.8081095,29.959084,20.859414,-42.174634,0.26652132,2.5964986e-05,0.025278883,22.36828,0.0010271413,6.2381414,0.0031765944,0.82274985,0.00024853727,0.24196988,0.36955637,0.0010271413,0.23215249,0.0031765944,0.029530432,-1.5280376,-0.3829435,34.122434,3.9902431,-36.482108,-1.0947941,0.00029780049,-165.8438,-0.28341152,3.7941819,585.16957,20.830787,586.01805,0.008991273,2.3676758,0.014926132,22.36828,158.62621,6.2381414,95.19691,0.89478293,1.8369778,0.0095249671,34.122434,192.85922,-36.482108,105.0574,0.93105499,191.83539,0.32394638,22.36828,592.18255,6.2381414,631.04034,0.0031757105,-222.0874,-0.37591954,34.122434,590.7844,-36.482108,604.51686,0.00039190918,-235.44522,-0.39758892,0.36955637,592.18255,0.23215249,631.04034,0.00023745496,-206.06161,-0.34714962,29.796883,593.58154,-42.701655,600.00399,0.0011337983,-348.58047,-0.59045428,0.0010141542,590.3598,0.0031986776,598.04269,2.1823833e-09,247.89912,0.41991192,3.9669902,590.3598,-1.0999535,598.04269,5.7017362e-05,7996.694,290234.37,1.0294422,,1,1
-2.140428,-0.10217813,3.6646827,20.948004,20.603525,8.8352902,0.37337129,2.4872586,0.088524782,3.6820963,28.096749,20.705554,-32.909316,0.42612956,0.0069983213,0.021013765,3.6646827,0.3330351,20.603525,0.19047961,0.85510221,4.765402,0.16158685,3.7997916,29.491274,20.841419,-39.755294,0.14445227,-9.1593926e-05,-0.092626762,21.318465,0.00098884949,9.3540385,0.0031200818,0.41381481,0.00019935946,0.20160749,0.33015156,0.00098884949,0.18571762,0.0031200818,0.072922608,-1.7462132,-0.43115336,28.416584,4.0500977,-33.334931,-1.0981647,3.7988518e-05,-130.04765,-0.22554804,3.7867064,576.58515,20.8116,594.69063,0.039124975,119.33917,0.55713496,21.318465,214.20154,9.3540385,112.97873,7.9893477e-08,-4.5139412,-0.021566509,28.416584,209.30328,-33.334931,111.50634,0.84467893,170.0885,0.29215455,21.318465,582.18671,9.3540385,647.27871,0.0085480049,-249.38921,-0.42858692,28.416584,581.88713,-33.334931,612.99108,4.2732605e-05,-190.4503,-0.32712925,0.33015156,582.18671,0.18571762,647.27871,0.0030581177,-216.63201,-0.37025972,29.18431,585.08121,-40.007534,607.01436,0.00048680362,-332.61392,-0.57184003,0.0009908103,581.65554,0.0031743389,606.41949,8.8713822e-09,258.4621,0.44435595,4.0264237,581.65554,-1.1027093,606.41949,1.8196373e-05,7935.8473,290226.3,1.0288437,,1,2
2.3142344,0.11169986,3.7493295,20.718328,20.796197,7.4427857,0.32705809,1.6008446,0.048159458,3.6820475,33.240503,20.704592,-29.196992,0.66548664,0.030799996,0.080016199,3.7493295,0.38492201,20.796197,0.25526743,0.48331004,5.8526525,0.19265103,3.796759,30.379555,20.840132,-37.486696,0.081001892,9.3600258e-06,0.009488457,21.604469,0.00098646449,8.2378691,0.0031272217,0.93300023,8.6306069e-05,0.087490295,0.38216442,0.00098646449,0.24896453,0.0031272217,0.43735643,-1.6382621,-0.4119255,33.764789,3.9770834,-29.807204,-1.2365412,8.9682323e-05,-115.413,-0.20309903,3.7841889,568.25972,20.809584,572.82409,0.063896113,31.938238,0.15963068,21.604469,200.07581,8.2378691,107.19114,0.15459354,-20.214914,-0.10327876,33.764789,195.73156,-29.807204,104.5355,0.34690824,100.27054,0.1736232,21.604469,577.5181,8.2378691,617.41822,0.1211127,-143.06829,-0.24864753,33.764789,575.38593,-29.807204,592.40643,0.021753825,-187.17691,-0.3241057,0.38216442,577.5181,0.24896453,617.41822,0.0031599726,-217.52567,-0.37626535,30.038361,578.11773,-37.516762,583.51438,0.00038670182,-329.05623,-0.57213105,0.00098893459,575.14135,0.0031811739,585.92431,8.6847821e-09,240.25038,0.41772405,3.953887,575.14135,-1.2415,585.92431,6.2888719e-05,7952.9349,290070.83,1.0296769,,1,3
-1.5082122,-0.092380833,3.7410134,16.326029,20.662411,4.3341451,0.41506099,-0.99291412,-0.033762189,3.6965122,29.409056,20.685533,-28.484549,0.76188239,0.01120645,0.044949295,3.7410134,0.24931315,20.662411,0.15551846,0.69217037,5.2842788,0.17499606,3.8075526,30.196559,20.82205,-37.157129,0.11357012,-3.2843103e-05,-0.033779434,17.621038,0.00097228105,5.1977583,0.0031506522,0.76320417,0.00015204154,0.15637613,0.24739629,0.00097228105,0.15172532,0.0031506522,0.16063041,-2.0965976,-0.50613316,29.946634,4.1423833,-29.058723,-1.2449294,7.7482135e-07,-107.85013,-0.18492788,3.7961528,583.20103,20.789685,560.97896,0.092171089,20.261299,0.10994581,17.621038,184.28442,5.1977583,102.21115,0.32545872,-9.7014792,-0.053475888,29.946634,181.41782,-29.058723,100.72344,0.62691649,242.97327,0.41057467,17.621038,591.78827,5.1977583,603.86036,0.00012751206,-221.79045,-0.37428,29.946634,592.57895,-29.058723,581.83989,0.0004174841,-188.83957,-0.31909988,0.24739629,591.78827,0.15172532,603.86036,0.0034777727,-197.61587,-0.33177491,29.902919,595.63236,-36.969203,573.89503,0.001922919,-324.99816,-0.54875132,0.00097490076,592.25035,0.003193915,575.24369,4.4957171e-08,285.392,0.48187729,4.1181613,592.25035,-1.2494884,575.24369,2.6332548e-06,7984.7874,290079.31,1.0297898,,1,4
0.14465937,0.0073983999,3.7530527,19.552791,20.620807,5.618378,0.94874184,1.3103026,0.032171159,3.7024395,40.729106,20.659515,-33.950838,0.77279336,-0.025816057,-0.076022675,3.7530527,0.33958364,20.620807,0.2189125,0.50827097,5.9175591,0.19679066,3.8099814,30.070325,20.797386,-38.237774,0.074563676,-5.6421311e-05,-0.057819928,20.312758,0.00097581081,6.3653637,0.0031106886,0.61044076,5.7303137e-05,0.058723614,0.35368954,0.00097581081,0.22843968,0.0031106886,0.60486276,-1.7486844,-0.40686496,40.93281,4.2979479,-34.405273,-1.2758882,0.00011147924,-99.519026,-0.16337806,3.8001195,609.13335,20.76291,567.74549,0.13755829,23.155048,0.13930826,20.312758,166.21447,6.3653637,100.38528,0.21779214,-8.1804121,-0.050488187,40.93281,162.02626,-34.405273,98.516906,0.64632114,251.68919,0.40822772,20.312758,616.54114,6.3653637,626.14049,0.00017059784,-236.13329,-0.38218671,40.93281,617.84799,-34.405273,587.47284,0.0003068342,-157.02844,-0.25469255,0.35368954,616.54114,0.22843968,626.14049,0.022612139,-221.65094,-0.35702248,29.862559,620.83188,-38.139891,580.17037,0.00079620108,-331.93526,-0.53780164,0.00097754556,617.2076,0.0031765009,580.91354,9.307795e-08,313.69765,0.50825305,4.2761086,617.2076,-1.2945872,580.91354,5.8616674e-07,7941.2521,290042.9,1.0298082,,1,5
1.6550022,0.088101294,3.8226427,18.78522,20.6512,5.2578218,0.45227486,-3.4318622,-0.10417214,3.7226743,32.944147,20.664197,-32.218712,0.35165996,-0.025743298,-0.082672691,3.8226427,0.31138817,20.6512,0.19511697,0.48071711,3.233197,0.10819552,3.826956,29.882911,20.804357,-38.985403,0.33326662,2.6813059e-05,0.02780161,19.805705,0.00096444265,6.2772167,0.0030663965,0.8090749,0.00011203423,0.11616475,0.30758909,0.00096444265,0.18761247,0.0030663965,0.31115131,-1.6147273,-0.38338176,33.456484,4.2118001,-33.06497,-1.5396059,0.0002926815,-45.705344,-0.081279352,3.8181807,562.32417,20.767702,526.02842,0.46510297,17.899438,0.12495833,19.805705,143.24326,6.2772167,95.425243,0.27568518,-8.3439106,-0.059633541,33.456484,139.91976,-33.06497,97.290174,0.58772449,202.97332,0.33690428,19.805705,602.46584,6.2772167,619.17673,0.0025603116,-251.10406,-0.41631649,33.456484,603.15666,-33.06497,566.75488,7.4044223e-05,-234.26643,-0.38884599,0.30758909,602.46584,0.18761247,619.17673,0.000434343,-272.19989,-0.44958873,29.452624,605.44198,-39.035177,557.9792,1.5855693e-05,-326.17025,-0.54150052,0.00096486093,602.34521,0.0031496604,560.5587,7.3002839e-08,291.51592,0.48396819,4.194776,602.34521,-1.5672209,560.5587,2.3481859e-06,7874.1509,289750.33,1.030293,,1,6
-0.14310127,-0.0086406343,3.7970333,16.561431,20.670439,0.49170596,0.94134888,1.6528005,0.054488619,3.7404421,30.332949,20.624313,-33.447292,0.63119357,0.039303346,0.11640468,3.7970333,0.33764405,20.670439,0.21574995,0.31995604,0.85480462,0.029279036,3.8184466,29.195108,20.799914,-37.849144,0.79400103,-0.0001517863,-0.15731882,18.129734,0.00096483243,1.8164407,0.0030955836,0.16896023,0.0001116178,0.11568621,0.33362496,0.00096483243,0.20745187,0.0030955836,0.31316237,-1.9180208,-0.4725244,31.036393,4.0590936,-34.666393,-1.5340663,6.4717777e-06,-52.207005,-0.097544939,3.8102927,535.20978,20.762593,511.82676,0.38032699,15.683458,0.11711554,18.129734,133.9144,1.8164407,97.723007,0.3071804,13.16045,0.097626342,31.036393,134.8043,-34.666393,102.61487,0.37992765,252.63014,0.44291634,18.129734,570.37891,1.8164407,590.07314,4.891895e-05,-265.50121,-0.46781739,31.036393,567.53173,-34.666393,560.78619,8.2209351e-06,-194.91685,-0.34173222,0.33362496,570.37891,0.20745187,590.07314,0.0021977425,-248.9665,-0.43728285,28.749142,569.34889,-38.079421,538.44454,2.8570182e-05,-300.6635,-0.53053232,0.00095784338,566.72043,0.0031693318,541.54651,1.4878207e-07,243.30282,0.42931718,4.0212416,566.72043,-1.6212384,541.54651,3.7123593e-05,7923.3296,289676.46,1.0303964,,1,7
1.0157103,0.057786175,3.8833946,17.577048,20.756388,4.5909217,0.62724384,-2.1608435,-0.060012727,3.7660391,36.006421,20.68627,-31.775461,0.59694477,-0.021086545,-0.064810116,3.8833946,0.32535886,20.756388,0.19274347,0.58592291,0.48622515,0.015980821,3.8218247,30.425544,20.800302,-34.892889,0.88668512,-2.4977417e-05,-0.025655979,17.866577,0.00097355152,5.2273532,0.0031073917,0.82587661,0.0002159638,0.22183089,0.32074844,0.00097355152,0.185646,0.0031073917,0.054117475,-1.3158557,-0.31614226,35.69517,4.1622265,-32.227855,-1.6360181,0.0035960327,-71.515268,-0.14249122,3.8152835,501.89244,20.761005,498.80807,0.19877909,17.257831,0.13277282,17.866577,129.98015,5.2273532,104.2676,0.25288339,5.0556567,0.038853598,35.69517,130.12068,-32.227855,108.48683,0.72728705,179.76229,0.32316157,17.866577,556.26136,5.2273532,572.46621,0.0044078881,-206.24358,-0.37356885,35.69517,552.08987,-32.227855,531.35949,0.0005040423,-239.06568,-0.42977222,0.32074844,556.26136,0.185646,572.46621,0.00010688093,-191.85492,-0.35135221,30.027847,546.04728,-35.009428,525.57293,0.00097676708,-272.42985,-0.49945545,0.00095963329,545.45375,0.0031757949,531.33973,9.8116308e-07,242.80658,0.44514604,4.1104062,545.45375,-1.6512558,531.33973,1.7510889e-05,7939.4873,289626.63,1.0301356,,1,8
