SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.0817983,0.2972344,10.449483,10.368242,22.534717,11.148178,0.0018766556,-9.9279155,-0.55138122,10.449483,18.005538,22.534717,-11.314812,7.5214122e-10,-0.0035852964,-0.024156118,10.449483,0.14842188,22.534717,0.32341405,0.80492836,-2.0339058,-0.13138968,10.449483,15.479951,22.534717,3.0363384,0.17733755,0.00029041641,0.32615376,10.368242,0.00089042792,11.148178,0.0032571648,0.00060718281,0.00011561903,0.12984659,0.14842188,0.00089042792,0.32341405,0.0032571648,0.1825257,-1.0882084,-0.24905025,18.005538,4.369433,-11.314812,-0.56052003,0.0096862568,15.44259,0.05903596,10.449483,261.57939,22.534717,529.49614,0.54582554,98.609426,0.65268249,10.368242,151.0833,11.148178,188.4028,2.5905673e-14,-47.261462,-0.31281724,18.005538,151.0833,-11.314812,188.4028,0.0010360907,115.24385,0.44056932,10.368242,261.57939,11.148178,529.49614,2.0442385e-06,-62.505803,-0.23895538,18.005538,261.57939,-11.314812,529.49614,0.013183928,-2.2445959,-0.0085809358,0.14842188,261.57939,0.32341405,529.49614,0.93009848,-29.711682,-0.11358572,15.479951,261.57939,3.0363384,529.49614,0.24405382,-23.532156,-0.089961813,0.00089042792,261.57939,0.0032571648,529.49614,0.35678294,109.69229,0.41934606,4.369433,261.57939,-0.56052003,529.49614,6.9298067e-06,8142.9119,286152.52,1.08161,,1,daily
0.75701956,0.047514734,9.8714436,15.932312,22.545714,7.138344,0.65287756,-3.3849122,-0.097443271,11.219708,34.73726,23.218369,-31.031477,0.32508399,-0.014413166,-0.04694484,9.8714436,0.30702344,22.545714,0.15804381,0.65677676,2.1498933,0.068671933,11.219708,31.306725,23.218369,-48.685608,0.48851467,0.00018719505,0.19562648,15.932312,0.00095690039,7.138344,0.0030792721,0.061646719,-5.1472686e-05,-0.053791059,0.30702344,0.00095690039,0.15804381,0.0030792721,0.61056977,-0.41555992,-0.082693611,34.73726,5.0252965,-31.031477,-1.3089038,0.40397065,7.8339832,0.023519607,11.219708,333.08308,23.218369,508.2002,0.81266632,108.2888,0.56711987,15.932312,190.94516,7.138344,91.71711,3.772496e-09,-23.578087,-0.12594626,34.73726,187.20752,-31.031477,95.914708,0.20267728,105.00258,0.31252102,15.932312,335.98567,7.138344,543.36726,0.0024216286,-64.299879,-0.19304457,34.73726,333.08308,-31.031477,508.2002,0.049600641,-91.713918,-0.27296973,0.30702344,335.98567,0.15804381,543.36726,0.0084725819,-102.11287,-0.30656876,31.306725,333.08308,-48.685608,508.2002,0.0015497972,-48.018272,-0.14416305,0.001014921,333.08308,0.0031409527,508.2002,0.1442763,131.40673,0.39451638,5.0252965,333.08308,-1.3089038,508.2002,3.4122006e-05,7852.3817,285346.94,1.090886,,1,0
-0.28691655,-0.018163028,10.905969,15.796736,22.877717,5.319506,0.86280614,-12.189022,-0.38975775,11.207077,31.273327,23.184601,-28.95376,4.7117317e-05,-0.032564684,-0.091361885,10.905969,0.35643621,22.877717,0.19974353,0.38377083,1.0914016,0.033503726,11.166585,32.575528,23.129701,-48.279395,0.73563631,-8.6885828e-05,-0.089101678,15.796736,0.00097513122,5.319506,0.0030860625,0.39569479,3.6721881e-05,0.0376584,0.35643621,0.00097513122,0.19974353,0.0030860625,0.72005901,-0.77065704,-0.15125994,31.273327,5.0949182,-28.95376,-1.5445728,0.12721529,12.203751,0.03873514,11.166585,315.05632,23.129701,497.11801,0.6962447,84.048505,0.43878583,15.796736,191.5479,5.319506,93.227622,1.0848328e-05,-40.899733,-0.21744081,31.273327,188.09594,-28.95376,93.329634,0.02736155,139.43263,0.43737088,15.796736,318.79724,5.319506,522.73731,1.1666759e-05,-98.661449,-0.31315151,31.273327,315.05979,-28.95376,500.15865,0.0012784843,-54.333893,-0.17043402,0.35643621,318.79724,0.19974353,522.73731,0.10239522,-91.112628,-0.28919473,32.575528,315.05632,-48.279395,497.11801,0.0029063733,-38.286472,-0.12152263,0.0010045025,315.05632,0.0031045308,497.11801,0.21911892,125.70537,0.39899333,5.0713703,315.05632,-1.5555913,497.11801,2.7241746e-05,7761.3271,285102.9,1.0914204,,1,1
1.7513419,0.12190309,10.859421,14.366673,22.769003,6.2503877,0.24440842,-6.4699482,-0.15434076,11.136792,41.919895,22.990764,-30.179789,0.11956219,0.004699523,0.011885587,10.859421,0.39539678,22.769003,0.24374977,0.90997171,-1.7361669,-0.054827399,11.09505,31.666045,23.042295,-48.452956,0.58040706,0.00015855807,0.16458854,14.366673,0.00096336032,6.2503877,0.0030631261,0.11490149,1.8671418e-05,0.019381552,0.39539678,0.00096336032,0.24374977,0.0030631261,0.85370098,-1.1305618,-0.21712342,41.919895,5.2070006,-30.179789,-1.5960631,0.027593264,17.819704,0.05459031,11.09505,326.42613,23.042295,512.70272,0.58204764,76.567713,0.36373483,14.366673,210.50421,6.2503877,103.86326,0.0003385383,-20.115666,-0.096004012,41.919895,209.52943,-30.179789,104.84601,0.33470821,179.90432,0.55453574,14.366673,324.42331,6.2503877,546.09192,8.0567112e-09,-108.96568,-0.33623393,41.919895,324.07699,-30.179789,517.65226,0.00051577003,-63.732651,-0.19644905,0.39539678,324.42331,0.24374977,546.09192,0.05912022,-89.447042,-0.27401924,31.666045,326.42613,-48.452956,512.70272,0.0048811795,-32.84134,-0.1006088,0.00098867481,326.42613,0.003069283,512.70272,0.30953752,143.32822,0.43908317,5.1846411,326.42613,-1.5788317,512.70272,3.1203723e-06,7673.2074,285075.48,1.0906534,,1,2
2.0486528,0.11738323,10.752551,17.452687,22.661123,5.3636754,0.25985003,-5.6216842,-0.15267425,10.52367,36.821429,22.663437,-28.004644,0.12554056,-0.030755575,-0.090182069,10.752551,0.3410387,22.661123,0.18817884,0.38736158,-1.0032768,-0.031203845,11.03496,32.152346,22.957354,-46.354658,0.75318037,8.7263276e-05,0.089449305,17.452687,0.00097556124,5.3636754,0.0030800026,0.391246,-3.8323579e-06,-0.0039283622,0.3410387,0.00097556124,0.18817884,0.0030800026,0.97002461,-1.6338012,-0.31531422,36.821429,5.1815018,-28.004644,-1.5540637,0.0012464465,23.070206,0.068198591,11.03496,338.27981,22.957354,504.61841,0.49152361,75.244654,0.3924349,17.452687,191.73793,5.3636754,97.790891,9.1520711e-05,-23.728712,-0.12400726,36.821429,191.34938,-28.004644,98.824348,0.21431926,166.91364,0.49278978,17.452687,338.71165,5.3636754,534.05429,4.5227176e-07,-119.60827,-0.35356259,36.821429,338.29448,-28.004644,511.15176,0.00026710688,-82.981924,-0.24499282,0.3410387,338.71165,0.18817884,534.05429,0.01731723,-85.370668,-0.25236702,32.152346,338.27981,-46.354658,504.61841,0.0097514611,-42.258958,-0.12492309,0.0010003777,338.27981,0.0030727396,504.61841,0.20639908,146.83194,0.43405469,5.2292807,338.27981,-1.644024,504.61841,4.1584339e-06,7681.849,284998.5,1.0913762,,1,3
0.71454854,0.042752232,10.587485,16.713713,22.303124,5.8026036,0.68573964,-0.86496847,-0.028829668,10.601172,30.002721,22.57563,-22.812008,0.77697188,-0.016592946,-0.04992036,10.587485,0.33238835,22.303124,0.18839404,0.63652188,0.67225152,0.021168254,11.033063,31.757532,22.862256,-44.015422,0.83192277,-8.0942481e-05,-0.084423939,16.713713,0.0009587622,5.8026036,0.0030022676,0.42363885,1.7622308e-05,0.01838027,0.33238835,0.0009587622,0.18839404,0.0030022676,0.86194282,-1.6236242,-0.31143034,30.002721,5.2134428,-22.812008,-1.7048737,0.0017024468,20.410144,0.058975305,11.033063,346.0795,22.862256,503.35616,0.55402154,50.863998,0.2885894,16.713713,176.2504,5.8026036,87.907767,0.0052736569,-24.833812,-0.13444489,30.002721,184.71369,-22.812008,95.57766,0.18459044,144.20767,0.41365358,16.713713,348.61942,5.8026036,533.99522,4.1578822e-05,-112.27212,-0.32786404,30.002721,342.43501,-22.812008,519.99183,0.00092351625,-76.932485,-0.22067757,0.33238835,348.61942,0.18839404,533.99522,0.034527298,-66.312429,-0.19161039,31.757532,346.0795,-44.015422,503.35616,0.052512798,-44.759367,-0.12933261,0.00098752805,346.0795,0.0030464511,503.35616,0.19290286,154.2452,0.44569296,5.2340371,346.0795,-1.7652184,503.35616,2.3838634e-06,7616.1277,284890.77,1.0915597,,1,4
2.1316132,0.1282886,10.654709,16.615765,22.440639,3.7649895,0.23086984,-2.4818064,-0.081285925,10.550787,30.53181,22.59816,-24.480182,0.42380479,-0.0028396739,-0.0068843327,10.654709,0.41248354,22.440639,0.24415637,0.94894691,3.0846776,0.097723844,10.971966,31.565251,22.770789,-45.479158,0.32608129,0.00016863395,0.18342686,16.615765,0.00091935254,3.7649895,0.0030344998,0.085320889,5.8327094e-05,0.063443665,0.41248354,0.00091935254,0.24415637,0.0030344998,0.55474775,-2.1855955,-0.42233522,30.53181,5.1750253,-24.480182,-1.7303687,1.3346001e-05,31.111941,0.089147132,10.971966,348.99543,22.770789,504.3289,0.37052653,57.072099,0.35817088,16.615765,159.34321,3.7649895,85.067814,0.00056833155,-25.350824,-0.14957544,30.53181,169.48521,-24.480182,92.430502,0.13949288,159.80903,0.44699824,16.615765,357.51602,3.7649895,540.7537,1.1267654e-05,-121.33737,-0.34457985,30.53181,352.13136,-24.480182,514.39018,0.00047836674,-72.762698,-0.2035229,0.41248354,357.51602,0.24415637,540.7537,0.055752948,-74.568377,-0.21366577,31.565251,348.99543,-45.479158,504.3289,0.030227382,-39.841324,-0.11416002,0.0009761983,348.99543,0.0030349356,504.3289,0.25087933,161.09757,0.46160368,5.2048033,348.99543,-1.7921408,504.3289,9.2170197e-07,7587.3391,284872.76,1.091721,,1,5
1.692838,0.095427957,11.367933,17.739435,22.920088,3.5870404,0.36822871,-7.6155632,-0.21592943,11.120879,35.26876,22.835235,-23.49032,0.032726234,0.001322402,0.0037179362,11.367933,0.35568175,22.920088,0.21269607,0.97209834,1.3091458,0.042311547,10.91916,30.940628,22.664593,-46.245961,0.67129983,0.00012987395,0.14408249,17.739435,0.00090138608,3.5870404,0.003104587,0.17301477,-2.2949043e-05,-0.025459727,0.35568175,0.00090138608,0.21269607,0.003104587,0.81067779,-1.7527303,-0.35931899,35.26876,4.8779227,-23.49032,-1.8055714,0.00027952013,31.44122,0.100155,10.91916,313.92563,22.664593,484.53572,0.31413148,54.309197,0.36016009,17.739435,150.79182,3.5870404,90.62287,0.00045375113,-30.782533,-0.20688934,35.26876,148.78743,-23.49032,89.715252,0.040954289,121.50178,0.3837902,17.739435,316.58385,3.5870404,517.1328,0.00017306681,-119.2627,-0.38091218,35.26876,313.09762,-23.49032,500.56836,0.00010910809,-91.24461,-0.28821625,0.35568175,316.58385,0.21269607,517.1328,0.0055979048,-87.56297,-0.27892903,30.940628,313.92563,-46.245961,484.53572,0.004329118,-42.525541,-0.13546375,0.00094765124,313.92563,0.0030362734,484.53572,0.1724649,129.83867,0.41359691,4.8876323,313.92563,-1.9002767,484.53572,1.409267e-05,7590.6835,284759.21,1.0917515,,1,6
-0.4107485,-0.029170796,11.360638,14.080812,22.998027,3.9171985,0.78853863,-4.6800557,-0.12561108,11.024195,37.258301,22.683288,-28.081125,0.21539919,-0.0027728661,-0.0065337891,11.360638,0.42438867,22.998027,0.27015509,0.95210602,2.0318052,0.06677719,10.871932,30.426634,22.559179,-43.205152,0.50273533,7.7511542e-05,0.089964137,14.080812,0.00086158268,3.9171985,0.0031524191,0.40728841,5.7947278e-05,0.067256781,0.42438867,0.00086158268,0.27015509,0.0031524191,0.5359444,-1.2993894,-0.27441052,37.258301,4.7352026,-28.081125,-1.7309242,0.0059841608,34.920616,0.11660756,10.871932,299.47128,22.559179,479.67039,0.24079538,48.728294,0.40601825,14.080812,120.01504,3.9171985,87.655936,9.5489152e-05,-20.431273,-0.14415754,37.258301,141.72878,-28.081125,94.033815,0.15456797,134.4663,0.44204186,14.080812,304.19358,3.9171985,520.6801,1.8156162e-05,-24.636902,-0.082740885,37.258301,297.75971,-28.081125,492.87763,0.41552855,-44.408737,-0.14598841,0.42438867,304.19358,0.27015509,520.6801,0.17726146,-78.754856,-0.26297966,30.426634,299.47128,-43.205152,479.67039,0.0072792307,-40.502925,-0.13524811,0.00093735998,299.47128,0.0030494549,479.67039,0.17315551,117.53741,0.39248309,4.7533032,299.47128,-1.8585922,479.67039,4.1234786e-05,7623.6373,284787.98,1.0916965,,1,7
-1.2885233,-0.10871139,10.796977,11.852698,22.56145,6.075814,0.32199404,-2.3078731,-0.079521632,11.024615,29.021953,22.56974,-21.250704,0.43635846,-0.0031023273,-0.0069112511,10.796977,0.44888071,22.56145,0.27791558,0.94994497,1.6893394,0.050682925,10.870127,33.331529,22.451564,-32.157574,0.61293445,0.00013770409,0.15790977,11.852698,0.00087204288,6.075814,0.0032090311,0.14891539,8.3130397e-05,0.095328336,0.44888071,0.00087204288,0.27791558,0.0032090311,0.38547675,-1.8761094,-0.40075948,29.021953,4.6813848,-21.250704,-1.4812908,4.3289428e-05,38.363781,0.12410828,10.870127,309.11541,22.451564,482.44505,0.21394326,38.262049,0.31874014,11.852698,120.04151,6.075814,101.07223,0.0029482085,-16.455162,-0.1095187,29.021953,150.2498,-21.250704,105.57875,0.28304588,142.83982,0.45612752,11.852698,313.15764,6.075814,531.00691,1.1487695e-05,-84.056881,-0.27212892,29.021953,308.88625,-21.250704,494.7479,0.0067134725,-65.388737,-0.20880454,0.44888071,313.15764,0.27791558,531.00691,0.05513944,-100.90233,-0.32642284,33.331529,309.11541,-32.157574,482.44505,0.00081312276,-44.701768,-0.1446119,0.00093044738,309.11541,0.0030948228,482.44505,0.14701864,124.77333,0.40364641,4.6982273,309.11541,-1.616701,482.44505,2.5897687e-05,7737.057,285023.14,1.0905744,,1,8
