SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.8387213,0.45028462,0.021298553,8.5250999,0.068401745,19.664277,5.6872039e-05,-18.309922,-0.55861024,0.021298553,32.777634,0.068401745,39.419405,2.3157652e-07,-0.016482271,-0.15904932,0.021298553,0.10362993,0.068401745,0.15690916,0.17588493,-12.625234,-0.56169598,0.028258754,22.476988,0.075870653,53.769948,1.837705e-08,-0.00029267791,-0.21385743,8.5250999,0.0013685656,19.664277,0.0033562041,0.0673127,0.00059246926,0.43291259,0.10362993,0.0013685656,0.15690916,0.0033562041,0.00011698084,-0.54300996,-0.14432325,32.777634,3.7624566,39.419405,8.9298488,0.21989257,-19.47729,-0.34554594,0.031127497,56.366716,0.081893121,88.466801,0.0063809141,-48.558308,-0.37161926,8.5250999,130.66682,19.664277,320.72868,0.0011143042,40.157088,0.30732428,32.777634,130.66682,39.419405,320.72868,0.0077335685,14.428645,0.30301413,8.5853725,47.617071,22.256848,105.25963,0.032434843,-3.0781613,-0.06464407,33.937605,47.617071,42.92342,105.25963,0.65559133,-20.93195,-0.4395892,0.11636684,47.617071,0.16245317,105.25963,0.0014028571,12.529631,0.22228775,24.385966,56.366716,55.186796,88.466801,0.085102019,-47.767686,-0.84744491,0.0016432488,56.366716,0.0037123267,88.466801,7.223662e-18,41.822644,0.74197411,4.2721829,56.366716,7.95711,88.466801,7.8243068e-12,9280.8168,294806.03,1.0575682,331.68158,1,daily
2.7127499,0.46733285,0.019868608,5.8047489,0.068866667,4.75575,0.00016685579,-11.05299,-0.40505735,0.019868608,27.28747,0.068866667,-33.079125,0.0013256783,-0.046011096,-0.2581177,0.019868608,0.17825626,0.068866667,0.064694384,0.046459505,1.6432169,0.052500796,0.027769457,31.298896,0.075188235,-51.0085,0.63322259,-0.0005977935,-0.40540727,5.8047489,0.0014745505,4.75575,0.0030972645,0.0013117331,0.0005189238,0.35191998,0.17825626,0.0014745505,0.064694384,0.0030972645,0.0058258466,-2.0497655,-0.51730823,27.28747,3.9623679,-33.079125,7.812875,2.3130148e-05,-13.931327,-0.23236864,0.030711041,59.953559,0.081491525,79.92523,0.07656114,0.92554733,0.010383621,5.8047489,89.135317,4.75575,44.419601,0.93723838,18.716842,0.20998234,27.28747,89.135317,-33.079125,44.419601,0.10733008,22.376006,0.47616006,6.4223479,46.992614,5.8322838,101.80521,0.0028918259,-31.004905,-0.65978251,26.736427,46.992614,-38.157865,101.80521,8.9105887e-06,-17.068453,-0.36321564,0.2011019,46.992614,0.055409889,101.80521,0.027132942,-45.203354,-0.74958809,32.184524,60.304259,-46.426875,78.614397,5.5486504e-12,-51.163832,-0.84842816,0.0017476971,60.304259,0.0035028438,78.614397,1.1539212e-17,44.840878,0.74357731,4.5740152,60.304259,6.6282667,78.614397,1.0066678e-11,8757.1094,293377.14,1.0786188,98.100069,1,0
3.8491253,0.60313951,0.02016887,6.3818158,0.069466102,4.6854492,4.290217e-07,-14.149151,-0.50415433,0.02016887,28.065119,0.069466102,-32.168398,4.6802836e-05,-0.035637452,-0.13841652,0.02016887,0.25746531,0.069466102,0.099581137,0.29579563,1.8097787,0.057584789,0.027631571,31.428069,0.075047059,-50.328176,0.60064065,-0.00035389264,-0.23970173,6.3818158,0.0014763875,4.6854492,0.0030372921,0.067467333,0.00038404426,0.2601243,0.25746531,0.0014763875,0.099581137,0.0030372921,0.046624084,-2.3259486,-0.613208,28.065119,3.7930827,-32.168398,8.0699068,2.4282503e-07,-15.20973,-0.25255312,0.030538925,60.223885,0.081330508,80.44223,0.053631463,0.045439513,0.00042728383,6.3818158,106.34503,4.6854492,43.938373,0.99743735,30.103824,0.28307692,28.065119,106.34503,-32.168398,43.938373,0.02981935,23.70673,0.48522016,7.1121815,48.857676,5.92495,102.41192,0.0015063115,-31.404778,-0.64278085,30.179049,48.857676,-33.824863,102.41192,7.7375414e-06,-17.276211,-0.3536028,0.22642278,48.857676,0.083988235,102.41192,0.025199665,-45.741316,-0.75506143,32.796613,60.579596,-45.076342,79.12286,3.1783786e-12,-51.34766,-0.84760651,0.0017547356,60.579596,0.0034804468,79.12286,1.3337276e-17,44.963625,0.74222393,4.4932998,60.579596,6.5593,79.12286,1.1485524e-11,8701.117,293326.13,1.0786268,96.489665,1,1
3.0627463,0.43861765,0.020169057,6.9827246,0.068064516,5.5968387,0.0003625914,-10.864201,-0.40075932,0.020169057,27.109042,0.068064516,-33.463548,0.0012474194,-0.037114753,-0.18435922,0.020169057,0.20131759,0.068064516,0.064577088,0.15144914,2.3020735,0.071017577,0.027502404,32.415545,0.074841176,-50.075276,0.51836259,-0.00021248327,-0.15473536,6.9827246,0.0013732044,5.5968387,0.0029992435,0.22981312,0.00020800894,0.15147704,0.20131759,0.0013732044,0.064577088,0.0029992435,0.23989293,-2.5500871,-0.62766428,27.109042,4.0628202,-33.463548,7.8372581,4.7656029e-08,-15.603615,-0.2571847,0.030397248,60.670854,0.081084746,82.522778,0.049250028,-0.49151091,-0.0035064235,6.9827246,140.17443,5.5968387,62.331988,0.97842161,55.276823,0.39434313,27.109042,140.17443,-33.463548,62.331988,0.0015167708,13.271793,0.2673588,7.5144171,49.640382,6.8511905,106.11132,0.086950325,-31.516746,-0.63490135,27.124724,49.640382,-33.64319,106.11132,6.2997566e-06,-16.44165,-0.33121521,0.2405993,49.640382,0.083865247,106.11132,0.032142896,-46.494696,-0.76143795,33.320444,61.061701,-44.3954,81.16897,1.6300865e-12,-52.076941,-0.85285769,0.0017684636,61.061701,0.0034196378,81.16897,5.207313e-18,45.084368,0.73834118,4.5564688,61.061701,6.6365833,81.16897,1.669127e-11,8549.0945,293421,1.0765394,119.67619,1,2
2.2366206,0.33653931,0.019824521,6.6459415,0.068388889,4.9667619,0.0069996,-9.6722049,-0.34246362,0.019824521,28.243014,0.068388889,-34.65923,0.0060069905,-0.046822196,-0.20956256,0.019824521,0.22342825,0.068388889,0.078539594,0.099270065,1.5599528,0.049468494,0.027452865,31.53427,0.074682353,-49.661994,0.6529992,-0.00023445013,-0.17848029,6.6459415,0.0013135911,4.9667619,0.0029397848,0.16165078,0.00042746411,0.32541641,0.22342825,0.0013135911,0.078539594,0.0029397848,0.0092562707,-2.5431501,-0.62431897,28.243014,4.0734789,-34.65923,7.7479603,4.5639499e-08,-14.243726,-0.2374148,0.030346771,59.995108,0.08090678,81.61167,0.070205437,18.555235,0.13663424,6.6459415,135.80224,4.9667619,57.27319,0.28561025,42.795663,0.31513224,28.243014,135.80224,-34.65923,57.27319,0.011881243,16.697134,0.34336952,7.2664262,48.627303,5.3577683,103.87095,0.027952469,-31.394827,-0.6456214,26.839761,48.627303,-34.309976,103.87095,5.1632012e-06,-20.951503,-0.43085883,0.26248594,48.627303,0.09661393,103.87095,0.0049203832,-45.83724,-0.75912748,31.509039,60.381478,-44.100825,80.273032,2.0812213e-12,-51.217566,-0.84823305,0.0017713742,60.381478,0.0034157051,80.273032,1.1943836e-17,44.399214,0.7353118,4.568386,60.381478,6.5140667,80.273032,2.2242386e-11,8539.2626,293309.58,1.0774422,108.09011,1,3
2.4954286,0.42633062,0.019729078,5.8532709,0.070008772,4.9822807,0.00094381487,-9.5265108,-0.33385286,0.019729078,28.535058,0.070008772,-38.222,0.0111498,-0.022855779,-0.14187155,0.019729078,0.16110192,0.070008772,0.03023906,0.29247261,2.0621783,0.066028536,0.027624943,31.231622,0.074605882,-49.663141,0.54824278,-0.00039980345,-0.31710933,5.8532709,0.0012607748,4.9822807,0.0028155786,0.016240196,0.00019871527,0.15761362,0.16110192,0.0012607748,0.03023906,0.0028155786,0.24162703,-2.2089872,-0.57660133,28.535058,3.8310477,-38.222,8.208307,2.6772887e-06,-13.894363,-0.23017884,0.030559305,60.36334,0.080855932,80.742652,0.079457566,-22.77377,-0.18936244,5.8532709,120.2655,4.9822807,44.69252,0.15830883,37.332379,0.31041635,28.535058,120.2655,-38.222,44.69252,0.018770961,24.133153,0.54417273,6.6133086,44.348331,5.2841538,108.03471,0.00034230828,-27.333154,-0.61632881,29.516983,44.348331,-35.481692,108.03471,2.9476943e-05,-14.795597,-0.3336224,0.19402564,44.348331,0.043768605,108.03471,0.037933936,-46.345363,-0.76323136,31.240659,60.722562,-44.059525,79.418172,1.3459316e-12,-51.60606,-0.84986631,0.0017863386,60.722562,0.0034326262,79.418172,8.937134e-18,43.704837,0.71974626,4.5420662,60.722562,6.4183083,79.418172,9.165017e-11,8581.5656,293223.79,1.0772952,110.20345,1,4
3.2150262,0.53209413,0.020659338,6.0422132,0.069086207,5.5019052,1.7181562e-05,-12.794116,-0.47218531,0.020659338,27.09554,0.069086207,-37.030836,0.00018244497,-0.075195776,-0.36473698,0.020659338,0.20616438,0.069086207,0.054568771,0.0048782173,2.3916927,0.077642984,0.027741129,30.80372,0.0746,-49.359182,0.48000077,-0.00020431151,-0.16384223,6.0422132,0.0012470015,5.5019052,0.0027915648,0.21909152,0.00037918462,0.30407711,0.20616438,0.0012470015,0.054568771,0.0027915648,0.020307493,-2.0349883,-0.51924124,27.09554,3.9191577,-37.030836,7.8868879,2.9625033e-05,-14.109015,-0.23423726,0.030721699,60.233865,0.080838983,80.019106,0.074156369,-4.6583608,-0.051598491,6.0422132,90.28095,5.5019052,42.170221,0.70048599,28.460622,0.31524505,27.09554,90.28095,-37.030836,42.170221,0.015935784,12.985942,0.28075768,6.6659671,46.253203,5.693375,106.01142,0.079285085,-21.869848,-0.47282883,26.349713,46.253203,-33.672425,106.01142,0.0020629133,-17.826308,-0.38540698,0.23615061,46.253203,0.062170553,106.01142,0.01405158,-45.617531,-0.75300912,30.554111,60.580317,-43.433225,78.706667,3.9235064e-12,-50.930084,-0.8407035,0.0017717229,60.580317,0.0034462372,78.706667,4.3578178e-17,43.301177,0.71477304,4.5521204,60.580317,6.2782833,78.706667,1.4126161e-10,8615.593,293079.98,1.0783497,99.275777,1,5
2.0987423,0.40543278,0.020363638,5.1765481,0.068379032,4.750129,0.001079199,-10.531515,-0.44815569,0.020363638,23.49968,0.068379032,-34.591315,0.00025947551,-0.095124305,-0.34311022,0.020363638,0.27724125,0.068379032,0.078717573,0.0063318355,3.2236557,0.10767304,0.027467382,29.939303,0.074435294,-49.827935,0.32666507,-0.00022876479,-0.19239458,5.1765481,0.0011890397,4.750129,0.0029257989,0.13410169,0.00042036738,0.3535352,0.27724125,0.0011890397,0.078717573,0.0029257989,0.0048213332,-2.0024588,-0.53705059,23.49968,3.7286223,-34.591315,7.8522097,6.7892283e-06,-13.786856,-0.23279904,0.030398161,59.222136,0.080627119,78.813528,0.076001834,2.3372892,0.025045599,5.1765481,93.321352,4.750129,40.707082,0.8467819,19.422899,0.20812921,23.49968,93.321352,-34.591315,40.707082,0.10452733,18.328808,0.41485757,5.5901397,44.180965,5.4951707,104.77666,0.0069974,-23.302089,-0.52742372,22.803827,44.180965,-35.845646,104.77666,0.00039504973,-26.899044,-0.60883785,0.33616572,44.180965,0.11503392,104.77666,2.4020622e-05,-46.543633,-0.78138722,29.729353,59.565388,-43.536717,77.521119,1.7521291e-13,-49.696852,-0.83432432,0.0017692518,59.565388,0.0034785868,77.521119,1.2394374e-16,41.53599,0.69731754,4.4909442,59.565388,6.2059667,77.521119,6.016395e-10,8696.4669,292986.21,1.0789769,96.078365,1,6
3.5770003,0.41329648,0.020585187,8.6548047,0.067508929,7.5348571,0.0015459545,-8.8188541,-0.39233881,0.020585187,22.477649,0.067508929,-30.203018,0.0027834695,-0.052071454,-0.19739641,0.020585187,0.26379129,0.067508929,0.079014856,0.14477045,1.1777058,0.046003426,0.027439478,25.600394,0.074364706,-33.575965,0.67589429,-4.487691e-05,-0.034782957,8.6548047,0.0012901983,7.5348571,0.002991348,0.79911079,0.00031861912,0.24695361,0.26379129,0.0012901983,0.079014856,0.002991348,0.066522908,-2.0201528,-0.52338824,22.477649,3.8597597,-30.203018,7.8419911,3.4884118e-05,-13.738376,-0.22999604,0.030361768,59.733097,0.080559322,78.071709,0.079703214,-0.93978461,-0.015257924,8.6548047,61.593216,7.5348571,34.540689,0.91113182,14.521892,0.23577097,22.477649,61.593216,-30.203018,34.540689,0.080237717,12.57256,0.27263294,9.0980034,46.115335,7.9070135,103.98889,0.10256664,-20.940581,-0.45409149,21.410263,46.115335,-29.691743,103.98889,0.004756197,-23.445198,-0.50840351,0.095126604,46.115335,0.028412902,103.98889,0.0013146348,-45.519388,-0.75803521,25.607089,60.049174,-27.894817,76.791503,2.3338324e-12,-50.443815,-0.84004178,0.0017978296,60.049174,0.0035363944,76.791503,4.8671675e-17,41.48242,0.69080751,4.4436718,60.049174,6.3652,76.791503,1.006374e-09,8840.9861,293123.07,1.079813,86.05529,1,7
4.2377,0.31394779,0.020455643,13.498105,0.067,26.378475,0.013742352,-3.446694,-0.12160536,0.020455643,28.343274,0.067,31.558262,0.35051515,0.098943386,0.32785721,0.020455643,0.30178804,0.067,0.50570937,0.0098973363,-10.783722,-0.35245262,0.027400594,30.596232,0.074370588,68.331771,0.0009390558,-9.6503354e-05,-0.072377275,13.498105,0.0013333378,26.378475,0.0031574455,0.5793613,-0.00029785938,-0.22339379,0.30178804,0.0013333378,0.50570937,0.0031574455,0.08352122,-0.41013822,-0.11252902,28.343274,3.644733,31.558262,9.3867213,0.38789303,-16.61943,-0.27439467,0.030324068,60.567612,0.080550847,84.118283,0.035455143,-15.966886,-0.22456586,13.498105,71.101131,26.378475,41.052918,0.081871438,2.8364858,0.039893681,28.343274,71.101131,31.558262,41.052918,0.76017176,12.279071,0.26950021,14.870966,45.562382,26.552463,106.94693,0.088387515,-4.1307801,-0.090662075,28.606857,45.562382,26.175195,106.94693,0.57293735,11.762764,0.25816833,0.34777402,45.562382,0.54845645,106.94693,0.10316008,19.262848,0.31579249,33.865334,60.998437,66.221542,82.736554,0.01397464,-51.181212,-0.83905776,0.001819081,60.998437,0.0036637082,82.736554,5.7314663e-17,44.697015,0.73275673,4.6265541,60.998437,7.7120667,82.736554,2.8251493e-11,9159.2706,294504.33,1.075872,108.13357,1,8
