SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
5.4640659,0.76585438,2.3477272,7.1346016,9.2901993,10.65504,7.3454445e-28,-0.27637947,-0.028304089,2.3477272,9.7646479,9.2901993,26.838712,0.741748,0.054211572,0.52819681,2.3477272,0.10263518,9.2901993,0.13671192,2.7779155e-11,2.3168797,0.19080469,2.3477272,12.142677,9.2901993,49.777212,0.02498102,0.0005806261,0.39135137,7.1346016,0.001483644,10.65504,0.003764806,2.0724912e-06,0.00084592329,0.57016597,0.10263518,0.001483644,0.13671192,0.003764806,2.8894526e-13,-0.71531259,-0.2196929,9.7646479,3.2559659,26.838712,10.844878,0.0096243027,-223.43935,-0.31081934,2.3477272,718.8721,9.2901993,1698.2824,0.00020691218,51.851148,0.27305017,7.1346016,189.89605,10.65504,369.17805,0.0011942988,11.506705,0.060594758,9.7646479,189.89605,26.838712,369.17805,0.48018714,-267.43815,-0.37202466,7.1346016,718.8721,10.65504,1698.2824,7.0262584e-06,26.576612,0.036969875,9.7646479,718.8721,26.838712,1698.2824,0.66683591,-320.07456,-0.44524548,0.10263518,718.8721,0.13671192,1698.2824,4.4539124e-08,0.37087452,0.00051591169,12.142677,718.8721,49.777212,1698.2824,0.99520836,-574.34827,-0.79895753,0.001483644,718.8721,0.003764806,1698.2824,7.8537383e-32,256.77512,0.35719166,3.2559659,718.8721,10.844878,1698.2824,1.7031118e-05,9412.0149,293649.41,1.1029091,369.17805,1,daily
1.9508947,0.59426519,2.4517882,3.282869,9.1767826,1.4964848,1.5466694e-14,1.9120271,0.16280418,2.4517882,11.744337,9.1767826,-18.198396,0.056408159,0.070873889,0.31200602,2.4517882,0.22715552,9.1767826,0.060289961,0.00019505211,2.123304,0.11734876,2.4517882,18.093962,9.1767826,-63.08375,0.17045674,0.00018021467,0.11439753,3.282869,0.0015753372,1.4964848,0.0037703346,0.18153835,0.00059529385,0.37788346,0.22715552,0.0015753372,0.060289961,0.0037703346,4.8926245e-06,-0.49399361,-0.12364211,11.744337,3.9953509,-18.198396,7.0068188,0.14851286,-226.95224,-0.3043835,2.4517882,745.61284,9.1767826,1194.4622,0.000283763,73.19951,0.52978744,3.282869,138.1677,1.4964848,71.324353,2.3630103e-11,-16.401939,-0.11871037,11.744337,138.1677,-18.198396,71.324353,0.16551638,-47.632875,-0.063884194,3.282869,745.61284,1.4964848,1194.4622,0.45663211,-150.22033,-0.20147229,11.744337,745.61284,-18.198396,1194.4622,0.01780794,-220.64246,-0.29592096,0.22715552,745.61284,0.060289961,1194.4622,0.00042520009,-104.51684,-0.14017575,18.093962,745.61284,-63.08375,1194.4622,0.10104241,-540.63339,-0.72508595,0.0015753372,745.61284,0.0037703346,1194.4622,8.7038315e-24,284.97792,0.3822063,3.9953509,745.61284,7.0068188,1194.4622,3.729064e-06,9425.8365,289620.58,1.1352857,71.324353,1,0
3.4053366,0.44240513,2.4316176,7.6973261,9.1232899,1.956868,5.547065e-08,1.0523204,0.09389282,2.4316176,11.207677,9.1232899,-16.68055,0.27335019,0.036689933,0.19549927,2.4316176,0.187673,9.1232899,0.045225373,0.021565959,1.0831012,0.05883246,2.4316176,18.409925,9.1232899,-61.115493,0.49307102,0.00026247963,0.16568646,7.6973261,0.0015841948,1.956868,0.003727395,0.052123028,0.00051702732,0.32636599,0.187673,0.0015841948,0.045225373,0.003727395,9.3610884e-05,-0.62843666,-0.15616499,11.207677,4.024184,-16.68055,6.5915761,0.06738832,-205.00092,-0.27716637,2.4316176,739.6313,9.1232899,1168.5646,0.0009980542,51.635995,0.37226121,7.6973261,138.70904,1.956868,70.935971,6.925274e-06,-6.5254885,-0.047044436,11.207677,138.70904,-16.68055,70.935971,0.58374433,-57.770672,-0.078107392,7.6973261,739.6313,1.956868,1168.5646,0.36250606,-121.55361,-0.16434351,11.207677,739.6313,-16.68055,1168.5646,0.054084871,-162.8065,-0.22011846,0.187673,739.6313,0.045225373,1168.5646,0.0094815467,-81.496461,-0.11018525,18.409925,739.6313,-61.115493,1168.5646,0.19825777,-526.08548,-0.71128071,0.0015841948,739.6313,0.003727395,1168.5646,1.4371729e-22,246.42508,0.33317287,4.024184,739.6313,6.5915761,1168.5646,6.5244802e-05,9318.4874,289197.57,1.1360799,70.935971,1,1
1.1492429,0.42330733,2.4081671,2.7149138,9.0809312,1.370754,2.3059782e-07,1.8665222,0.14226568,2.4081671,13.119976,9.0809312,-17.405553,0.096008678,0.016039257,0.090406599,2.4081671,0.17741246,9.0809312,0.037877035,0.29163665,-0.3927061,-0.02137582,2.4081671,18.371511,9.0809312,-60.95617,0.80347419,0.00014356522,0.098215546,2.7149138,0.0014617362,1.370754,0.0036571741,0.25177445,0.00043363149,0.2966551,0.17741246,0.0014617362,0.037877035,0.0036571741,0.00041073996,-0.39026685,-0.097655648,13.119976,3.9963571,-17.405553,6.2851667,0.25450083,-160.05741,-0.22030812,2.4081671,726.51617,9.0809312,1152.7014,0.0094185285,32.367434,0.23454197,2.7149138,138.00273,1.370754,68.647256,0.0056243218,0.01577157,0.00011428448,13.119976,138.00273,-17.405553,68.647256,0.99893855,24.984776,0.034389841,2.7149138,726.51617,1.370754,1152.7014,0.68883764,-143.15521,-0.1970434,13.119976,726.51617,-17.405553,1152.7014,0.020534281,-168.02623,-0.23127666,0.17741246,726.51617,0.037877035,1152.7014,0.0063473106,-37.046836,-0.050992445,18.371511,726.51617,-60.95617,1152.7014,0.55253653,-520.92023,-0.7170112,0.0014617362,726.51617,0.0036571741,1152.7014,4.5793277e-23,262.29254,0.36102781,3.9963571,726.51617,6.2851667,1152.7014,1.3602454e-05,9142.9352,288880.4,1.1368927,68.647256,1,2
1.5328117,0.45763713,2.3945372,3.3494041,9.0338297,1.2472077,1.669393e-08,0.82835088,0.073485527,2.3945372,11.2723,9.0338297,-17.55314,0.39168467,0.047673549,0.2354561,2.3945372,0.2024732,9.0338297,0.055132449,0.0054355451,-0.80618692,-0.045201161,2.3945372,17.835536,9.0338297,-60.05292,0.59858759,-8.3898942e-05,-0.053480093,3.3494041,0.0015687883,1.2472077,0.0036493972,0.53329741,0.00059037906,0.37632807,0.2024732,0.0015687883,0.055132449,0.0036493972,5.3897452e-06,-0.59423925,-0.15135105,11.2723,3.9262314,-17.55314,5.9239565,0.07639078,-155.683,-0.20500546,2.3945372,759.40906,9.0338297,1138.2394,0.015863556,33.479082,0.30238987,3.3494041,110.71496,1.2472077,62.062233,0.00031247375,-0.45508296,-0.0041104018,11.2723,110.71496,-17.55314,62.062233,0.96183796,8.3137999,0.010947723,3.3494041,759.40906,1.2472077,1138.2394,0.89859165,-168.01963,-0.22125049,11.2723,759.40906,-17.55314,1138.2394,0.0091108572,-184.41157,-0.24283562,0.2024732,759.40906,0.055132449,1138.2394,0.0041071822,-106.43657,-0.14015709,17.835536,759.40906,-60.05292,1138.2394,0.10108827,-564.3953,-0.74320328,0.0015687883,759.40906,0.0036493972,1138.2394,1.6768752e-25,180.43784,0.23760296,3.9262314,759.40906,5.9239565,1138.2394,0.0050142593,9123.493,288515.87,1.1380008,62.062233,1,3
1.2732261,0.3845884,2.385191,3.3106201,8.9975217,1.270602,3.205431e-06,1.0892447,0.10542178,2.385191,10.332254,8.9975217,-15.941978,0.21847505,0.033380723,0.1800841,2.385191,0.18536186,8.9975217,0.053969017,0.034551318,0.38915954,0.021513811,2.385191,18.088824,8.9975217,-59.038569,0.80223146,0.00031876657,0.20672668,3.3106201,0.0015419712,1.270602,0.0036601751,0.014985134,0.00016561762,0.10740643,0.18536186,0.0015419712,0.053969017,0.0036601751,0.2098806,-0.76238524,-0.19810887,10.332254,3.8483146,-15.941978,5.6523225,0.019847479,-107.99816,-0.15635508,2.385191,690.72371,8.9975217,1082.4353,0.067051366,68.036949,0.54473963,3.3106201,124.89811,1.270602,63.604469,4.9527435e-12,-17.383784,-0.13918373,10.332254,124.89811,-15.941978,63.604469,0.10350345,-29.548741,-0.042779393,3.3106201,690.72371,1.270602,1082.4353,0.61834228,-188.06178,-0.27226773,10.332254,690.72371,-15.941978,1082.4353,0.0012353698,-80.998063,-0.1172655,0.18536186,690.72371,0.053969017,1082.4353,0.17076235,-119.89285,-0.1735757,18.088824,690.72371,-59.038569,1082.4353,0.041751624,-492.22882,-0.71262765,0.0015419712,690.72371,0.0036601751,1082.4353,1.101158e-22,159.70665,0.2312164,3.8483146,690.72371,5.6523225,1082.4353,0.0063613968,9150.4377,288245.42,1.1383161,63.604469,1,4
1.1523493,0.33585962,2.3726223,3.4310446,8.9596522,1.3973821,5.6447365e-05,0.79163997,0.064449148,2.3726223,12.283172,8.9596522,-15.118037,0.45265223,-0.01888879,-0.12572362,2.3726223,0.15024058,8.9596522,0.033426694,0.14174578,-1.0484961,-0.062387245,2.3726223,16.806257,8.9596522,-59.552797,0.46727102,0.00037786727,0.24693098,3.4310446,0.0015302546,1.3973821,0.0035729738,0.0035031126,0.00036463717,0.2382853,0.15024058,0.0015302546,0.033426694,0.0035729738,0.0048866143,-0.83519732,-0.21248467,12.283172,3.9306239,-15.118037,5.3473804,0.012347107,-102.08085,-0.13927529,2.3726223,732.94302,8.9596522,1102.6361,0.10327434,84.50064,0.64189992,3.4310446,131.64146,1.3973821,61.708726,2.1797063e-17,-25.041617,-0.19022592,12.283172,131.64146,-15.118037,61.708726,0.025432508,-18.143188,-0.024753885,3.4310446,732.94302,1.3973821,1102.6361,0.77320019,-203.55489,-0.27772267,12.283172,732.94302,-15.118037,1102.6361,0.0009739265,-96.139599,-0.13116927,0.15024058,732.94302,0.033426694,1102.6361,0.12515081,-132.83373,-0.18123336,16.806257,732.94302,-59.552797,1102.6361,0.03339569,-539.34974,-0.73586858,0.0015302546,732.94302,0.0035729738,1102.6361,8.6269281e-25,127.50173,0.17395859,3.9306239,732.94302,5.3473804,1102.6361,0.041295753,8932.4346,287924.51,1.1391901,61.708726,1,5
1.3334472,0.36740687,2.3592153,3.6293473,8.9239022,1.2666083,9.2998826e-06,1.1509315,0.10121894,2.3592153,11.370712,8.9239022,-16.144325,0.23749377,0.0093341737,0.05160481,2.3592153,0.18087798,8.9239022,0.044824216,0.54776949,-2.3803581,-0.14249447,2.3592153,16.704915,8.9239022,-59.730757,0.095469883,0.00032405363,0.21636085,3.6293473,0.0014977461,1.2666083,0.0035134895,0.010809096,0.00024820396,0.16571831,0.18087798,0.0014977461,0.044824216,0.0035134895,0.05207722,-0.68640511,-0.17324512,11.370712,3.9620459,-16.144325,5.0819928,0.042148596,-139.46872,-0.1785848,2.3592153,780.96637,8.9239022,1108.1467,0.036109552,100.10696,0.73629366,3.6293473,135.96064,1.2666083,59.676618,7.8573645e-25,-27.225754,-0.20024732,11.370712,135.96064,-16.144325,59.676618,0.01852868,-12.829168,-0.016427299,3.6293473,780.96637,1.2666083,1108.1467,0.84834175,-128.96491,-0.16513504,11.370712,780.96637,-16.144325,1108.1467,0.052921323,-66.61712,-0.085300882,0.18087798,780.96637,0.044824216,1108.1467,0.31985386,-78.001925,-0.099878724,16.704915,780.96637,-59.730757,1108.1467,0.2437948,-568.70871,-0.72821152,0.0014977461,780.96637,0.0035134895,1108.1467,4.5047402e-24,121.24717,0.15525274,3.9620459,780.96637,5.0819928,1108.1467,0.069024586,8783.7238,287628.05,1.1402276,59.676618,1,6
1.6904142,0.40463576,2.3521129,4.1776193,8.884365,1.7436578,9.3836146e-07,0.50004996,0.049541689,2.3521129,10.093519,8.884365,-14.490575,0.56535171,0.01256215,0.042868638,2.3521129,0.29303824,8.884365,0.09453412,0.61890995,-2.3768192,-0.15651407,2.3521129,15.185978,8.884365,-46.150624,0.067784308,0.00032639897,0.19781022,4.1776193,0.0016500612,1.7436578,0.0034636899,0.020501602,0.00062576057,0.37923477,0.29303824,0.0016500612,0.09453412,0.0034636899,4.8758849e-06,-0.50378012,-0.12637072,10.093519,3.9865258,-14.490575,5.0352737,0.14116013,-87.411712,-0.11050789,2.3485685,790.99974,8.9048015,1136.4548,0.20027672,98.927574,0.72078208,4.1776193,137.25032,1.7436578,60.453931,3.0757346e-23,-31.085827,-0.22649001,10.093519,137.25032,-14.490575,60.453931,0.0077819985,-16.654826,-0.021055413,4.1921292,790.99974,1.7511915,1136.4548,0.8077678,-165.36878,-0.209063,10.128784,790.99974,-14.473231,1136.4548,0.014580928,-135.9283,-0.17184367,0.29400818,790.99974,0.095229224,1136.4548,0.045453486,-124.33158,-0.15718283,15.160007,790.99974,-46.285114,1136.4548,0.067623321,-590.08761,-0.74600229,0.0016304733,790.99974,0.0034884229,1136.4548,2.0087575e-25,62.883474,0.079498729,4.0010616,790.99974,5.0386949,1136.4548,0.35756949,8721.0572,287542.24,1.1408032,60.724354,1,7
5.1597689,0.62775303,2.3342628,8.219425,8.9045543,9.2353315,1.7234911e-16,0.25082157,0.017610692,2.3342628,14.242574,8.9045543,11.941815,0.83756203,0.15153511,0.43995114,2.3342628,0.34443623,8.9045543,0.40756847,6.6945432e-08,-0.70099096,-0.033179438,2.3342628,21.12727,8.9045543,59.638793,0.69925138,0.00036887136,0.20259843,8.219425,0.0018207019,9.2353315,0.0035942403,0.017166912,0.00030698675,0.16860901,0.34443623,0.0018207019,0.40756847,0.0035942403,0.04805655,-0.61103232,-0.18526543,14.242574,3.2981454,11.941815,8.6816558,0.029596501,-51.14777,-0.057323056,2.3271551,892.2722,8.9450257,1533.0692,0.50741322,51.045721,0.37149293,8.219425,137.40698,9.2353315,64.234131,7.2583735e-06,-23.831864,-0.17343998,14.242574,137.40698,11.941815,64.234131,0.041914221,-47.670474,-0.053425931,8.2550742,892.2722,9.3094507,1533.0692,0.53674768,-69.346088,-0.077718534,14.145191,892.2722,11.728447,1533.0692,0.3684708,-17.573059,-0.019694729,0.34550563,892.2722,0.41138332,1533.0692,0.81997268,173.59851,0.19455779,20.930417,892.2722,59.36032,1533.0692,0.02322545,-765.95019,-0.85842659,0.0017834016,892.2722,0.0036456262,1533.0692,1.1252696e-40,133.92887,0.15009867,3.3214613,892.2722,8.689511,1533.0692,0.081128664,9114.0656,291309.9,1.13317,62.98689,1,8
