SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
5.0773055,0.65070913,2.1630591,7.8027268,6.6723929,12.672962,4.7058774e-58,-1.4308416,-0.089596709,2.1630591,15.969801,6.6723929,32.812888,0.051989759,0.050761951,0.46540244,2.1630591,0.10907109,6.6723929,0.16364251,1.0820334e-26,4.9080696,0.26346313,2.1676237,18.629057,6.6715251,45.417021,6.9098533e-09,0.0007794695,0.54230437,7.756942,0.0014373285,12.470159,0.0033173207,1.0061358e-39,0.00094415972,0.65688515,0.10802466,0.0014373285,0.16123684,0.0033173207,2.6097284e-63,-1.3612801,-0.35258755,15.77578,3.8608285,32.91919,10.78516,3.8519839e-16,-399.81617,-0.48811895,2.1630591,819.09578,6.6723929,1893.1769,1.4400163e-29,35.730946,0.18677474,7.756942,191.30503,12.470159,414.00739,2.5374991e-05,2.5908713,0.013543143,15.77578,191.30503,32.91919,414.00739,0.76212125,-439.62034,-0.52685524,7.756942,834.42339,12.470159,1934.4395,3.359676e-37,-48.414557,-0.058021573,15.77578,834.42339,32.91919,1934.4395,0.19433998,-500.70489,-0.60006095,0.10802466,834.42339,0.16123684,1934.4395,2.0188474e-50,-183.08189,-0.21943538,18.174498,834.33166,45.536326,1931.0595,7.2344708e-07,-660.11879,-0.79110772,0.0014373285,834.42339,0.0033173207,1934.4395,8.2131761e-109,456.17518,0.5466951,3.8608285,834.42339,10.78516,1934.4395,1.8250193e-40,8293.3019,294913.58,1.0822923,425.70003,1,daily
0.87499377,0.13671838,2.1599179,6.3999718,6.7132451,2.5277498,0.0032681509,1.7041238,0.083450612,2.1792154,20.420747,6.7490809,-18.441593,0.071899607,0.026349182,0.11885581,2.1599179,0.22169031,6.7132451,0.074602744,0.010647076,5.2882676,0.19768146,2.1838481,26.751459,6.7480303,-64.927401,1.7939766e-05,0.00018037886,0.12117292,6.2724058,0.0014886069,2.4945631,0.0033188595,0.0071864063,0.00037915339,0.2547035,0.22206967,0.0014886069,0.074788037,0.0033188595,1.0395863e-08,-1.4923443,-0.34294245,20.922379,4.3515882,-18.884432,7.7394095,3.6637103e-15,-461.53829,-0.53244641,2.1792154,866.82582,6.7490809,1490.981,1.77877e-35,66.816376,0.39039774,6.2724058,171.1495,2.4945631,88.975445,2.5243746e-19,-32.569139,-0.18387413,20.922379,177.12736,-18.884432,92.029225,3.7220314e-05,29.342078,0.03330126,6.2724058,881.11015,2.4945631,1542.795,0.4615907,-323.753,-0.36529847,20.922379,886.2698,-18.884432,1527.9303,3.8999944e-17,-191.75793,-0.21763219,0.22206967,881.11015,0.074788037,1542.795,1.1239634e-06,-362.96667,-0.40951838,26.467642,886.3257,-65.288232,1524.4748,1.9367956e-21,-666.08858,-0.75156412,0.0015146645,886.2698,0.0033512976,1527.9303,1.7428984e-91,499.05732,0.56309864,4.3515882,886.2698,7.7394095,1527.9303,6.4341685e-43,8378.2441,291718.68,1.1140302,96.815884,1,0
0.79761323,0.13323371,2.1559754,5.9865723,6.7282794,2.0201085,0.0041612934,1.6722198,0.075175312,2.1730105,22.244269,6.7525958,-18.571961,0.10582497,0.026769556,0.10748725,2.1559754,0.24904867,6.7282794,0.090175555,0.02098387,4.9775393,0.18630081,2.1761494,26.717754,6.7543521,-63.742798,5.5012276e-05,0.00015944068,0.10548205,6.945185,0.0015115432,2.1639536,0.0033187596,0.019392739,0.00038898681,0.25734416,0.25247924,0.0015115432,0.090887221,0.0033187596,7.2273127e-09,-1.4670567,-0.33073262,22.689134,4.4357786,-19.227248,7.4708796,4.5001538e-14,-456.83381,-0.52120572,2.1715263,876.49425,6.7554274,1469.9012,9.5593904e-34,56.152369,0.33214628,6.945185,169.05915,2.1639536,87.042261,4.134329e-14,-5.2968463,-0.03095596,22.689134,171.1091,-19.227248,88.50164,0.49242804,61.865464,0.068928766,6.945185,897.52751,2.1639536,1516.3609,0.12718902,-364.04371,-0.40414335,22.689134,900.77866,-19.227248,1508.2816,7.81457e-21,-201.09359,-0.22405284,0.25247924,897.52751,0.090887221,1516.3609,5.2776699e-07,-376.26592,-0.41839015,26.490285,899.3183,-64.331406,1506.1469,2.3510461e-22,-670.95662,-0.74610063,0.0015120791,899.28435,0.0033301134,1509.7081,2.6539739e-89,513.39316,0.5708908,4.442461,899.28435,7.4907752,1509.7081,3.0819496e-44,8325.2834,291474.26,1.1146373,93.658813,1,1
1.3727702,0.19338661,2.1476951,7.0985795,6.7398374,2.7476329,2.8516869e-05,1.4780873,0.072447287,2.1656603,20.402245,6.7602683,-19.205286,0.11913814,0.029980296,0.12039194,2.1476951,0.24902245,6.7398374,0.085869862,0.0095935847,4.0760218,0.15464967,2.1708079,26.356485,6.7643629,-63.251078,0.00084148146,0.0001983906,0.13372773,7.1968122,0.0014835412,2.7964605,0.0032948925,0.0029582888,0.00036878661,0.24858536,0.2429608,0.0014835412,0.082676078,0.0032948925,2.2994644e-08,-1.68755,-0.3751297,20.89024,4.4985774,-19.792231,7.3163929,5.4932851e-18,-440.70112,-0.50405284,2.1661969,874.31533,6.7654391,1455.6166,2.4742413e-31,40.980857,0.25550053,7.1968122,160.39441,2.7964605,82.432024,9.0014586e-09,-19.470408,-0.11678493,20.89024,166.7202,-19.792231,85.389103,0.0093051092,38.118953,0.042747199,7.1968122,891.72985,2.7964605,1504.8136,0.34404685,-363.21211,-0.40599543,20.89024,894.62117,-19.792231,1497.0503,4.5672379e-21,-191.14585,-0.21435399,0.2429608,891.72985,0.082676078,1504.8136,1.5994362e-06,-344.66401,-0.38494832,26.257184,895.35138,-63.685238,1491.2229,6.7660131e-19,-661.32038,-0.73871156,0.0014961629,895.23492,0.0033133742,1494.7106,1.1234328e-86,512.37336,0.57233397,4.4940684,895.23492,7.3155706,1494.7106,1.6782888e-44,8283.4354,291297.03,1.1151514,91.405103,1,2
0.89249794,0.18153799,2.1338686,4.9163149,6.733324,2.1651166,9.0200419e-05,2.0567864,0.089923538,2.1561887,22.872614,6.7708681,-16.711429,0.052646803,0.020977621,0.096690229,2.1338686,0.21695699,6.733324,0.078300832,0.038173086,3.91488,0.150764,2.1624299,25.966941,6.7672439,-63.11707,0.001152557,0.00015585438,0.10853144,5.0726476,0.0014360298,2.2780756,0.003246802,0.016242822,0.00041683638,0.29027002,0.21708111,0.0014360298,0.077384988,0.003246802,5.7325895e-11,-1.6243635,-0.3666638,23.234249,4.430117,-17.35532,7.1523387,3.1422174e-17,-425.59256,-0.49521025,2.1561887,859.41792,6.7708681,1449.4211,3.8455531e-30,43.538549,0.29387537,5.0726476,148.15311,2.2780756,74.560041,3.2302349e-11,-7.9591285,-0.051267023,23.234249,155.2485,-17.35532,78.73692,0.2544365,103.48229,0.1184232,5.0726476,873.83458,2.2780756,1505.2422,0.008691572,-319.69148,-0.36328082,23.234249,880.012,-17.35532,1489.6294,6.4083859e-17,-197.04005,-0.22548896,0.21708111,873.83458,0.077384988,1505.2422,4.5646153e-07,-328.45872,-0.37338303,25.888449,879.68303,-63.508122,1483.9978,9.3460977e-18,-648.95377,-0.73743741,0.0014595951,880.012,0.0032766409,1489.6294,3.12232e-86,499.15633,0.56721537,4.430117,880.012,7.1523387,1489.6294,1.4295793e-43,8191.6023,291139.73,1.1158217,80.632361,1,3
1.1197838,0.15906572,2.1298833,7.0397561,6.7516637,2.8151541,0.00060003456,1.9535629,0.099068043,2.1415078,19.719405,6.7679979,-18.503813,0.032884904,0.01401793,0.061612292,2.1298833,0.22751839,6.7516637,0.079353057,0.18617659,4.3975683,0.16824184,2.1499672,26.138376,6.7708621,-61.984005,0.00028085326,0.0002299107,0.16028041,7.0659984,0.0014344279,2.8940521,0.0032334808,0.00035305787,0.00044077514,0.30728288,0.22681568,0.0014344279,0.077746089,0.0032334808,3.0603767e-12,-1.7035674,-0.38799321,20.285921,4.3907145,-19.02579,6.9870848,3.1300259e-19,-420.27706,-0.4927218,2.1437618,852.9703,6.7744807,1445.8059,8.2044879e-30,41.600231,0.28130553,7.0659984,147.88273,2.8940521,74.550196,2.0307427e-10,-15.135016,-0.10243322,20.285921,147.75495,-19.02579,74.732065,0.022653295,-11.716205,-0.013507445,7.0659984,867.38872,2.8940521,1491.562,0.76481318,-322.95955,-0.37131263,20.285921,869.77799,-19.02579,1486.1718,1.2546904e-17,-187.23785,-0.21586383,0.22681568,867.38872,0.077746089,1491.562,1.3119029e-06,-360.80295,-0.41415338,26.050568,871.18194,-62.355291,1478.1182,7.4595007e-22,-641.15803,-0.7359512,0.0014532197,871.1964,0.0032508476,1483.3328,1.0210151e-85,484.46369,0.5560901,4.3874076,871.1964,6.9915565,1483.3328,1.3248948e-41,8127.1189,290988.77,1.1162166,78.070046,1,4
1.1338463,0.16786632,2.1208741,6.7544594,6.7518547,2.7278016,0.00029439976,1.114408,0.054533133,2.1350726,20.435429,6.7748782,-19.20083,0.24104304,0.023800526,0.084423172,2.1208741,0.28191936,6.7518547,0.11326423,0.07014776,3.9286748,0.15176214,2.1383465,25.887055,6.7768657,-62.262637,0.001054013,0.00028235424,0.19937914,6.6750804,0.0014161675,2.7006654,0.0032139741,8.5289859e-06,0.00038549,0.27220651,0.27436278,0.0014161675,0.10845749,0.0032139741,8.6510954e-10,-1.8028964,-0.41111995,20.837752,4.3853294,-19.778914,6.8602115,1.435086e-21,-404.85418,-0.47588579,2.1338112,850.73811,6.7779681,1444.3099,1.1778619e-27,50.423995,0.34158146,6.6750804,147.61924,2.7006654,73.522408,6.9699856e-15,-16.419559,-0.11115273,20.837752,147.7207,-19.778914,74.198208,0.01343977,18.992743,0.022029055,6.6750804,862.16782,2.7006654,1484.3009,0.62629646,-317.92172,-0.36711974,20.837752,865.98917,-19.778914,1476.0752,3.3034743e-17,-204.35795,-0.23702804,0.27436278,862.16782,0.10845749,1484.3009,1.0681766e-07,-346.94956,-0.40121783,25.776842,864.74113,-62.597464,1474.6764,1.5718817e-20,-633.39468,-0.73212671,0.0014321298,865.14352,0.0032293546,1478.545,2.0761343e-84,478.88268,0.55352975,4.389367,865.14352,6.8761421,1478.545,3.6681201e-41,8073.3865,290869.37,1.1165231,76.993738,1,5
1.9771016,0.19557255,2.1108195,10.1093,6.7499306,2.8976611,2.449637e-05,0.28290598,0.013072209,2.1271368,21.641789,6.7835114,-19.777805,0.77883582,0.0064316126,0.027324156,2.1108195,0.23538193,6.7499306,0.082414825,0.55927863,3.3685896,0.12884616,2.1316694,26.144276,6.7824155,-62.311899,0.0055455112,0.00022256944,0.15870703,9.9035947,0.0014023918,2.9016156,0.0031712191,0.00042103874,0.00026440692,0.18853998,0.2351526,0.0014023918,0.082526631,0.0031712191,2.662298e-05,-1.762476,-0.40180948,21.653492,4.3863475,-20.293956,6.8070485,1.2491425e-20,-398.02043,-0.46688644,2.1271368,852.49943,6.7835114,1453.3953,1.6975565e-26,55.845063,0.38404494,9.9035947,145.41283,2.9016156,72.11802,1.1448648e-18,-21.781201,-0.14889064,21.653492,146.28993,-20.293956,73.808372,0.00089127888,-21.692925,-0.025327808,9.9035947,856.48648,2.9016156,1499.3922,0.5759483,-306.40878,-0.3550845,21.653492,862.91794,-20.293956,1485.695,3.7259617e-16,-169.15688,-0.19750093,0.2351526,856.48648,0.082526631,1499.3922,1.0619555e-05,-334.24764,-0.38744909,25.882023,862.6879,-62.669481,1481.981,4.1764366e-19,-631.95795,-0.73235001,0.0014319325,862.91794,0.0032009076,1485.695,2.5634962e-84,471.88667,0.54684999,4.3863475,862.91794,6.8070485,1485.695,5.998291e-40,8002.2689,290773.13,1.1170075,75.34974,1,6
1.5420874,0.21519913,2.0944975,7.1658626,6.7388116,2.8779565,3.4449408e-06,1.6104727,0.077760762,2.1182127,20.710608,6.786714,-18.769958,0.09432059,0.041903196,0.14762169,2.0944975,0.28385529,6.7388116,0.11162116,0.001553481,3.7252636,0.14973252,2.1227234,24.879455,6.7855979,-52.092361,0.0012471339,0.00012476682,0.087913902,7.2027308,0.0014191933,2.7943105,0.0031555876,0.052275212,0.00037082616,0.26129363,0.281277,0.0014191933,0.11001644,0.0031555876,4.6437419e-09,-1.6809848,-0.37854428,20.930979,4.4406556,-18.933965,6.8664687,2.599579e-18,-403.61707,-0.46484686,2.1182127,868.27965,6.786714,1467.3714,2.9866318e-26,44.189834,0.30143112,7.2027308,146.6001,2.7943105,73.636101,1.0421072e-11,-21.921086,-0.14840165,20.930979,147.71457,-18.933965,75.779784,0.00092718969,52.289822,0.060065175,7.2027308,870.5514,2.7943105,1520.1982,0.18527845,-301.7171,-0.34330384,20.930979,878.86316,-18.933965,1501.3035,3.8777411e-15,-175.83446,-0.20198056,0.281277,870.5514,0.11001644,1520.1982,6.8956681e-06,-352.49736,-0.4011042,24.49961,878.81743,-52.283225,1497.7097,1.7646959e-20,-644.9209,-0.73381264,0.0014545411,878.86316,0.0031925723,1501.3035,8.1601456e-85,484.03592,0.55075231,4.4406556,878.86316,6.8664687,1501.3035,1.3146826e-40,7981.4308,290803.85,1.1171497,78.242948,1,7
4.0609872,0.38912478,2.1032009,10.436208,6.7511497,11.379361,5.2377936e-18,-1.3472524,-0.066026675,2.1121218,20.404668,6.7885079,7.4191123,0.15516876,0.13436669,0.33678374,2.1032009,0.39897023,6.7511497,0.45797619,1.309389e-13,4.9165788,0.18321943,2.1166108,26.834375,6.7874084,42.586964,7.3281625e-05,0.00052397241,0.34188864,10.303968,0.0015325821,11.216463,0.0033102687,7.4552361e-15,0.000390452,0.25476742,0.39944392,0.0015325821,0.45972717,0.0033102687,1.104199e-08,-1.0034462,-0.24659292,20.121483,4.0692419,7.5316901,9.4573821,2.633866e-08,-377.32833,-0.42529648,2.1121218,887.21245,6.7885079,1721.5461,7.5231826e-22,58.103786,0.35402097,10.303968,164.12527,11.216463,85.405033,6.9486327e-16,-5.1255267,-0.031323105,20.121483,163.63406,7.5316901,85.496441,0.48642296,-253.28369,-0.28311098,10.303968,894.6445,11.216463,1774.4257,1.8248279e-10,-93.547357,-0.10391967,20.121483,900.18915,7.5316901,1758.9235,0.020622131,-201.81316,-0.22557917,0.39944392,894.6445,0.45972717,1774.4257,4.639342e-07,-141.2366,-0.1572118,26.495846,898.38424,42.825088,1753.882,0.00045286996,-714.49681,-0.79371853,0.0015507727,900.18915,0.0033353151,1758.9235,1.0084689e-108,494.85579,0.54972423,4.0692419,900.18915,9.4573821,1758.9235,1.6396968e-40,8338.2877,293459.16,1.1116397,87.517651,1,8
