SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.4471754,-0.14195493,2.3941763,10.194612,14.526053,12.543432,0.15675977,-5.159028,-0.12397921,2.3941763,41.612042,14.526053,25.165507,0.21674173,-0.0021540149,-0.012838292,2.3941763,0.16778049,14.526053,0.24916376,0.89860602,0.97317834,0.068414683,2.5078883,14.2247,14.349085,3.3243405,0.4038944,5.5330238e-05,0.064694464,10.194612,0.0008552546,12.543432,0.0026066278,0.52038485,0.00029352157,0.34319789,0.16778049,0.0008552546,0.24916376,0.0026066278,0.00044222614,-1.0179144,-0.16855668,41.612042,6.0390034,25.165507,-1.0404961,0.091994926,-3.4866308,-0.11735747,2.5078883,29.709492,14.349085,54.948939,0.15126059,7.0574331,0.027785872,10.194612,253.99358,12.543432,472.63238,0.7826848,94.92206,0.37371835,41.612042,253.99358,25.165507,472.63238,0.00011834523,-0.064618382,-0.0020674601,10.194612,31.254959,12.543432,60.557756,0.98362927,-0.86041837,-0.027529019,41.612042,31.254959,25.165507,60.557756,0.78464467,-10.948226,-0.35028764,0.16778049,31.254959,0.24916376,60.557756,0.00032940692,0.034071009,0.0011468055,14.2247,29.709492,3.3243405,54.948939,0.98884986,0.61662361,0.020755105,0.00094305791,29.709492,0.002456793,54.948939,0.80030617,16.668604,0.56105314,7.1909004,29.709492,-2.8842798,54.948939,6.7432472e-14,6141.9826,280557.99,1.109271,440.12758,1,daily
2.9136913,0.25028089,2.9162407,11.641685,15.293241,2.5689483,0.19037381,-1.4770898,-0.047307681,2.9162407,31.223045,15.293241,-26.528828,0.80747114,0.010788947,0.047069755,2.9162407,0.22921187,15.293241,0.10104641,0.80842162,0.13667327,0.0067877987,2.5042987,20.135139,14.39494,-35.392146,0.93407602,0.0001897129,0.20188412,11.641685,0.00093971189,2.5689483,0.0025182288,0.29361719,0.0001189372,0.12656773,0.22921187,0.00093971189,0.10104641,0.0025182288,0.51295336,-1.3430499,-0.21082422,31.223045,6.3704726,-26.528828,-3.3901724,0.27230075,-3.7623489,-0.12694369,2.5042987,29.637937,14.39494,41.430281,0.12036625,50.633538,0.22080413,11.641685,229.31427,2.5689483,287.10506,0.24971619,-79.39982,-0.34624893,31.223045,229.31427,-26.528828,287.10506,0.065772135,10.126705,0.32272153,11.641685,31.379082,2.5689483,46.927071,0.087730666,-10.644201,-0.33921327,31.223045,31.379082,-26.528828,46.927071,0.071834059,-10.539147,-0.33586538,0.22921187,31.379082,0.10104641,46.927071,0.074865978,-10.90713,-0.36801246,20.135139,29.637937,-35.392146,41.430281,3.3380663e-06,0.004086132,0.0001378683,0.001021663,29.637937,0.00240951,41.430281,0.99865949,13.344574,0.45025313,7.5937513,29.637937,-4.9861689,41.430281,6.6097983e-09,6023.775,278358.43,1.1258469,293.54209,1,0
0.75066414,0.11513196,3.112835,6.5200325,14.676333,1.2459762,0.61922274,2.8176736,0.11468627,3.112835,24.568535,14.676333,-25.191119,0.62058912,0.0016071943,0.004964086,3.112835,0.3237644,14.676333,0.18803779,0.98296218,-0.83226644,-0.040244403,2.508075,20.680303,14.383695,-34.994159,0.62369463,4.8597507e-05,0.045546747,6.5200325,0.0010669809,1.2459762,0.00250624,0.84457739,3.8778205e-05,0.036343862,0.3237644,0.0010669809,0.18803779,0.00250624,0.87571675,-1.8111343,-0.27098017,24.568535,6.6836417,-25.191119,-4.165381,0.23477827,-4.0491013,-0.1362997,2.508075,29.707339,14.383695,40.806509,0.095165381,56.306413,0.22547348,6.5200325,249.72521,1.2459762,274.89712,0.32574918,-77.163942,-0.3089954,24.568535,249.72521,-25.191119,274.89712,0.17290794,11.299673,0.45908031,6.5200325,24.613718,1.2459762,43.765811,0.03631033,-16.210228,-0.65858511,24.568535,24.613718,-25.191119,43.765811,0.001169426,-8.1058825,-0.32932378,0.3237644,24.613718,0.18803779,43.765811,0.14490396,-11.374874,-0.38289779,20.680303,29.707339,-34.994159,40.806509,1.2207106e-06,0.2491676,0.008387409,0.0010200999,29.707339,0.0024099713,40.806509,0.91858877,13.543278,0.45588998,7.5485712,29.707339,-5.0233709,40.806509,4.0471073e-09,6024.9281,278337.7,1.1256775,293.24707,1,1
0.44940588,0.054571423,2.9322111,8.2351871,14.41575,2.2385938,0.84091185,-3.960903,-0.16107492,2.9322111,24.59044,14.41575,-25.456531,0.55120968,-0.065725724,-0.25880999,2.9322111,0.25395358,14.41575,0.17666535,0.3330985,-1.3522812,-0.064270272,2.5089671,21.040539,14.375394,-33.861017,0.43303159,0.00010454782,0.13520582,8.2351871,0.00077324941,2.2385938,0.0023811107,0.6175992,-1.4021013e-05,-0.018132588,0.25395358,0.00077324941,0.17666535,0.0023811107,0.94685901,-2.3949599,-0.406207,24.59044,5.89591,-25.456531,-3.9306875,0.11846869,-4.2155581,-0.15085971,2.5089671,27.943566,14.375394,38.856728,0.064459687,151.93932,0.57435584,8.2351871,264.53865,2.2385938,280.6181,0.019970642,-16.086421,-0.06080934,24.59044,264.53865,-25.456531,280.6181,0.82298105,9.2082521,0.38283832,8.2351871,24.052587,2.2385938,48.093348,0.14330854,-16.85237,-0.70064686,24.59044,24.052587,-25.456531,48.093348,0.0025018921,-10.827209,-0.45014737,0.25395358,24.052587,0.17666535,48.093348,0.080184606,-11.538923,-0.41293666,21.040539,27.943566,-33.861017,38.856728,1.3705091e-07,-0.86721523,-0.031034523,0.0010218249,27.943566,0.0024044263,38.856728,0.70522207,11.252137,0.40267364,7.3186392,27.943566,-5.2830132,38.856728,2.9643293e-07,6011.0657,278078.57,1.125589,298.6127,1,2
-1.1457346,-0.1349982,2.7420155,8.4870361,14.073231,2.2833846,0.66013926,-3.4764429,-0.13402151,2.7420155,25.93944,14.073231,-24.238115,0.66246656,-0.093753658,-0.27993277,2.7420155,0.33491491,14.073231,0.17943345,0.35427772,0.0067337445,0.0003178952,2.5093228,21.182278,14.363493,-34.456709,0.99690908,0.00031575135,0.54040264,8.4870361,0.00058428905,2.2833846,0.0022160732,0.056565934,8.4538998e-05,0.14468695,0.33491491,0.00058428905,0.17943345,0.0022160732,0.63720755,-1.712395,-0.32657404,25.93944,5.2435125,-24.238115,-4.9046154,0.27613238,-3.3375991,-0.12157388,2.5093228,27.453257,14.363493,38.532935,0.13700632,-33.44683,-0.13895735,8.4870361,240.69853,2.2833846,276.74433,0.65073419,65.326986,0.27140583,25.93944,240.69853,-24.238115,276.74433,0.36973398,14.10671,0.56803867,8.4870361,24.834067,2.2833846,45.612279,0.042841981,-12.942413,-0.52115559,25.93944,24.834067,-24.238115,45.612279,0.067801496,2.4256992,0.097676277,0.33491491,24.834067,0.17943345,45.612279,0.75090136,-12.302906,-0.44814011,21.182278,27.453257,-34.456709,38.532935,7.92607e-09,-0.4494509,-0.016371496,0.0010241749,27.453257,0.0023912034,38.532935,0.84185761,11.01858,0.40135782,7.338311,27.453257,-5.3947748,38.532935,3.2664526e-07,5978.0085,277960.88,1.1242812,318.15278,1,3
,,,,,,,,,,,,,,,,,,,,,0.81008034,0.038493695,2.5133375,21.044494,14.346957,-34.564589,0.63888257,,,,,,,,,,,,,,,,,,,,,,-2.7722268,-0.10386373,2.5133375,26.691,14.346957,37.58659,0.20439525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.799997,-0.44209649,21.044494,26.691,-34.564589,37.58659,1.323419e-08,0.079632253,0.0029834871,0.0010131955,26.691,0.0023715122,37.58659,0.9709976,10.483943,0.39278946,7.3751361,26.691,-5.6281258,37.58659,6.0834306e-07,5928.7804,277730.66,1.1243161,321.20967,1,4
,,,,,,,,,,,,,,,,,,,,,1.2474063,0.062660714,2.5202508,19.907311,14.327745,-35.202056,0.44466419,,,,,,,,,,,,,,,,,,,,,,-2.7849918,-0.10761713,2.5202508,25.878704,14.327745,37.653521,0.18842406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.633691,-0.41090509,19.907311,25.878704,-35.202056,37.653521,1.5999144e-07,1.0011378,0.038685777,0.0010238269,25.878704,0.0023587734,37.653521,0.63720871,10.301298,0.39806082,7.4626701,25.878704,-5.7486026,37.653521,4.1581082e-07,5896.9334,277621.07,1.1239435,326.3846,1,5
,,,,,,,,,,,,,,,,,,,,,0.97368336,0.049040764,2.5244692,19.854572,14.312828,-35.777156,0.54985645,,,,,,,,,,,,,,,,,,,,,,-3.0494475,-0.1149254,2.5244692,26.534146,14.312828,37.426965,0.1599761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.7504869,-0.32978212,19.854572,26.534146,-35.777156,37.426965,3.5489563e-05,0.67058968,0.025272706,0.0010169179,26.534146,0.0023397075,37.426965,0.7580635,10.844117,0.40868537,7.4607445,26.534146,-5.8488179,37.426965,1.8924758e-07,5849.2688,277517.02,1.1241198,326.89001,1,6
-1.4163352,-0.10011091,2.8092307,14.147661,14.346308,12.453038,0.7448757,40.88608,0.50582083,2.9945709,80.831151,14.693,10.833821,0.064987847,0.14358683,0.43792524,2.8092307,0.32787977,14.346308,0.14643251,0.13447647,1.1256918,0.054937232,2.5296353,20.490508,14.289308,-35.037858,0.50287283,-1.1613276e-05,-0.012162562,14.147661,0.00095483796,12.453038,0.0024049963,0.96854366,0.00046888176,0.49105898,0.32787977,0.00095483796,0.14643251,0.0024049963,0.088373422,-1.8953127,-0.25705012,80.831151,7.3733196,10.833821,-3.9952143,0.37499024,-3.2576095,-0.12020169,2.5296353,27.101195,14.289308,37.093485,0.14152798,-94.327259,-0.59920733,14.147661,157.42007,12.453038,256.94127,0.030446936,-12.36825,-0.081730731,80.831151,151.32925,10.833821,258.29619,0.7811959,-15.197283,-0.49363799,14.147661,30.786292,12.453038,45.092611,0.086460508,-17.532793,-0.5599973,80.831151,31.308709,10.833821,42.349479,0.037286567,2.6179761,0.085037071,0.32787977,30.786292,0.14643251,45.092611,0.78238575,-9.477724,-0.3497161,20.490508,27.101195,-35.037858,37.093485,1.0752009e-05,0.25088683,0.0092574083,0.0010095194,27.101195,0.0023298269,37.093485,0.91017798,11.129217,0.4106541,7.3748047,27.101195,-5.8972219,37.093485,1.630685e-07,5824.5672,277457.34,1.1246695,323.44321,1,7
8.3497648,0.14082284,2.9174145,59.292689,15.385471,11.0725,0.58981778,28.734902,0.65993271,3.0075647,43.542169,15.428312,8.51375,0.0054053586,-0.0035060799,-0.0089105383,3.0075647,0.39347565,15.428312,0.38566961,0.97387295,-0.23229989,-0.012257999,2.5376925,18.950881,14.279384,-29.393742,0.88125164,5.6985827e-05,0.053268979,59.292689,0.0010697751,11.0725,0.0025514299,0.83909803,-7.0564967e-05,-0.063990143,0.39347565,0.0011027475,0.38566961,0.0025353967,0.81386883,-0.22469622,-0.031439839,43.542169,7.146863,8.51375,-5.3856562,0.90798099,-3.4838581,-0.12067361,2.5376925,28.870092,14.279384,39.009504,0.13996029,9.4336934,0.064580559,59.292689,146.07637,11.0725,246.58331,0.80549113,-40.639488,-0.27257796,43.542169,149.09308,8.51375,252.00035,0.30707597,1.6184677,0.054598675,59.292689,29.642986,11.0725,27.404803,0.83513268,-9.8749675,-0.33400584,43.542169,29.565254,8.51375,29.271444,0.20610713,-8.0080557,-0.27086038,0.39347565,29.565254,0.38566961,29.271444,0.31025514,-8.7864392,-0.304344,18.950881,28.870092,-29.393742,39.009504,0.0001451085,0.62857791,0.021772633,0.0010014785,28.870092,0.0023328752,39.009504,0.79073617,12.849651,0.44508522,7.4527029,28.870092,-5.6445199,39.009504,1.0283443e-08,5832.1881,277702.67,1.1233588,335.86163,1,8
