SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0148566e-05,0.0076339864,13.528345,0.0013293927,13.403178,0.0037512919,0.94641709,0.0002404769,0.18089229,0.2673395,0.0013293927,0.35312045,0.0037512919,0.10832597,-1.2060787,-0.25704017,17.624366,4.6921799,13.820746,3.1545408,0.018986584,,,,,,,,31.479245,0.22147324,13.528345,142.13566,13.403178,353.9545,0.048343982,-56.982544,-0.40104746,17.624366,142.08429,13.820746,355.40654,0.00017174302,-12.50964,-0.39046402,13.528345,32.037881,13.403178,44.348438,0.00034267003,3.0240936,0.094179912,17.624366,32.109752,13.820746,43.136873,0.39705533,-21.099073,-0.65856644,0.2673395,32.037881,0.35312045,44.348438,3.1448406e-11,10.788245,0.33932128,15.87715,31.793599,35.427776,42.373676,0.0013037313,-13.150779,-0.41362977,0.001391381,31.793599,0.0037564105,42.373676,6.8291943e-05,8.0381778,0.25282377,5.0099584,31.793599,2.7711663,42.373676,0.018147457,9391.0262,279858.62,1.1965514,370.33151,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.1315741e-05,-0.055252128,11.581638,0.0014717214,7.6857232,0.0034173515,0.68587983,-0.00018302508,-0.12503846,0.50381872,0.0014637503,0.42611263,0.0034507203,0.36304008,-1.603628,-0.35016309,20.403056,4.5796603,-14.821538,1.3742308,0.004243649,,,,,,,,127.66838,0.53417995,11.581638,238.99882,7.6857232,301.35118,2.2331623e-05,-80.053516,-0.34629838,20.403056,231.16919,-14.821538,279.37426,0.0047165933,-4.4549109,-0.15602893,11.581638,28.551826,7.6857232,40.499461,0.25083301,-8.9047121,-0.29671051,20.403056,30.011448,-14.821538,35.104435,0.016392384,-4.8664316,-0.16904678,0.50381872,28.787485,0.42611263,40.666103,0.21728072,-10.459731,-0.34928071,22.221291,29.946488,-16.993836,34.465759,0.0024556354,-11.777801,-0.3932949,0.001520317,29.946488,0.0035520806,34.465759,0.00057711865,4.303175,0.14369548,5.1030021,29.946488,0.81869863,34.465759,0.22518705,8880.2016,277825.37,1.2086427,291.13833,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00023679467,-0.16210255,11.847659,0.0014607708,6.7307018,0.0033981878,0.2283111,-0.00011727341,-0.08028187,0.46786441,0.0014607708,0.33973898,0.0033981878,0.55274886,-1.4307307,-0.30986762,18.997072,4.6172319,-14.053676,0.74801471,0.010126171,,,,,,,,117.03534,0.49946456,11.847659,234.32161,6.7307018,285.80548,7.6459429e-05,-79.766627,-0.35243372,18.997072,226.33086,-14.053676,272.06983,0.0032028621,-2.6127805,-0.095120482,11.847659,27.468116,6.7307018,36.63493,0.48153738,-9.9689061,-0.35223114,18.997072,28.302171,-14.053676,31.052787,0.0032216813,-4.3674198,-0.15899961,0.46786441,27.468116,0.33973898,36.63493,0.23746013,-11.28595,-0.39999685,22.638609,28.215097,-15.904054,31.23538,0.00041406663,-12.164842,-0.43114658,0.0015149176,28.215097,0.0035230711,31.23538,0.00012560827,2.0137542,0.071371515,5.024274,28.215097,0.36898649,31.23538,0.54565758,8807.6779,277363.21,1.2105259,281.85659,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00019339189,-0.13681961,15.663308,0.0014134807,6.7215517,0.0034502659,0.30577371,6.1364545e-05,0.043413783,0.4386935,0.0014134807,0.31781278,0.0034502659,0.74625244,-1.367593,-0.28916457,20.789369,4.7294626,-14.625735,0.65941176,0.016773296,,,,,,,,73.92266,0.33360461,15.663308,221.58764,6.7215517,287.84615,0.010493713,-53.09848,-0.24451039,20.789369,217.16247,-14.625735,272.9456,0.04448234,-0.9797739,-0.035147318,15.663308,27.876207,6.7215517,33.882975,0.79337697,-10.964897,-0.38942162,20.789369,28.156879,-14.625735,29.284634,0.0010295589,-0.46913486,-0.016829222,0.4386935,27.876207,0.31781278,33.882975,0.90021772,-9.6695155,-0.34320803,22.742277,28.17392,-14.513514,29.795138,0.0027568862,-11.616541,-0.41231538,0.0014770141,28.17392,0.0035355349,29.795138,0.00026193582,2.7637601,0.098096398,5.120225,28.17392,0.27885135,29.795138,0.40569191,8838.8372,277333.96,1.2095897,283.47588,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00049287814,-0.35614201,8.6986419,0.0013839371,4.5789561,0.0033955369,0.0065475086,6.0628886e-05,0.043533574,0.4232012,0.0013926926,0.27044222,0.0034089957,0.75004589,-1.6130599,-0.3480402,20.523397,4.6346943,-14.423838,0.42953846,0.0044979625,,,,,,,,95.238761,0.43885453,8.6986419,217.0167,4.5789561,274.69167,0.00063808271,-66.712425,-0.31107991,20.523397,214.45431,-14.423838,266.98423,0.011660239,5.860351,0.21031903,8.6986419,27.864103,4.5789561,34.744823,0.11634161,-7.0576723,-0.25116303,20.523397,28.099964,-14.423838,29.714207,0.043578083,-1.0582223,-0.038165705,0.4232012,27.727047,0.27044222,34.132845,0.78004065,-9.0416331,-0.31949149,22.683658,28.300075,-15.69726,30.467746,0.0058650493,-12.730138,-0.449827,0.0014120905,28.300075,0.0034526042,30.467746,6.5346129e-05,1.971355,0.069659002,4.9545821,28.300075,0.054794521,30.467746,0.55814006,8631.5105,277090.04,1.2104961,281.31667,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00014821756,-0.10565998,13.565335,0.0014027786,6.4457712,0.003396031,0.42576593,8.023848e-05,0.057199673,0.44960852,0.0014027786,0.3549815,0.003396031,0.66696938,-1.2416894,-0.26138851,20.77585,4.7503596,-14.267164,0.34708955,0.03263133,,,,,,,,50.778048,0.24441143,13.565335,207.75643,6.4457712,265.95202,0.062098008,-86.670059,-0.42109719,20.77585,205.81961,-14.267164,264.27897,0.00038744035,1.2809448,0.044659169,13.565335,28.682683,6.4457712,32.796323,0.73697521,-9.1067441,-0.31667941,20.77585,28.756982,-14.267164,29.144759,0.0090298568,-3.3926815,-0.11828327,0.44960852,28.682683,0.3549815,32.796323,0.37225926,-8.9031969,-0.31200953,22.327343,28.535016,-15.357993,28.876888,0.0064284943,-12.650169,-0.44332089,0.001420598,28.535016,0.0034589728,28.876888,6.7960613e-05,2.498379,0.087554849,5.0302985,28.535016,-0.071933333,28.876888,0.45509501,8647.4319,276970.68,1.2108931,278.14817,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00025686303,-0.18955863,10.054278,0.0013550585,5.195614,0.0033512206,0.15787019,-2.0839913e-05,-0.015379345,0.38668055,0.0013550585,0.27755,0.0033512206,0.90959788,-0.81878889,-0.16817727,21.47476,4.8686061,-15.189675,0.16214286,0.18765712,,,,,,,,67.451531,0.35545932,10.054278,189.75879,5.195614,262.70078,0.0066588353,-83.481249,-0.44658972,21.47476,186.93052,-15.189675,258.088,0.00024363247,0.54980236,0.019226869,10.054278,28.595522,5.195614,32.235742,0.88711414,-8.5480865,-0.29784272,21.47476,28.700001,-15.189675,29.270918,0.017749927,-8.9848277,-0.31420401,0.38668055,28.595522,0.27755,32.235742,0.017300481,-8.1713623,-0.290302,22.787312,28.147799,-16.348592,28.972779,0.014055288,-11.608375,-0.4124079,0.001371377,28.147799,0.003387198,28.972779,0.00035184851,3.4779102,0.12355887,5.1084086,28.147799,-0.32795775,28.972779,0.30461556,8467.995,276696.73,1.2114597,279.91118,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00037800439,-0.28333689,8.6979359,0.0013341164,3.8421053,0.0033055659,0.032701121,-8.179454e-06,-0.0061309899,0.37724835,0.0013341164,0.24293687,0.0033055659,0.96389778,-1.1319575,-0.23077303,20.400912,4.9050685,-15.693651,-0.11587302,0.068808964,,,,,,,,96.644496,0.55599359,8.6979359,173.82304,3.8421053,257.88723,7.1199199e-06,-69.315168,-0.40132704,20.400912,172.71492,-15.693651,255.26814,0.0011146855,4.8527197,0.17803127,8.6979359,27.257682,3.8421053,31.552618,0.18519065,-8.8590741,-0.32352503,20.400912,27.382963,-15.693651,28.70787,0.0096972123,-4.6354756,-0.17006126,0.37724835,27.257682,0.24293687,31.552618,0.20596983,-10.383446,-0.38719428,22.287767,26.817148,-17.515068,27.667837,0.00071406043,-11.339064,-0.42282886,0.0013685172,26.817148,0.0033549946,27.667837,0.00019400154,1.8444921,0.068780322,5.1559446,26.817148,-0.64294521,27.667837,0.56312785,8387.4865,276368.06,1.2135736,265.23269,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.5715716e-05,-0.071836757,16.289492,0.0013324059,5.6737705,0.0033293129,0.58220453,0.00029436046,0.22092402,0.39715147,0.0013324059,0.30980799,0.0033293129,0.087083462,-1.073813,-0.22112157,18.716269,4.8562108,-12.745588,-0.19926471,0.06996883,,,,,,,,59.263801,0.35447956,16.289492,167.18538,5.6737705,260.67126,0.0050638796,-65.29052,-0.38424915,18.716269,169.91715,-12.745588,257.04789,0.0012163645,-0.88553165,-0.033239702,16.289492,26.640782,5.6737705,28.934547,0.7992562,-6.023482,-0.22708,18.716269,26.525814,-12.745588,26.231318,0.062569078,-10.503625,-0.39426864,0.39715147,26.640782,0.30980799,28.934547,0.0016662719,-9.7743246,-0.37362547,20.905853,26.160756,-13.345333,26.345615,0.00096070379,-11.305017,-0.43213647,0.0013898876,26.160756,0.003388809,26.345615,0.00010817536,0.85691416,0.032755711,5.1493273,26.160756,-0.6436,26.345615,0.7802578,8472.0226,276323.4,1.2140959,266.79505,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6829581e-05,0.050636478,13.061381,0.0013197913,14.613568,0.0034478992,0.70330066,0.00020994721,0.15907607,0.44318006,0.0013197913,0.63429202,0.0034478992,0.22881238,-2.5576731,-0.56708724,16.680674,4.5101933,-0.77313433,0.63171642,5.6356269e-07,,,,,,,,60.328806,0.36131526,13.061381,166.96999,14.613568,256.1404,0.0049296226,-28.289276,-0.1650284,16.680674,171.42065,-0.77313433,258.06683,0.18201851,-1.1345558,-0.039066728,13.061381,29.041484,14.613568,34.019729,0.7689345,-4.8301277,-0.16498848,16.680674,29.275546,-0.77313433,30.108571,0.18212573,-4.3197345,-0.14874359,0.44318006,29.041484,0.63429202,34.019729,0.26086718,-8.6969199,-0.30349573,18.182023,28.655823,22.152709,29.163332,0.0085728277,-14.447233,-0.49952828,0.0013420853,28.921751,0.0034873583,29.75672,5.0576993e-06,1.3830942,0.047821937,4.8213624,28.921751,0.17593333,29.75672,0.68369416,8718.3957,277150.08,1.2119667,271.3441,1,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7048978e-05,0.063322242,25.981196,0.0013746983,30.606373,0.0035838937,0.6460293,0.00056183348,0.42000725,0.26948926,0.0013376757,0.45857495,0.0035169043,0.0017423005,-2.0231339,-0.43388905,29.391897,4.6627909,31.024194,2.2368548,0.00042648064,,,,,,,,44.126351,0.25344634,25.981196,174.1053,30.606373,302.9935,0.061894944,26.70921,0.15711611,29.391897,169.99663,31.024194,291.35683,0.22263632,-2.0474442,-0.063246673,25.981196,32.372362,30.606373,43.196696,0.6464237,9.3981259,0.28534298,29.391897,32.936243,31.024194,39.009366,0.024574368,-3.1409602,-0.098647514,0.26948926,31.840237,0.45857495,44.82676,0.48220728,18.653193,0.56930555,37.787469,32.764819,81.188035,37.064569,2.209996e-07,-16.998329,-0.52015465,0.0014527561,32.679376,0.0036876185,37.428353,2.8270146e-06,3.2744143,0.10019819,5.0191412,32.679376,1.6651389,37.428353,0.40234514,9219.0462,278604.52,1.2064029,307.37056,1,9
