SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-1.2548502,-0.054008624,6.985165,23.234256,39.326178,38.230154,0.5292534,-8.1647914,-0.1858922,7.3830277,43.922185,38.626892,42.239758,0.018975971,0.044203912,0.24236181,6.985165,0.18238811,39.326178,0.41912427,0.0041827843,-3.3478338,-0.20874681,7.2888367,16.037772,38.640361,23.306585,0.0073088641,-6.5915444e-05,-0.058654351,22.561482,0.0011237946,34.569004,0.0049540503,0.44069056,0.00037563371,0.33425476,0.18793526,0.0011237946,0.3909037,0.0049540503,6.1605479e-06,-0.39872649,-0.16072276,42.605895,2.4808341,40.486516,7.5367531,0.020697609,-3.0394951,-0.14126101,7.2887325,21.516872,38.596156,37.433816,0.070323355,11.363649,0.071965233,22.561482,157.90471,34.569004,211.27836,0.34393654,-92.787345,-0.53854487,42.605895,172.29269,40.486516,218.49766,5.7727335e-17,2.9451034,0.12814018,22.561482,22.98345,34.569004,40.648487,0.091035375,7.1870735,0.31795637,42.605895,22.603961,40.486516,38.306762,3.0323027e-06,-10.528937,-0.4581095,0.18793526,22.98345,0.3909037,40.648487,1.8349423e-10,8.9749659,0.40200871,16.271379,22.325302,22.399547,38.016185,1.2240895e-09,-13.450801,-0.60270523,0.0011192336,22.317379,0.0050615519,38.113021,1.8799288e-22,3.7098541,0.16623162,2.4500527,22.317379,7.5375112,38.113021,0.015152373,12653.88,280301.13,1.2668154,214.57243,1,daily
1.1852,0.070082425,6.9425331,16.911516,40.491485,12.034788,0.69835154,-1.0573042,-0.04334415,8.3248906,24.393239,39.764667,-25.186549,0.76264653,0.047682298,0.11873675,6.9425331,0.40157995,40.491485,0.19873137,0.51045797,-2.8358411,-0.13925875,7.4003668,20.363826,38.600816,-36.238325,0.079044731,-0.00062366584,-0.40832388,16.832768,0.0015273803,10.229063,0.0049399046,0.0089047637,0.00058537404,0.38325363,0.42865001,0.0015273803,0.24535977,0.0049399046,0.014644072,-0.083876669,-0.028305307,21.905224,2.9632842,-22.03787,6.843226,0.81210282,-0.80219411,-0.031176583,7.4003668,25.730662,38.600816,23.357704,0.69553176,151.99256,0.5616018,16.832768,270.64116,10.229063,270.78411,0.00016292982,-97.299282,-0.41030683,21.905224,237.13786,-22.03787,232.39037,0.00031180568,17.509044,0.5606789,16.832768,31.228291,10.229063,39.365682,0.00016791822,-19.622531,-0.70434989,21.905224,27.859067,-22.03787,27.488751,3.581776e-12,-9.9143848,-0.31748086,0.42865001,31.228291,0.24535977,39.365682,0.045908587,-9.694949,-0.39431188,18.682901,24.587007,-34.708092,21.988436,2.6786741e-09,-8.9433237,-0.3639984,0.0012474952,24.569679,0.0048431017,22.085329,4.5022272e-08,6.9841857,0.28426036,3.3599354,24.569679,5.2396268,22.085329,2.5375116e-05,12107.754,278029.12,1.2814053,110.6583,1,0
8.7307658,0.52459376,5.3551257,16.642908,39.07425,10.175538,0.0059358649,-4.2571637,-0.18133688,7.0027742,23.476547,37.731869,-25.887881,0.25043617,0.060734944,0.15495801,5.3551257,0.39194452,39.07425,0.1989987,0.44973462,-1.9457871,-0.094482433,7.3967221,20.594169,38.598187,-34.841881,0.23467245,-0.00079122692,-0.54338617,16.35045,0.0014561043,7.7840161,0.0047567654,0.0015826083,0.00014043249,0.096443982,0.36457497,0.0014561043,0.18991549,0.0047567654,0.60577304,0.099910249,0.029727193,21.197241,3.3609043,-23.830402,6.9205738,0.82009423,-0.55802078,-0.021981782,7.3967221,25.385603,38.598187,22.72806,0.7826224,139.96107,0.49494571,16.35045,282.78065,7.7840161,325.43018,0.0046442729,-93.439153,-0.36972046,21.197241,252.72919,-23.830402,259.54795,0.0033619136,16.575348,0.53633439,16.35045,30.904876,7.7840161,39.548815,0.0018697011,-16.86115,-0.6309181,21.197241,26.724784,-23.830402,27.224675,5.0278561e-08,-10.810782,-0.34980831,0.36457497,30.904876,0.18991549,39.548815,0.053723916,-8.3561128,-0.34587334,18.859621,24.159459,-33.376118,21.246021,2.3843589e-07,-8.5894089,-0.35563827,0.0012871834,24.152094,0.0048057183,21.352112,9.5397598e-08,5.8706207,0.24306881,3.5138691,24.152094,5.0170563,21.352112,0.0003430089,12014.296,277805.75,1.2818881,111.21923,1,1
3.0335117,0.21911455,6.2182394,13.84441,40.578726,6.6544516,0.23629319,1.5553789,0.055633816,7.6336497,27.957436,38.86621,-17.50939,0.70117268,0.058874169,0.13437448,6.2182394,0.43813505,40.578726,0.29580116,0.47109489,-1.6823482,-0.083995392,7.4116034,20.029054,38.578915,-33.801022,0.29250318,-0.0010157463,-0.63320538,13.140829,0.001604134,4.0802195,0.005267053,8.8710812e-06,0.00032995943,0.20569319,0.40531533,0.001604134,0.27686677,0.005267053,0.19698276,-0.3450153,-0.10891163,24.767652,3.1678462,-16.978318,6.9527973,0.35564535,-0.3522241,-0.014453331,7.4116034,24.369753,38.578915,22.264176,0.85650806,120.29884,0.48556407,13.140829,247.7507,4.0802195,202.27147,0.0012904509,-86.758344,-0.35908541,24.767652,241.60921,-16.978318,206.73045,0.0016786749,14.538652,0.52455525,13.140829,27.71615,4.0802195,35.616716,0.00043054866,-13.230835,-0.53200316,24.767652,24.869843,-16.978318,24.408993,1.0718848e-06,-9.3991428,-0.33912152,0.40531533,27.71615,0.27686677,35.616716,0.03008165,-7.4517356,-0.3218054,18.457869,23.15603,-32.101252,20.497785,1.7033048e-06,-7.2841564,-0.31424815,0.0013107013,23.179631,0.0047465977,20.628201,2.8915824e-06,5.4198599,0.23381994,3.6718016,23.179631,4.7406901,20.628201,0.00058123902,11866.494,277523.75,1.2830897,106.15911,1,2
8.0494977,0.42290299,4.9661963,19.03391,39.415093,6.1993148,0.027964724,-5.4128516,-0.26030607,6.4967484,20.794182,38.026585,-19.588011,0.077208369,0.034552224,0.077557813,4.9661963,0.44550281,39.415093,0.30188009,0.70059845,-1.5035613,-0.076539693,7.4056442,19.644204,38.574969,-31.656399,0.33759841,-0.00057513773,-0.3678758,16.631813,0.0015634019,4.1837162,0.0050334568,0.025084195,0.00039723256,0.25408218,0.42256029,0.0015634019,0.29459815,0.0050334568,0.12913979,0.10926851,0.035746015,18.304771,3.0568025,-17.954209,6.5378311,0.76237733,0.74460053,0.032517435,7.4056442,22.898502,38.574969,21.156925,0.68408021,110.60231,0.41154157,16.631813,268.75125,4.1837162,207.87211,0.011385378,-64.678223,-0.25260907,18.304771,256.04078,-17.954209,206.55581,0.029902613,13.120568,0.43428801,16.631813,30.211674,4.1837162,35.478337,0.0072372146,-15.082525,-0.58547927,18.304771,25.760989,-17.954209,23.96745,4.2764224e-08,-13.046036,-0.43182103,0.42256029,30.211674,0.29459815,35.478337,0.0076129063,-7.6175485,-0.34800357,18.052164,21.889283,-30.299932,19.384983,1.9872768e-07,-6.908895,-0.31499488,0.001308202,21.933356,0.0047061011,19.525263,2.7308174e-06,4.2966689,0.19589656,3.6425768,21.933356,4.50423,19.525263,0.0041040309,11765.253,277297.17,1.2835158,106.05212,1,3
1.0487785,0.066903288,5.6418639,15.676038,40.133339,7.9198571,0.73516897,-3.4089394,-0.15213359,7.0216332,22.407539,39.000362,-20.031819,0.30732648,-0.072785169,-0.18079691,5.6418639,0.40257972,40.133339,0.22571349,0.35721289,-1.7937975,-0.090022122,7.3778024,19.926185,38.576606,-31.348562,0.25760427,-0.00060802661,-0.37735231,14.819337,0.0016112969,6.1268529,0.0050643389,0.02780125,0.00063632363,0.39491395,0.40311103,0.0016112969,0.24566581,0.0050643389,0.020808585,-0.13430505,-0.041461645,19.915651,3.2392601,-18.56339,6.3523162,0.73709176,0.6524661,0.028775699,7.3751055,22.674205,38.53341,21.301509,0.71708844,107.99045,0.39380644,14.819337,274.22214,6.1268529,232.52566,0.021201515,-73.097367,-0.2684611,19.915651,272.2829,-18.56339,233.48881,0.026859726,13.720462,0.47326447,14.819337,28.991109,6.1268529,34.015879,0.0047001975,-14.887777,-0.58618974,19.915651,25.39754,-18.56339,24.433618,1.5037715e-07,-11.791247,-0.40671943,0.40311103,28.991109,0.24566581,34.015879,0.016982855,-7.2628234,-0.33710683,18.210903,21.544575,-30.132566,19.325199,4.9753793e-07,-6.8435353,-0.31698713,0.0013121257,21.589316,0.004648835,19.464266,2.3425187e-06,3.8679039,0.17915824,3.7094471,21.589316,4.3048427,19.464266,0.0087780442,11622.088,277098.95,1.2838659,107.19554,1,4
3.3507176,0.14761936,5.1967962,22.698362,39.702906,8.6971719,0.42008774,-4.5262203,-0.21473609,6.2219293,21.078061,39.440261,-19.492648,0.16157845,-0.086471101,-0.18986468,5.1967962,0.45543543,39.702906,0.27608416,0.29796356,-2.2358749,-0.11213876,7.3436161,19.938466,38.638563,-30.393321,0.15933787,-0.00024353231,-0.15187551,21.689616,0.0016034995,7.4635278,0.0047618406,0.37656749,0.0006239018,0.38908761,0.4590943,0.0016034995,0.28916114,0.0047618406,0.019006555,0.16499912,0.054075222,18.985169,3.0512889,-18.365894,5.8436212,0.66630026,0.65736361,0.029209486,7.3414789,22.505141,38.594703,21.457277,0.71387613,121.74242,0.45604848,21.689616,266.95061,7.4635278,220.12616,0.0051834695,-89.182275,-0.30236848,18.985169,294.94567,-18.365894,236.74651,0.01360312,6.3596384,0.22669842,21.689616,28.053298,7.4635278,35.746079,0.18365873,-13.753379,-0.53904669,18.985169,25.514262,-18.365894,24.981114,3.0183899e-06,-11.873341,-0.42324224,0.4590943,28.053298,0.28916114,35.746079,0.010111745,-6.9810148,-0.32843609,18.385369,21.255322,-29.202047,19.403384,1.0075119e-06,-7.2145237,-0.33861628,0.001300918,21.305897,0.0046070137,19.545198,4.1219946e-07,2.9443352,0.13819344,3.6503951,21.305897,4.1803967,19.545198,0.043938672,11517.534,276963.19,1.2839401,111.59646,1,5
2.804895,0.2804685,6.5940652,10.000749,41.577929,5.1903393,0.14827881,-1.7300027,-0.082014801,8.1604985,21.093786,40.146085,-19.018489,0.58365801,-0.06942096,-0.19988132,6.5940652,0.34731089,41.577929,0.17175207,0.30782863,-1.4877472,-0.07387355,7.3413732,20.139105,38.629104,-29.507248,0.35474465,-0.00048008156,-0.34440838,9.7199784,0.0013939311,3.7284865,0.0050547332,0.036852823,0.0005836756,0.41872629,0.36023569,0.0013939311,0.2111076,0.0050547332,0.009899182,-0.12312787,-0.041452938,18.576283,2.970305,-16.840688,6.0607292,0.72954372,0.80333965,0.036279136,7.3397305,22.143296,38.584744,21.055714,0.64878503,130.30365,0.52209751,9.7199784,249.57723,3.7284865,197.67467,0.00091836951,-117.22701,-0.38944843,18.576283,301.00778,-16.840688,223.17682,0.00072144251,9.3555383,0.39569943,9.7199784,23.643042,3.7284865,29.664928,0.015342061,-9.9891175,-0.48833983,18.576283,20.455259,-16.840688,20.216439,1.3505757e-05,-7.3793214,-0.31211386,0.36023569,23.643042,0.2111076,29.664928,0.060021181,-6.324234,-0.30335845,18.413181,20.847397,-28.651047,18.858385,6.8827196e-06,-6.670323,-0.31919708,0.0012827194,20.897193,0.0045877115,18.997611,1.9734766e-06,3.110066,0.14882697,3.6606309,20.897193,4.08023,18.997611,0.029902165,11469.279,276844.79,1.2841581,115.07403,1,6
2.8113077,0.2582541,6.2989987,10.88582,41.331793,5.540931,0.17616956,-1.943408,-0.081763322,7.3761026,23.768701,39.890585,-11.942868,0.56054777,-0.0041248772,-0.0094385867,6.2989987,0.43702276,41.331793,0.26721915,0.96124325,-0.49606886,-0.028926974,7.3377901,17.149006,38.618852,-20.253981,0.71738713,4.8671331e-05,0.033957356,10.417171,0.0014333074,4.5917,0.0050288953,0.8464467,0.00032304616,0.22538511,0.45743483,0.0014333074,0.30918448,0.0050288953,0.19298618,-0.66664957,-0.23954275,21.268805,2.7830087,-12.249673,6.15206,0.038461916,1.0812502,0.047211878,7.3374747,22.90208,38.573163,21.347736,0.55329051,53.650208,0.21778615,10.417171,246.34352,4.5917,205.52832,0.20882661,-86.864907,-0.29037072,21.268805,299.15175,-12.249673,227.56824,0.01149919,2.2450341,0.092231718,10.417171,24.341236,4.5917,31.572209,0.59822197,-2.8675453,-0.1334425,21.268805,21.488995,-12.249673,20.354754,0.25372475,-6.387866,-0.26242981,0.45743483,24.341236,0.30918448,31.572209,0.12775716,-6.5704803,-0.30738774,15.377165,21.375219,-19.988901,18.75408,5.1138669e-06,-7.0231599,-0.32751775,0.0012537519,21.443601,0.0046352865,18.908563,1.0222469e-06,3.7581865,0.17525912,3.5665043,21.443601,4.2549366,18.908563,0.010388071,11588.216,276984.92,1.2841419,117.09148,1,7
-5.9295603,-0.25103843,6.6439966,23.62013,41.22106,25.417048,0.1087989,-1.8422696,-0.10194564,7.5038927,18.071098,40.179672,-2.5773433,0.41170373,0.0058412195,0.014662322,6.6439966,0.39838299,41.22106,0.88209342,0.92657098,-2.1072945,-0.097619249,7.3295475,21.586874,38.606654,30.551208,0.2208973,-0.00012984181,-0.091761126,21.829179,0.001414998,22.318852,0.0049940238,0.50930497,-0.00011069772,-0.078231714,0.38275319,0.001414998,0.8423283,0.0049940238,0.57391527,-0.60212891,-0.22373447,16.186867,2.6912657,-1.6690208,6.6357396,0.028431293,1.0887473,0.041943718,7.329523,25.957338,38.560725,25.418559,0.59845564,91.720368,0.40967356,21.829179,223.88647,22.318852,176.17174,0.0020960007,-95.846092,-0.3852211,16.186867,248.808,-1.6690208,187.15771,0.00010635199,6.3162701,0.21224705,21.829179,29.759047,22.318852,37.396878,0.12336303,-9.3263651,-0.3387364,16.186867,27.532811,-1.6690208,26.532465,0.00073592972,4.0242524,0.13522786,0.38275319,29.759047,0.8423283,37.396878,0.3295832,1.9635874,0.080752663,22.842818,24.31607,27.318262,22.386203,0.24170412,-10.007424,-0.41021634,0.0012256752,24.395478,0.0049285246,22.562991,4.7254743e-10,5.8282747,0.23890799,3.1777545,24.395478,5.5506502,22.562991,0.00043595878,12321.311,278240.68,1.2814133,120.66228,1,8
