SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00022652075,-0.20893175,11.596374,0.0010841854,19.441762,0.005604165,0.021457476,-0.00014081589,-0.12988174,0.2163538,0.0010841854,0.71713513,0.005604165,0.15563937,-0.28646079,-0.1208008,6.5088071,2.3713484,2.3419379,8.3030036,0.18688348,,,,,,,,99.12041,0.58702114,11.596374,168.85322,19.441762,251.64157,1.4804566e-12,-103.30971,-0.61183148,6.5088071,168.85322,2.3419379,251.64157,8.9751388e-14,152.55342,0.66180834,11.596374,230.50997,19.441762,364.3159,1.4053632e-16,-62.753615,-0.27223818,6.5088071,230.50997,2.3419379,364.3159,0.0025210218,46.813115,0.20308499,0.2163538,230.50997,0.71713513,364.3159,0.025477711,,,,,,,,-117.06725,-0.50786196,0.0010841854,230.50997,0.005604165,364.3159,2.7505022e-09,14.465874,0.062755956,2.3713484,230.50997,8.3030036,364.3159,0.49408599,14010.413,281267.37,1.2586027,251.64157,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00011655295,-0.10425211,17.576851,0.0011179913,11.583205,0.0055103177,0.2551315,-1.0832366e-05,-0.0096891326,0.51288829,0.0011179913,0.8066274,0.0055103177,0.91599762,-0.54197231,-0.20255726,8.9995217,2.6756499,-5.4670289,7.1798471,0.025870342,,,,,,,,154.77612,0.71079896,17.576851,217.7495,11.583205,148.64747,6.6802117e-20,-76.094967,-0.34946104,8.9995217,217.7495,-5.4670289,148.64747,8.5377185e-05,131.62145,0.57889675,17.576851,227.36603,11.583205,251.55743,3.5234377e-12,-140.68096,-0.61874222,8.9995217,227.36603,-5.4670289,251.55743,3.9329884e-14,51.361883,0.22589955,0.51288829,227.36603,0.8066274,251.55743,0.012724256,,,,,,,,-89.279352,-0.39266795,0.0011179913,227.36603,0.0055103177,251.55743,8.3975355e-06,29.492336,0.12971303,2.6756499,227.36603,7.1798471,251.55743,0.1561817,13775.794,280136.02,1.270879,148.64747,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00020291305,-0.18371158,16.621331,0.0011045196,11.345252,0.005458263,0.043690024,-9.8527802e-05,-0.08920421,0.49972156,0.0011045196,0.76646104,0.005458263,0.33055211,-0.83677409,-0.32146647,8.5586853,2.6029903,-5.63888,6.9560702,0.00032396164,,,,,,,,152.18511,0.65816885,16.621331,231.22503,11.345252,151.6052,2.3444568e-16,-80.801783,-0.34945085,8.5586853,231.22503,-5.63888,151.6052,8.5420631e-05,154.4209,0.65795493,16.621331,234.69829,11.345252,239.88171,2.4155188e-16,-170.08257,-0.72468601,8.5586853,234.69829,-5.63888,239.88171,5.6747472e-21,47.896224,0.20407572,0.49972156,234.69829,0.76646104,239.88171,0.024754332,,,,,,,,-98.435393,-0.41941248,0.0011045196,234.69829,0.005458263,239.88171,1.6817025e-06,31.745765,0.13526202,2.6029903,234.69829,6.9560702,239.88171,0.13907482,13645.657,279913.06,1.2711535,151.6052,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00018337351,-0.16510246,18.353711,0.0011106649,11.52501,0.0053922064,0.070339777,-0.0001779347,-0.16020557,0.51427521,0.0011106649,0.73355795,0.0053922064,0.079203693,-0.93137729,-0.33785736,9.5109631,2.7567175,-4.9775524,6.6727645,0.0001506934,,,,,,,,128.70706,0.54679488,18.353711,235.38454,11.52501,148.71432,8.6730038e-11,-90.576771,-0.3848034,9.5109631,235.38454,-4.9775524,148.71432,1.3130341e-05,143.07288,0.59190111,18.353711,241.71754,11.52501,226.84878,8.6922536e-13,-159.07262,-0.65809299,9.5109631,241.71754,-4.9775524,226.84878,2.3694192e-16,50.983013,0.21091979,0.51427521,241.71754,0.73355795,226.84878,0.020220897,,,,,,,,-87.678977,-0.3627332,0.0011106649,241.71754,0.0053922064,226.84878,4.3360626e-05,49.332157,0.2040901,2.7567175,241.71754,6.6727645,226.84878,0.024743968,13480.516,279621.41,1.2722335,148.71432,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00021544902,-0.19299744,15.668873,0.0011163309,10.033389,0.0053419281,0.033928686,-0.00016500174,-0.14780719,0.50420329,0.0011163309,0.69741722,0.0053419281,0.10568369,-0.98712098,-0.34980394,8.7508023,2.8219264,-4.0440263,6.3687397,8.3927195e-05,,,,,,,,117.93646,0.52012981,15.668873,226.74429,10.033389,144.36166,9.6985959e-10,-98.047109,-0.4324127,8.7508023,226.74429,-4.0440263,144.36166,7.3102611e-07,176.2115,0.72968017,15.668873,241.49142,10.033389,206.75845,2.2528092e-21,-175.52264,-0.72682763,8.7508023,241.49142,-4.0440263,206.75845,3.8280407e-21,42.06775,0.17419977,0.50420329,241.49142,0.69741722,206.75845,0.056011645,,,,,,,,-82.229753,-0.34050797,0.0011163309,241.49142,0.0053419281,206.75845,0.00013261024,48.540319,0.20100225,2.8219264,241.49142,6.3687397,206.75845,0.027057454,13354.82,279326.43,1.2731609,144.36166,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00010634356,-0.094950237,18.474487,0.0011199926,10.591418,0.0053083372,0.30022368,-6.8204268e-05,-0.060897072,0.47014373,0.0011199926,0.7685903,0.0053083372,0.50699068,-0.974311,-0.34529758,8.3839191,2.821656,-3.5335597,6.1920868,0.00010495162,,,,,,,,135.28533,0.64160959,18.474487,210.85304,10.591418,137.43651,2.2067712e-15,-84.604156,-0.40124703,8.3839191,210.85304,-3.5335597,137.43651,5.0892939e-06,134.43009,0.55759609,18.474487,241.08864,10.591418,196.96572,3.0661991e-11,-178.53923,-0.74055431,8.3839191,241.08864,-3.5335597,196.96572,2.8019785e-22,46.764087,0.19397051,0.47014373,241.08864,0.7685903,196.96572,0.033021739,,,,,,,,-85.431712,-0.35435809,0.0011199926,241.08864,0.0053083372,196.96572,6.6724594e-05,41.948101,0.17399451,2.821656,241.08864,6.1920868,196.96572,0.056306177,13270.843,279160.62,1.2739772,137.43651,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00018000532,-0.16149915,16.225289,0.0011145899,10.317841,0.0052735916,0.076779314,-0.00014299495,-0.12829378,0.48235146,0.0011145899,0.71226383,0.0052735916,0.16080018,-0.90694394,-0.32641294,8.8614304,2.7785172,-3.4529758,6.083562,0.00025830836,,,,,,,,118.92401,0.63469358,16.225289,187.37232,10.317841,129.00773,5.4087074e-15,-87.788753,-0.46852573,8.8614304,187.37232,-3.4529758,129.00773,5.9733372e-08,167.5118,0.68037737,16.225289,246.20426,10.317841,195.42819,9.2060274e-18,-169.77762,-0.68958035,8.8614304,246.20426,-3.4529758,195.42819,2.211133e-18,68.457541,0.27805182,0.48235146,246.20426,0.71226383,195.42819,0.0020153984,,,,,,,,-93.350105,-0.37915715,0.0011145899,246.20426,0.0052735916,195.42819,1.7972372e-05,38.263247,0.15541261,2.7785172,246.20426,6.083562,195.42819,0.088726826,13183.979,279049.76,1.2749685,129.00773,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00026976898,-0.23949334,14.825646,0.0011264154,10.064435,0.0052613462,0.0081521943,-0.00018271736,-0.16221135,0.48330742,0.0011264154,0.75657524,0.0052613462,0.075470239,-0.95757855,-0.34044397,8.8672673,2.8127346,-3.3931877,6.0146405,0.00013302195,,,,,,,,80.20161,0.48118105,14.825646,166.67658,10.064435,129.66984,2.3140463e-08,-83.836963,-0.50299187,8.8672673,166.67658,-3.3931877,129.66984,4.1135217e-09,192.27813,0.76418089,14.825646,251.61337,10.064435,191.92805,2.0668184e-24,-168.78776,-0.67082189,8.8672673,251.61337,-3.3931877,191.92805,3.835743e-17,78.383172,0.31152228,0.48330742,251.61337,0.75657524,191.92805,0.00050490186,,,,,,,,-96.280056,-0.38265079,0.0011264154,251.61337,0.0052613462,191.92805,1.4809761e-05,37.251553,0.14805077,2.8127346,251.61337,6.0146405,191.92805,0.10510387,13153.365,278963.19,1.2752971,129.66984,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00019972179,-0.17432323,12.677869,0.0011456981,10.762552,0.0052329875,0.055835099,-0.00010185798,-0.088904733,0.43239076,0.0011456981,0.71420733,0.0052329875,0.33218468,-1.151197,-0.39446325,9.5417271,2.9183885,-1.7081166,5.9554421,7.5707216e-06,,,,,,,,85.224433,0.5761197,12.677869,147.92834,10.762552,127.56382,4.7132491e-12,-83.63443,-0.56537123,9.5417271,147.92834,-1.7081166,127.56382,1.4169901e-11,194.09091,0.76240774,12.677869,254.57626,10.762552,195.55569,3.0469768e-24,-149.2404,-0.58623064,9.5417271,254.57626,-1.7081166,195.55569,1.6124849e-12,80.726474,0.31710134,0.43239076,254.57626,0.71420733,195.55569,0.00039437251,,,,,,,,-91.492711,-0.35939215,0.0011456981,254.57626,0.0052329875,195.55569,5.1569867e-05,42.509958,0.1669832,2.9183885,254.57626,5.9554421,195.55569,0.067156647,13082.469,278895.33,1.2757193,127.56382,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00038257868,-0.33340438,12.511838,0.0011474915,15.694598,0.0053470244,0.00019836875,-2.5394551e-05,-0.022130493,0.31292924,0.0011474915,0.69684143,0.0053470244,0.81039281,-1.0139643,-0.35511432,9.1078599,2.8553179,5.3726535,6.6567167,6.8948885e-05,,,,,,,,78.351499,0.52414049,12.511838,149.48568,15.694598,133.11098,8.0587212e-10,-85.795938,-0.57394084,9.1078599,149.48568,5.3726535,133.11098,7.2471707e-12,227.92164,0.81486396,12.511838,279.70514,15.694598,243.70124,1.0137907e-29,-109.54427,-0.39164198,9.1078599,279.70514,5.3726535,243.70124,9.7185931e-06,117.98727,0.42182732,0.31292924,279.70514,0.69684143,243.70124,1.5993045e-06,,,,,,,,-110.85152,-0.39631565,0.0011474915,279.70514,0.0053470244,243.70124,7.4337721e-06,61.426184,0.2196105,2.8553179,279.70514,6.6567167,243.70124,0.015951184,13367.561,279570.3,1.2739956,133.11098,1,8
