SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.3227809,0.26332036,10.207399,5.0234662,31.553975,10.085088,1.1369653e-10,-2.0650503,-0.21026181,10.207399,9.8213283,31.553975,9.0159978,3.1456191e-07,0.054073327,0.29689226,10.207399,0.18213115,31.553975,0.372951,2.7473279e-13,1.1841801,0.03713867,10.598937,31.885365,31.641755,28.150475,0.39530797,-5.1889744e-05,-0.040313519,5.0234662,0.0012871549,10.085088,0.0052792258,0.33203832,0.00059842134,0.4649179,0.18213115,0.0012871549,0.372951,0.0052792258,1.7022614e-32,-0.18403825,-0.068436903,9.8213283,2.6891668,9.0159978,8.7448322,0.099356961,-271.2797,-0.57023369,10.207399,475.73426,31.553975,601.1362,2.0665964e-51,43.146957,0.25101483,5.0234662,171.89007,10.085088,198.43806,8.466601e-10,-62.31249,-0.36251361,9.8213283,171.89007,9.0159978,198.43806,1.7469779e-19,-12.677134,-0.02664751,5.0234662,475.73426,10.085088,601.1362,0.52149631,95.15865,0.2000248,9.8213283,475.73426,9.0159978,601.1362,1.1726505e-06,-209.41232,-0.44018759,0.18213115,475.73426,0.372951,601.1362,6.2279959e-29,-3.6515008,-0.0073829438,31.885365,494.58603,28.150475,614.16975,0.86585564,-335.9415,-0.70615368,0.0012871549,475.73426,0.0052792258,601.1362,7.2582751e-89,162.58275,0.34175119,2.6891668,475.73426,8.7448322,601.1362,2.3237659e-17,13198.064,283652.28,1.2324042,198.43806,1,daily
1.0942134,0.11227271,10.42927,9.7460317,31.786144,1.5078944,0.0067495215,3.1087393,0.23330975,10.42927,13.324515,31.786144,-9.796667,1.2682611e-08,0.021658267,0.054615377,10.42927,0.39655987,31.786144,0.27208659,0.18864704,6.0517996,0.1837605,10.792934,32.933082,31.575331,-38.247682,3.6304184e-05,-2.6026268e-05,-0.019471511,9.7460317,0.0013366332,1.5078944,0.0051734072,0.6395173,0.00023941206,0.17911575,0.39655987,0.0013366332,0.27208659,0.0051734072,1.4037739e-05,0.248467,0.089192862,13.324515,2.7857274,-9.796667,7.3247208,0.031590414,-233.98474,-0.52689723,10.410831,444.08042,31.817498,447.89624,9.5566777e-43,24.366216,0.141864,9.7460317,171.75757,1.5078944,89.568234,0.00060474534,0.91017162,0.0052991645,13.324515,171.75757,-9.796667,89.568234,0.89857905,1.2589093,0.002834868,9.7523927,444.08042,1.4996019,447.89624,0.94568572,-176.52477,-0.39750632,13.315165,444.08042,-9.7657664,447.89624,2.1431635e-23,-81.791628,-0.18418202,0.39674079,444.08042,0.27255571,447.89624,8.0304871e-06,-132.79493,-0.28360116,32.933082,468.24537,-38.247682,469.68069,1.1022072e-10,-300.22701,-0.67606451,0.0013210384,444.08042,0.0051821545,447.89624,1.0775879e-78,99.385109,0.2237998,2.7870702,444.08042,7.3215315,447.89624,5.1102838e-08,12955.386,282216.88,1.2454143,89.642106,1,0
0.1973286,0.028424083,10.389106,6.9423032,31.755476,0.98957138,0.49410456,3.506786,0.25995942,10.389106,13.489744,31.755476,-10.222497,1.9881264e-10,0.056742695,0.14234548,10.389106,0.39862661,31.755476,0.27128858,0.00057906242,4.5439187,0.16370975,10.757238,27.755945,31.447685,-38.741097,0.00025072155,-3.7384339e-05,-0.027982401,6.9423032,0.0013359947,0.98957138,0.0050835601,0.50084206,0.00034605963,0.2590277,0.39862661,0.0013359947,0.27128858,0.0050835601,2.3180169e-10,0.25494747,0.089992703,13.489744,2.8329794,-10.222497,7.1164153,0.03008954,-232.0884,-0.5141276,10.370618,451.42178,31.786776,453.63567,1.9034333e-40,27.400708,0.15561693,6.9423032,176.07793,0.98957138,90.648795,0.00016597085,5.6336872,0.031995419,13.489744,176.07793,-10.222497,90.648795,0.44144707,32.895609,0.072871116,6.9482267,451.42178,0.99085512,453.63567,0.0795137,-171.39148,-0.37967038,13.499124,451.42178,-10.212249,453.63567,2.5120351e-21,-111.87557,-0.24782937,0.39881109,451.42178,0.27175632,453.63567,1.4459282e-09,-144.08974,-0.30382168,27.755945,474.25761,-38.741097,479.3667,4.7301384e-12,-306.47233,-0.67890463,0.001320983,451.42178,0.0050921525,453.63567,1.3736299e-79,98.903898,0.21909421,2.8341278,451.42178,7.1128608,453.63567,9.8214982e-08,12730.381,282009.22,1.2457633,90.732213,1,1
0.52248611,0.056358915,10.364547,9.2706915,31.713626,1.1851461,0.17490045,3.9772344,0.29513039,10.364547,13.476194,31.713626,-10.088071,3.8471498e-13,0.033676182,0.082587872,10.364547,0.40776183,31.713626,0.27202937,0.046612272,4.3217963,0.16643756,10.705111,25.966472,31.295516,-38.457293,0.00020868055,-2.820175e-05,-0.02099314,9.2706915,0.0013433793,1.1851461,0.0050000841,0.61357055,0.00029813735,0.22193088,0.40776183,0.0013433793,0.27202937,0.0050000841,6.4649721e-08,0.10018027,0.034741945,13.476194,2.8835539,-10.088071,6.9119107,0.4032299,-231.30194,-0.50232193,10.3461,460.46555,31.744855,459.42977,2.090459e-38,19.842099,0.11075589,9.2706915,179.15165,1.1851461,96.572839,0.0075371578,0.11143,0.00062198704,13.476194,179.15165,-10.088071,96.572839,0.98806405,19.353789,0.042030916,9.2776924,460.46555,1.1794955,459.42977,0.31225514,-172.79596,-0.37526361,13.474137,460.46555,-10.062889,459.42977,7.7967549e-21,-97.891011,-0.21259139,0.40795693,460.46555,0.27249839,459.42977,2.3658282e-07,-150.04712,-0.30992605,25.966472,484.13844,-38.457293,486.30058,2.0526213e-12,-312.09888,-0.67778987,0.0013290011,460.46555,0.0050085326,459.42977,3.0917068e-79,103.32029,0.22438224,2.8844993,460.46555,6.9079985,459.42977,4.7085593e-08,12521.331,281796.26,1.2458008,96.656388,1,2
0.40287271,0.061455036,10.317446,6.5555688,31.633312,1.1570651,0.13934413,4.1202596,0.29558441,10.317446,13.939367,31.633312,-10.51573,3.6963156e-13,0.049990827,0.1118837,10.317446,0.44681064,31.633312,0.31664836,0.0069930213,3.5838328,0.14387086,10.702046,24.910066,31.212674,-37.728715,0.0014230511,-3.8878779e-05,-0.028915914,6.5555688,0.0013445461,1.1570651,0.004915519,0.48703623,0.00039237505,0.29182715,0.44681064,0.0013445461,0.31664836,0.004915519,7.5211464e-13,0.1652915,0.055979413,13.939367,2.9527195,-10.51573,6.7186306,0.17820249,-236.40986,-0.50808963,10.299044,465.29165,31.664456,466.32989,2.5028406e-39,36.488566,0.21099391,6.5555688,172.93659,1.1570651,92.764259,2.9238963e-07,3.3960081,0.019637303,13.939367,172.93659,-10.51573,92.764259,0.63695953,44.696812,0.096061926,6.5588777,465.29165,1.1497655,466.32989,0.020786743,-186.39111,-0.40058984,13.936947,465.29165,-10.489373,466.32989,9.9711018e-24,-124.37157,-0.26729809,0.44700265,465.29165,0.31719524,466.32989,6.2657568e-11,-162.04375,-0.33173285,24.910066,488.47665,-37.728715,495.34792,5.0254575e-14,-312.88932,-0.67245847,0.0013306926,465.29165,0.004923836,466.32989,1.9273391e-77,106.77776,0.22948565,2.953495,465.29165,6.7143786,466.32989,2.3403913e-08,12309.59,281608.95,1.2464582,92.843298,1,3
0.89400434,0.091882077,10.316157,9.7299101,31.612047,1.7078143,0.026916814,3.2456556,0.24477149,10.316157,13.259941,31.612047,-10.225569,2.3256029e-09,0.026623353,0.061092794,10.316157,0.43578549,31.612047,0.3184326,0.14169503,3.3750125,0.14297592,10.667666,23.605461,31.104564,-37.675798,0.0015771723,6.4866475e-05,0.048221359,9.7299101,0.0013451814,1.7078143,0.0048444973,0.24625514,0.00033351137,0.24793041,0.43578549,0.0013451814,0.3184326,0.0048444973,1.4232454e-09,0.14256027,0.047977289,13.259941,2.9714115,-10.225569,6.5600293,0.24865687,-237.56419,-0.50740043,10.297815,468.19864,31.643155,474.15136,3.289756e-39,21.074457,0.12091253,9.7299101,174.29506,1.7078143,92.073049,0.0035411436,0.36511335,0.0020948004,13.259941,174.29506,-10.225569,92.073049,0.9598509,-3.909645,-0.0083503981,9.7340912,468.19864,1.6959047,474.15136,0.84108952,-159.71951,-0.34113622,13.194302,468.19864,-10.166305,474.15136,3.0282048e-17,-116.14943,-0.24807725,0.4359608,468.19864,0.31898257,474.15136,1.4369632e-09,-183.52227,-0.37301839,23.605461,491.99255,-37.675798,509.08771,1.7200431e-17,-314.77231,-0.67230506,0.0013317775,468.19864,0.0048526916,474.15136,2.1489972e-77,107.01546,0.2285685,2.9719747,468.19864,6.5554982,474.15136,2.6697952e-08,12131.729,281459.32,1.2467263,92.162598,1,4
1.1407666,0.13730832,10.307323,8.3080658,31.605844,1.2531151,0.00090575708,2.6918224,0.16424401,10.307323,16.389167,31.605844,-9.4364792,6.9660008e-05,0.024356146,0.057021368,10.307323,0.42714069,31.605844,0.30290269,0.16987776,2.8242376,0.11969397,10.643715,23.595488,30.986337,-38.144697,0.0086656809,8.5628289e-05,0.063856301,8.3080658,0.0013409529,1.2531151,0.0047816555,0.12418483,0.00030596122,0.22816703,0.42714069,0.0013409529,0.30290269,0.0047816555,2.6761321e-08,0.30057305,0.10049519,16.389167,2.9909197,-9.4364792,6.3856159,0.015382303,-232.11657,-0.49913734,10.289001,465.03548,31.636886,475.98181,7.1978465e-38,34.395574,0.19282062,8.3080658,178.3812,1.2531151,91.647576,2.8446125e-06,2.19181,0.012287225,16.389167,178.3812,-9.4364792,91.647576,0.76757843,0.91968034,0.0019776563,8.3142527,465.03548,1.2584187,475.98181,0.96209435,-138.72121,-0.29830242,16.348826,465.03548,-9.381105,475.98181,2.1965753e-13,-108.32821,-0.23294612,0.42737166,465.03548,0.30335247,475.98181,1.3767678e-08,-174.00342,-0.35828195,23.595488,485.66057,-38.144697,511.04298,5.5169984e-16,-310.21025,-0.66706791,0.0013279082,465.03548,0.0047897273,475.98181,6.323758e-76,107.81633,0.23184539,2.9912344,465.03548,6.3807877,475.98181,1.6168926e-08,11974.318,281285.75,1.2471402,91.747602,1,5
0.86601744,0.11089996,10.339126,7.8089972,31.607489,1.1562496,0.0074589639,3.2901879,0.27327385,10.339126,12.039893,31.607489,-9.341515,2.0735299e-11,0.054547339,0.12860416,10.339126,0.42414911,31.607489,0.31648854,0.0018957352,3.0406206,0.10277506,10.620265,29.585199,30.857983,-37.825655,0.025247699,5.8970565e-05,0.043939515,7.8089972,0.001342085,1.1562496,0.0047309916,0.29035403,0.00036359273,0.27091631,0.42414911,0.001342085,0.31648854,0.0047309916,3.1225853e-11,0.18109607,0.059971661,12.039893,3.0196941,-9.341515,6.2422744,0.14881213,-231.90426,-0.50146212,10.320758,462.45619,31.638622,478.97103,2.9226268e-38,36.196471,0.19873671,7.8089972,182.13278,1.1562496,90.679833,1.3772815e-06,7.9909375,0.043874241,12.039893,182.13278,-9.341515,90.679833,0.29107191,15.017761,0.03247391,7.8150883,462.45619,1.1520734,478.97103,0.4350413,-181.93585,-0.39341207,12.019222,462.45619,-9.3056728,478.97103,6.5650244e-23,-112.41334,-0.24307889,0.42431107,462.45619,0.31703421,478.97103,3.0171057e-09,-159.48614,-0.32665409,29.585199,488.24166,-37.825655,517.28464,3.0083608e-13,-307.11695,-0.66409955,0.0013293605,462.45619,0.0047389761,478.97103,4.9350092e-75,102.65686,0.22198181,3.0198169,462.45619,6.2371964,478.97103,6.5888502e-08,11847.44,281123.48,1.2478349,90.786353,1,6
1.282558,0.1667744,10.322213,7.6903773,31.585967,2.0590907,5.3545318e-05,2.0942415,0.17675025,10.322213,11.848592,31.585967,-7.8732232,1.8275233e-05,0.074150839,0.16568242,10.322213,0.44754801,31.585967,0.35217582,6.0011678e-05,4.9950517,0.20884983,10.620969,23.916954,30.877586,-26.570389,4.1236288e-06,0.0001688769,0.12458123,7.6903773,0.0013555565,2.0590907,0.0046999642,0.0026283587,0.00036977026,0.27278114,0.44754801,0.0013555565,0.35217582,0.0046999642,2.2594996e-11,0.10826534,0.036215086,11.848592,2.9895094,-7.8732232,6.1939514,0.38357278,-235.48682,-0.49939526,10.303698,471.54395,31.617149,486.60511,6.5151436e-38,36.330217,0.19092141,7.6903773,190.28886,2.0590907,91.964108,3.5737416e-06,3.4504153,0.018132513,11.848592,190.28886,-7.8732232,91.964108,0.66272091,-20.371157,-0.043200972,7.6969376,471.54395,2.0605262,486.60511,0.298964,-162.02383,-0.34360281,11.858734,471.54395,-7.8750814,486.60511,1.6247191e-17,-126.08182,-0.26738084,0.44769474,471.54395,0.35278302,486.60511,5.9485e-11,-187.11321,-0.37472119,23.916954,499.33982,-26.570389,523.96285,2.2101888e-17,-319.70211,-0.67799006,0.0013431675,471.54395,0.0047078952,486.60511,2.6732774e-79,98.207254,0.20826744,2.9895075,471.54395,6.1887996,486.60511,4.1811904e-07,11769.738,281052.67,1.2481876,92.072202,1,7
1.2296006,0.10077994,10.295595,12.200846,31.561487,7.3877612,0.015092484,2.501444,0.15221866,10.295595,16.433229,31.561487,-2.3907248,0.00023082269,0.12842854,0.27192691,10.295595,0.47229066,31.561487,0.58864575,2.621239e-11,-0.45518209,-0.01930429,10.630841,23.579323,31.124065,35.723952,0.66927698,0.00011065772,0.081919848,12.200846,0.0013508048,7.3877612,0.004820379,0.04842076,0.00035096239,0.25981725,0.47229066,0.0013508048,0.58864575,0.004820379,2.0353267e-10,-0.26807109,-0.091351743,16.433229,2.9344934,-2.3907248,7.1036791,0.027679406,-265.27342,-0.5211259,10.27706,509.03903,31.592627,556.23781,1.0753793e-41,17.434064,0.087391136,12.200846,199.49465,7.3877612,98.696286,0.035207407,-3.4987548,-0.017538088,16.433229,199.49465,-2.3907248,98.696286,0.67312787,-41.509519,-0.081544866,12.20962,509.03903,7.3963487,556.23781,0.049658529,-127.30732,-0.25009343,16.4474,509.03903,-2.3915994,556.23781,1.0128633e-09,-134.02931,-0.26329869,0.47201386,509.03903,0.58759169,556.23781,1.1838159e-10,92.271865,0.17168615,23.579323,537.44502,35.723952,588.49511,0.00012974167,-354.54235,-0.69649345,0.0013509033,509.03903,0.0048226056,556.23781,2.3133037e-85,158.11901,0.31062257,2.9347142,509.03903,7.0988492,556.23781,1.9361317e-14,12056.514,281935.02,1.2460595,98.813586,1,8
