SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.57391846,0.31188318,1.9519982,1.8401712,3.6788229,-0.54403341,8.6495545e-10,3.3847444,0.28786055,1.9519982,11.758278,3.6788229,-14.704321,1.7188195e-08,-0.001107076,-0.010861726,1.9519982,0.1019245,3.6788229,0.10621825,0.83505042,-0.089269382,-0.010001379,2.0457748,8.9257073,4.093687,-3.3239818,0.85593508,-5.4486372e-05,-0.088373654,2.1526933,0.00061654543,-0.32630985,0.00064742279,0.064623303,7.9259021e-05,0.12855342,0.11305761,0.00061654543,0.098618332,0.00064742279,0.007061677,0.5306422,0.05409248,12.852004,9.8099069,-16.930925,-24.647404,0.24538345,-21.277844,-0.16219034,1.961058,131.19057,3.795405,326.83026,0.00079067456,31.823447,0.22373145,2.1526933,142.23949,-0.32630985,136.05739,2.2557242e-06,-3.9580725,-0.028270255,12.852004,140.00838,-16.930925,131.6237,0.5439967,44.413743,0.29745084,2.1526933,149.31457,-0.32630985,354.20905,2.1291153e-10,-21.472384,-0.14139241,12.852004,151.86376,-16.930925,363.4451,0.0022921355,-15.407766,-0.10318997,0.11305761,149.31457,0.098618332,354.20905,0.030834527,-14.192418,-0.11582468,9.321277,122.53362,-3.1509917,325.12643,0.032501518,-110.69174,-0.75417625,0.00060639325,146.77171,0.00063280653,357.45996,5.909301e-98,-117.94676,-0.80360695,9.8523332,146.77171,-24.569618,357.45996,2.0845607e-120,1582.0163,250405.28,1.3125398,,1,daily
0.56566848,0.196308,2.0228026,2.8815355,3.7010443,-0.68242302,0.0001475538,5.0864373,0.29913705,2.0200762,17.003702,3.7006209,-16.704404,4.3715574e-09,-0.0062570465,-0.032783319,2.0228026,0.19086068,3.7010443,0.10215715,0.53014863,0.21641169,0.022367515,2.1487442,9.6752671,4.1371692,-5.1050902,0.68469176,-5.9045336e-06,-0.0090960384,3.0978766,0.00064913245,-0.41597882,0.00063541333,0.84978753,7.6428502e-05,0.11773946,0.19668598,0.00064913245,0.096100737,0.00063541333,0.013894626,0.73462697,0.070665213,17.597167,10.395878,-19.158479,-24.98823,0.12893313,-23.998869,-0.17606145,2.0499989,136.30962,3.8302586,327.93304,0.00026486508,22.535218,0.13317628,3.0978766,169.21345,-0.41597882,132.65402,0.0053488778,3.2215904,0.019451301,17.597167,165.62339,-19.158479,128.27571,0.67634912,39.310798,0.25754884,3.0978766,152.63434,-0.41597882,355.14975,4.9076248e-08,-20.651786,-0.13266731,17.597167,155.66597,-19.158479,365.3397,0.0042418396,-16.369867,-0.10724891,0.19668598,152.63434,0.096100737,355.14975,0.025126209,-13.276546,-0.10514424,9.9859344,126.26984,-4.9923851,325.78318,0.052396252,-107.83427,-0.71493455,0.00063753703,150.83096,0.00062138589,358.63278,1.2575869e-83,-119.27326,-0.79077439,10.387603,150.83096,-24.836879,358.63278,5.3423621e-114,1553.4647,250132.91,1.3137457,,1,0
0.48026505,0.17280597,2.0170532,2.7792157,3.6987972,-0.68226414,0.00085809157,6.8186603,0.38770878,2.0143338,17.587067,3.6983847,-16.188766,1.0162182e-14,0.00035927425,0.0019698294,2.0170532,0.18238851,3.6987972,0.099671782,0.96991823,-0.0554948,-0.005444432,2.1416968,10.192946,4.1367991,-4.7609997,0.92139332,-1.1817846e-05,-0.018571985,3.015369,0.00063632647,-0.41670531,0.00062748706,0.69896756,9.7482185e-05,0.15319524,0.18017065,0.00063632647,0.090789178,0.00062748706,0.0013338894,1.0421425,0.10094925,18.304046,10.323429,-18.876012,-25.054353,0.029867126,-23.887898,-0.17494549,2.0440566,136.5448,3.8290298,328.12536,0.00029498313,22.388871,0.13577166,3.015369,164.90092,-0.41670531,130.47503,0.0045110904,2.926908,0.018128776,18.304046,161.45094,-18.876012,126.0999,0.69723008,38.483192,0.25305378,3.015369,152.07515,-0.41670531,354.24834,8.5003569e-08,-24.181481,-0.15578163,18.304046,155.22678,-18.876012,364.30331,0.00076956223,-13.59441,-0.089392713,0.18017065,152.07515,0.090789178,354.24834,0.062188227,-15.438473,-0.12148395,10.372631,127.08241,-4.7247882,326.57898,0.024869542,-108.68624,-0.72421195,0.0006233892,150.07518,0.00061367223,358.16106,8.6525167e-87,-120.28202,-0.80147845,10.316023,150.07518,-24.909442,358.16106,2.5968508e-119,1534.1806,250054.99,1.3142474,,1,1
0.46410836,0.18046394,2.0110942,2.5717512,3.6967447,-0.72092503,0.00049493983,5.5342686,0.32089302,2.0083822,17.24646,3.6963426,-16.124614,2.623909e-10,0.0060503886,0.043736321,2.0110942,0.13833785,3.6967447,0.086879016,0.40220048,0.21095868,0.021095237,2.1325563,10.000299,4.1326011,-4.5106776,0.70217592,1.9727619e-06,0.0031703303,2.8688787,0.00062225752,-0.44808383,0.00061975697,0.94737101,6.7036371e-05,0.10773091,0.14273956,0.00062225752,0.080191613,0.00061975697,0.024475595,1.0919923,0.10645028,18.118659,10.258238,-18.875086,-25.100374,0.021971634,-24.728066,-0.17956428,2.0360944,137.7115,3.8256906,329.46653,0.00020176784,19.502426,0.11881589,2.8688787,164.13987,-0.44808383,130.61496,0.013041776,3.6545105,0.022740102,18.118659,160.70774,-18.875086,126.20438,0.62551506,40.330581,0.26406837,2.8688787,152.7278,-0.44808383,355.669,2.1715467e-08,-28.559852,-0.18350238,18.118659,155.63751,-18.875086,365.60846,7.1391036e-05,-18.818521,-0.12321608,0.14273956,152.7278,0.080191613,355.669,0.010016436,-19.185904,-0.15206897,10.159872,126.1658,-4.4503759,325.70224,0.0048897666,-106.37221,-0.70626032,0.00060851212,150.61332,0.00060712917,359.11681,8.788996e-81,-118.3149,-0.78555402,10.263716,150.61332,-24.954107,359.11681,1.6118704e-111,1517.8229,250010.89,1.314337,,1,2
0.47564446,0.18098832,2.0053821,2.6280395,3.694548,-0.74466147,0.00047624689,5.4404916,0.31297671,2.0026768,17.383056,3.6941617,-16.366327,7.499627e-10,0.0041863837,0.028899317,2.0053821,0.14486099,3.694548,0.089719489,0.58001017,0.16274176,0.016294167,2.1235201,9.9877313,4.1284621,-4.3691466,0.7677307,-1.0463025e-05,-0.016590909,2.9105755,0.00063064807,-0.46695938,0.00062173794,0.72975037,7.532368e-05,0.11943853,0.15945046,0.00063064807,0.085963378,0.00062173794,0.012569824,1.1118823,0.1080703,17.811051,10.288509,-18.818351,-25.145278,0.020022522,-23.869939,-0.1732317,2.0283926,137.79198,3.8222402,328.97841,0.00033881447,20.712894,0.12906992,2.9105755,160.47808,-0.46695938,130.39182,0.0069627927,3.9725871,0.025281072,17.811051,157.13681,-18.818351,125.91314,0.58740519,40.693716,0.26527949,2.9105755,153.39941,-0.46695938,354.45623,1.8617682e-08,-27.319607,-0.1749865,17.811051,156.12409,-18.818351,364.39035,0.0001541294,-15.438758,-0.10064418,0.15945046,153.39941,0.085963378,354.45623,0.035657116,-17.76078,-0.1407864,10.211941,126.15409,-4.3217067,326.42335,0.0092352783,-110.61058,-0.73297962,0.00061594845,150.9054,0.00060899495,358.31335,6.7149659e-90,-121.80178,-0.80714002,10.295917,150.9054,-24.98591,358.31335,2.9557718e-122,1522.4874,249982.65,1.3143878,,1,3
0.4536704,0.1753697,1.999594,2.5869372,3.6923128,-0.77349585,0.00071549818,3.921097,0.2441163,1.9968954,16.062414,3.6919422,-16.750044,2.0154975e-06,0.0013690502,0.0081501416,1.999594,0.1679787,3.6923128,0.096840131,0.87600896,0.041948243,0.0042494604,2.1144688,9.8714281,4.1242586,-4.3171819,0.93860761,-5.7429575e-05,-0.090755646,2.8899458,0.00063279342,-0.49057507,0.00062215371,0.058291078,5.8832674e-05,0.092972955,0.17464049,0.00063279342,0.090716739,0.00062215371,0.052384204,1.0965852,0.10582649,16.955674,10.362105,-19.090669,-25.169382,0.022764882,-24.523819,-0.17498684,2.0206704,140.14664,3.818778,330.94977,0.00029399414,20.803097,0.13168298,2.8899458,157.97863,-0.49057507,129.24597,0.0058920558,1.3725023,0.0088716858,16.955674,154.70592,-19.090669,124.85343,0.84900851,48.143522,0.31060109,2.8899458,155.00114,-0.49057507,356.47159,3.3196178e-11,-25.532798,-0.16192971,16.955674,157.67828,-19.090669,366.40296,0.00046875052,-3.5786633,-0.023087981,0.17464049,155.00114,0.090716739,356.47159,0.63067903,-14.115573,-0.11247652,10.114322,125.49795,-4.2953134,326.69296,0.037896027,-109.44621,-0.71776883,0.00061932155,152.48114,0.00060946477,360.3245,1.4026255e-84,-119.60518,-0.78439327,10.37963,152.48114,-25.024504,360.3245,5.6135577e-111,1523.6619,249950.94,1.3144169,,1,4
0.50737307,0.18566238,1.9938886,2.7327727,3.6900102,-0.78610434,0.00033632962,2.3205016,0.16000906,1.9911971,14.502314,3.6896507,-17.415325,0.002019587,-0.0028165833,-0.02308741,1.9938886,0.1219965,3.6900102,0.082620143,0.65845383,-0.15297428,-0.015238335,2.105426,10.038779,4.1200865,-4.4394674,0.78239104,-5.1564256e-05,-0.081591681,2.9856436,0.00063197933,-0.50467743,0.00061975531,0.088824462,5.4063899e-05,0.085546942,0.13806324,0.00063197933,0.078670592,0.00061975531,0.074355937,0.96492936,0.092764349,15.818904,10.401942,-19.415257,-25.232661,0.046047398,-24.20129,-0.17390062,2.0130507,139.16736,3.8152762,331.17258,0.00032102975,17.169902,0.10879417,2.9856436,157.82006,-0.50467743,128.41147,0.023091659,-5.6619817,-0.036630429,15.818904,154.57045,-19.415257,124.07912,0.43167641,43.93912,0.28399861,2.9856436,154.71597,-0.50467743,357.06701,1.5622482e-09,-20.684944,-0.13137095,15.818904,157.45448,-19.415257,366.96687,0.0046343961,-14.220337,-0.091912535,0.13806324,154.71597,0.078670592,357.06701,0.055143789,-13.180524,-0.10445425,10.303874,126.18466,-4.4003846,327.49731,0.053971722,-111.21277,-0.73034006,0.00062012543,152.27533,0.0006071375,360.95837,5.9735785e-89,-121.39348,-0.79719728,10.422937,152.27533,-25.10196,360.95837,3.7832727e-117,1517.8438,249878.65,1.3145494,,1,5
0.54307399,0.20087369,1.9882338,2.7035597,3.6877989,-0.78592859,0.00010222935,3.1023085,0.20691755,1.9855489,14.992969,3.6874551,-17.119586,6.0679352e-05,-0.0028474533,-0.020153222,1.9882338,0.14129022,3.6877989,0.086830091,0.69960296,-0.27471576,-0.026768523,2.0965199,10.262642,4.1160019,-4.5912952,0.62749534,-7.1915096e-05,-0.11343326,2.9684044,0.00063398597,-0.50186633,0.00061656774,0.017816559,5.3610893e-05,0.08456164,0.15225629,0.00063398597,0.081485962,0.00061656774,0.0777673,1.0098651,0.096981626,16.557287,10.412953,-19.443188,-25.312827,0.036971882,-23.782107,-0.17027717,2.0055143,139.66703,3.8118577,331.95774,0.00042891541,23.048716,0.14873569,2.9684044,154.96426,-0.50186633,128.47727,0.0018449739,-13.333459,-0.087761149,16.557287,151.92895,-19.443188,124.22969,0.059169426,48.387639,0.31178837,2.9684044,155.19386,-0.50186633,357.88912,2.7694599e-11,-23.664679,-0.14978208,16.557287,157.99406,-19.443188,367.7438,0.0012272615,-7.1505755,-0.04607512,0.15225629,155.19386,0.081485962,357.88912,0.33714346,-13.71397,-0.10772737,10.520469,127.30256,-4.5302279,329.36335,0.046834119,-114.02528,-0.74630857,0.00062284691,152.7857,0.00060352848,361.92725,7.1632912e-95,-123.01964,-0.80517771,10.436733,152.7857,-25.199643,361.92725,3.1764911e-121,1508.8212,249784.83,1.3146994,,1,6
0.64518547,0.27137466,1.9825805,2.3774713,3.6855412,-0.76067781,1.19056e-07,2.927773,0.18587916,1.9799026,15.750948,3.6852084,-16.408127,0.00032472155,-0.0038782234,-0.025690634,1.9825805,0.15095865,3.6855412,0.094913745,0.62278453,-0.29110202,-0.027418324,2.087615,10.617061,4.1119291,-4.4427549,0.61916151,-5.3125824e-05,-0.08385125,2.6887201,0.00063357224,-0.53269351,0.00061255337,0.080304801,5.3248821e-05,0.084045382,0.16057943,0.00063357224,0.088631802,0.00061255337,0.079604797,1.2247818,0.11759147,16.45354,10.415566,-18.558742,-25.386958,0.011334347,-23.771987,-0.17009032,1.9980199,139.76096,3.8084135,333.29436,0.00043530393,26.998297,0.17403209,2.6887201,155.13402,-0.53269351,126.99441,0.00026084951,-3.3059948,-0.021725147,16.45354,152.17364,-18.558742,122.88086,0.64102881,49.212572,0.31617453,2.6887201,155.65002,-0.53269351,359.14295,1.4080551e-11,-27.121985,-0.17110795,16.45354,158.50804,-18.558742,368.96104,0.0002163078,-9.3573509,-0.06011789,0.16057943,155.65002,0.088631802,359.14295,0.21026827,-13.823565,-0.10707115,10.956193,129.10634,-4.2373268,329.97318,0.048198019,-111.93181,-0.72997263,0.00062299219,153.337,0.000599918,363.07701,8.0811157e-89,-121.94677,-0.79528598,10.44675,153.337,-25.283944,363.07701,3.3649161e-116,1499.795,249703.04,1.3149637,,1,7
0.71941147,0.28293865,1.9770124,2.5426412,3.6831472,-0.82545006,3.2016424e-08,2.4888331,0.15178533,1.9743414,16.39706,3.6828257,-16.47868,0.0034252875,-0.004857252,-0.031361156,1.9770124,0.15488116,3.6831472,0.095508414,0.54815179,-0.31056934,-0.028847108,2.0787183,10.766048,4.1078249,-4.4629628,0.60100867,-4.875041e-05,-0.075923477,2.8278041,0.00064209929,-0.57553233,0.00061878025,0.11340705,5.6188753e-05,0.087507889,0.17568668,0.00064209929,0.093490646,0.00061878025,0.067929218,1.2467377,0.11895346,17.117434,10.480886,-18.617984,-25.375901,0.010414447,-22.611975,-0.1615076,1.9906407,140.00564,3.8048523,331.2261,0.00084454898,23.072268,0.14575813,2.8278041,158.29146,-0.57553233,126.23696,0.0022801063,0.88083705,0.0056735022,17.117434,155.25455,-18.617984,122.21552,0.90309686,45.805262,0.2928067,2.8278041,156.43516,-0.57553233,357.39543,4.5591892e-10,-23.232732,-0.14562291,17.117434,159.54036,-18.617984,367.59289,0.0016795598,-10.121596,-0.064701542,0.17568668,156.43516,0.093490646,357.39543,0.17748387,-15.266389,-0.11704918,11.241371,130.42713,-4.2272392,329.37342,0.030699327,-115.86057,-0.751048,0.00063040967,154.2652,0.00060393478,361.61966,1.0266936e-96,-125.68095,-0.81470703,10.500864,154.2652,-25.290747,361.61966,2.3983978e-126,1509.837,249694.01,1.3150713,,1,8
