SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.5978152,0.40382201,7.1511407,6.4330699,25.184265,16.786485,2.0853254e-25,-1.8034956,-0.181238,7.1511407,9.9509796,25.184265,9.3577594,6.4270425e-06,0.034201955,0.23615334,7.1511407,0.14482944,25.184265,0.34149921,3.338669e-09,3.8613058,0.17594007,7.5222365,21.94671,25.289216,20.622115,3.5650736e-05,5.78573e-05,0.044483912,6.4330699,0.0013006343,16.786485,0.0053677302,0.27187043,0.00062412771,0.47986411,0.14482944,0.0013006343,0.34149921,0.0053677302,1.4418821e-36,-0.61883443,-0.24901832,9.9509796,2.485096,9.3577594,8.2534738,4.1991367e-10,-186.30941,-0.48081121,7.1511407,387.48975,25.184265,501.25827,1.0032731e-36,60.353868,0.3608063,6.4330699,167.27499,16.786485,200.60247,2.971581e-20,-81.207703,-0.48547428,9.9509796,167.27499,9.3577594,200.60247,1.6545809e-37,5.955733,0.01537004,6.4330699,387.48975,16.786485,501.25827,0.7043323,40.961505,0.10570991,9.9509796,387.48975,9.3577594,501.25827,0.0088678129,-194.12128,-0.50097141,0.14482944,387.48975,0.34149921,501.25827,3.3809267e-40,-36.386294,-0.090616505,21.94671,401.54158,20.622115,499.72155,0.034267686,-265.17578,-0.68434271,0.0013006343,387.48975,0.0053677302,501.25827,9.8886962e-86,59.009159,0.15228573,2.485096,387.48975,8.2534738,501.25827,0.00015575005,13419.325,282757.25,1.2394204,200.60247,1,daily
0.26375938,0.038148326,7.2665469,6.9140488,25.261852,1.3919232,0.34690783,1.4724585,0.12242909,7.2665469,12.027031,25.261852,-13.720645,0.0024538488,0.010270271,0.029504676,7.2665469,0.34808959,25.261852,0.19636182,0.466996,6.1562801,0.24256118,7.6681223,25.380319,25.395998,-38.649867,1.6016179e-08,-1.5000508e-05,-0.011045911,6.9140488,0.0013580146,1.3919232,0.0051886042,0.7854201,0.00026281185,0.19352653,0.34808959,0.0013580146,0.19636182,0.0051886042,1.467976e-06,0.13429018,0.044944237,12.027031,2.9879287,-13.720645,6.1248333,0.26772189,-141.19491,-0.43198705,7.262684,326.84987,25.235139,289.0804,4.9213477e-29,65.945251,0.37433927,6.9140488,176.1644,1.3919232,91.249857,9.9969477e-22,-22.809004,-0.12947567,12.027031,176.1644,-13.720645,91.249857,0.0013517826,88.746019,0.27151921,6.9177112,326.84987,1.4102893,289.0804,9.788191e-12,-171.05513,-0.52334464,12.045945,326.84987,-13.724251,289.0804,4.7169946e-44,-73.804499,-0.2258055,0.34864974,326.84987,0.19619742,289.0804,1.8100556e-08,-127.54281,-0.3781091,25.403942,337.31747,-38.718481,281.45852,2.3504546e-19,-182.15069,-0.55729159,0.0013601474,326.84987,0.005188525,289.0804,6.6780196e-51,22.26316,0.068114329,2.9911027,326.84987,6.1301362,289.0804,0.093340721,12971.313,280623.17,1.2541304,91.481245,1,0
-0.12770878,-0.017499485,7.2096763,7.2978596,25.22794,1.4858525,0.66595453,1.3094171,0.1132395,7.2096763,11.563254,25.22794,-13.622944,0.005072584,0.017154828,0.048918658,7.2096763,0.35068068,25.22794,0.19547471,0.22726332,5.9025767,0.22229295,7.6065007,26.553143,25.365285,-37.981078,2.3370236e-07,8.7475164e-05,0.06466307,7.2978596,0.001352784,1.4858525,0.0051105201,0.11031768,0.00031176736,0.23046353,0.35068068,0.001352784,0.19547471,0.0051105201,8.2740273e-09,0.27637178,0.091734121,11.563254,3.0127479,-13.622944,5.9494167,0.023349831,-141.72293,-0.42359231,7.2020892,334.57391,25.210103,295.27999,5.898566e-28,59.664013,0.33502041,7.2978596,178.09068,1.4858525,92.413528,1.7184206e-17,-19.366582,-0.10874563,11.563254,178.09068,-13.622944,92.413528,0.0071345475,66.562231,0.19894627,7.3038462,334.57391,1.4856006,295.27999,7.3030061e-07,-159.9067,-0.47794133,11.558443,334.57391,-13.646193,295.27999,3.8951206e-36,-68.463967,-0.20463032,0.35025834,334.57391,0.19457267,295.27999,3.4386252e-07,-106.5143,-0.30465508,26.576284,349.62259,-37.995201,289.47462,7.9841841e-13,-187.20205,-0.55952374,0.001353553,334.57391,0.0051117486,295.27999,1.5221216e-51,26.333912,0.078708802,3.0108219,334.57391,5.9559977,295.27999,0.052017145,12779.372,280446.84,1.2544753,92.332137,1,1
-0.031488415,-0.0047518503,7.2249132,6.6265586,25.237088,1.7010151,0.90661074,1.3388281,0.1076716,7.2249132,12.434366,25.237088,-13.977182,0.0076769552,0.0076937436,0.022986139,7.2249132,0.33471231,25.237088,0.18249067,0.57033506,5.1308552,0.19073231,7.567851,26.900818,25.37418,-37.297441,1.0004359e-05,-2.443653e-05,-0.018241823,6.6265586,0.0013395881,1.7010151,0.005047574,0.65242733,0.00040406961,0.3016372,0.33471231,0.0013395881,0.18249067,0.005047574,2.4375885e-14,0.14956805,0.050252668,12.434366,2.9763206,-13.977182,5.8026565,0.2144487,-144.08641,-0.42685308,7.2249132,337.55504,25.237088,297.06589,1.7079788e-28,47.645097,0.27251557,6.6265586,174.83441,1.7010151,97.345737,6.9782418e-12,-25.235272,-0.14433814,12.434366,174.83441,-13.977182,97.345737,0.00034070891,89.469771,0.26505239,6.6265586,337.55504,1.7010151,297.06589,2.6799418e-11,-176.66251,-0.52335913,12.434366,337.55504,-13.977182,297.06589,2.4630746e-44,-81.772744,-0.2422501,0.33471231,337.55504,0.18249067,297.06589,1.2684266e-09,-100.41314,-0.28394251,26.900818,353.63899,-37.297441,292.56205,2.8788664e-11,-190.13645,-0.5632754,0.0013395881,337.55504,0.005047574,297.06589,1.5886291e-52,32.355095,0.095851316,2.9763206,337.55504,5.8026565,297.06589,0.017699462,12618.935,280284.1,1.2544856,97.345737,1,2
-0.066546133,-0.0089443778,7.2228532,7.4399958,25.216768,2.075892,0.8253708,1.311472,0.10566288,7.2228532,12.411852,25.216768,-13.780038,0.008954382,0.02067651,0.060301462,7.2228532,0.34288572,25.216768,0.1764998,0.13652442,4.9612862,0.16829555,7.5695421,29.479604,25.357865,-36.468667,0.00010202635,5.7339829e-05,0.043307488,7.4399958,0.0013240165,2.075892,0.0049670412,0.28515898,0.00033400544,0.25226683,0.34288572,0.0013240165,0.1764998,0.0049670412,2.5249405e-10,0.089399886,0.029663644,12.411852,3.0137864,-13.780038,5.6529595,0.46423094,-141.96114,-0.42140642,7.2228532,336.87465,25.216768,307.58619,1.06414e-27,39.579985,0.23158496,7.4399958,170.90914,2.075892,95.173685,6.9716714e-09,-22.143587,-0.12956351,12.411852,170.90914,-13.780038,95.173685,0.001329271,60.304953,0.17901303,7.4399958,336.87465,2.075892,307.58619,8.5126872e-06,-171.264,-0.50839089,12.411852,336.87465,-13.780038,307.58619,1.807124e-41,-63.908611,-0.18971036,0.34288572,336.87465,0.1764998,307.58619,2.3274572e-06,-78.239357,-0.22263954,29.479604,351.41717,-36.468667,302.21001,2.3565744e-07,-188.03818,-0.55818441,0.0013240165,336.87465,0.0049670412,307.58619,2.451629e-51,32.490319,0.096446317,3.0137864,336.87465,5.6529595,307.58619,0.017094004,12417.603,280141.14,1.254908,95.173685,1,3
0.53156963,0.069732305,7.2205506,7.6230039,25.222782,1.8161143,0.084770359,1.4499981,0.10734186,7.2205506,13.508227,25.222782,-13.524414,0.0078665457,0.0053433492,0.015836585,7.2205506,0.3374054,25.222782,0.17357868,0.69579794,5.4445886,0.19091266,7.5618126,28.51874,25.37322,-36.216164,9.62053e-06,4.8279376e-05,0.036596851,7.6230039,0.0013192221,1.8161143,0.0048961317,0.36609724,0.00033204653,0.25169872,0.3374054,0.0013192221,0.17357868,0.0048961317,2.6857256e-10,-0.037598043,-0.012314192,13.508227,3.0532285,-13.524414,5.5246629,0.76110883,-144.36313,-0.42078674,7.2205506,343.07909,25.222782,317.91729,1.1717949e-27,66.269736,0.37150821,7.6230039,178.38027,1.8161143,97.123359,1.8268385e-21,-34.831311,-0.19526436,13.508227,178.38027,-13.524414,97.123359,1.1294476e-06,74.751174,0.21788321,7.6230039,343.07909,1.8161143,317.91729,5.1904683e-08,-166.56009,-0.48548597,13.508227,343.07909,-13.524414,317.91729,1.6470657e-37,-80.815374,-0.23555902,0.3374054,343.07909,0.17357868,317.91729,3.6638126e-09,-87.402689,-0.24568861,28.51874,355.7458,-36.216164,311.63386,9.9903229e-09,-190.85331,-0.55629536,0.0013192221,343.07909,0.0048961317,317.91729,5.1754861e-51,36.422419,0.10616333,3.0532285,343.07909,5.5246629,317.91729,0.0085788111,12240.329,280023.22,1.2548734,97.123359,1,4
-0.10842364,-0.017871121,7.2007528,6.0669745,25.210587,1.6349623,0.65904033,0.61742766,0.050174957,7.2007528,12.305495,25.210587,-13.42307,0.21515926,0.010532035,0.030607012,7.2007528,0.3441053,25.210587,0.18834873,0.44976626,5.1693431,0.19001688,7.5436439,27.204652,25.351206,-36.249681,1.0815031e-05,4.5319052e-05,0.034186339,6.0669745,0.001325648,1.6349623,0.0048417169,0.39853469,0.00037723967,0.28457002,0.3441053,0.001325648,0.18834873,0.0048417169,7.2660189e-13,0.10259738,0.032905738,12.305495,3.1179175,-13.42307,5.3401124,0.41644809,-141.74582,-0.41499907,7.2007528,341.55697,25.210587,318.10015,7.0970936e-27,60.364353,0.3321374,6.0669745,181.74512,1.6349623,97.242039,3.1568744e-17,-30.857143,-0.16978251,12.305495,181.74512,-13.42307,97.242039,2.4182998e-05,79.757667,0.23351205,6.0669745,341.55697,1.6349623,318.10015,5.0363106e-09,-147.8242,-0.43279517,12.305495,341.55697,-13.42307,318.10015,2.4924016e-29,-65.042073,-0.19042818,0.3441053,341.55697,0.18834873,318.10015,2.0872596e-06,-85.394094,-0.24320882,27.204652,351.1143,-36.249681,309.16082,1.462874e-08,-188.36944,-0.55150226,0.001325648,341.55697,0.0048417169,318.10015,5.3989162e-50,31.551963,0.092376868,3.1179175,341.55697,5.3401124,318.10015,0.02228387,12104.292,279838.43,1.2552876,97.242039,1,5
0.48651659,0.057524696,7.2047602,8.4575256,25.204708,2.0691325,0.15521499,-0.24480468,-0.019957237,7.2047602,12.266462,25.204708,-13.03056,0.62218607,0.016041821,0.046830771,7.2047602,0.34254872,25.204708,0.18008244,0.2473559,4.592226,0.17955504,7.549572,25.57559,25.318458,-36.954374,3.4436378e-05,4.650515e-05,0.035362566,8.4575256,0.0013150955,2.0691325,0.0047791643,0.38249618,0.00041490751,0.31549612,0.34254872,0.0013150955,0.18008244,0.0047791643,1.3058024e-15,-0.074190052,-0.024077018,12.266462,3.0813638,-13.03056,5.1902023,0.55217707,-137.769,-0.40107799,7.2047602,343.49678,25.204708,323.16356,4.6900786e-25,46.049998,0.25223988,8.4575256,182.5643,2.0691325,95.209142,2.4524489e-10,-33.653329,-0.18433685,12.266462,182.5643,-13.03056,95.209142,4.4258238e-06,68.920368,0.20064342,8.4575256,343.49678,2.0691325,323.16356,5.6014465e-07,-138.2695,-0.40253506,12.266462,343.49678,-13.03056,323.16356,3.0526313e-25,-70.845674,-0.20624844,0.34254872,343.49678,0.18008244,323.16356,2.6424041e-07,-103.40875,-0.29064579,25.57559,355.78958,-36.954374,316.91971,1.0660329e-11,-192.80459,-0.56129955,0.0013150955,343.49678,0.0047791643,323.16356,4.2947699e-52,28.287879,0.082352676,3.0813638,343.49678,5.1902023,323.16356,0.041691347,11947.911,279669.26,1.2560985,95.209142,1,6
0.46114572,0.050324309,7.1908189,9.1634784,25.194685,4.5520365,0.21379515,0.41345281,0.034684993,7.1908189,11.920222,25.194685,-11.49967,0.39168652,0.024106768,0.058538044,7.1908189,0.41181369,25.194685,0.22724289,0.14805631,5.4006854,0.2301643,7.5780941,23.464479,25.27795,-26.265689,9.1361959e-08,0.00015883637,0.12051124,9.1634784,0.0013180213,4.5520365,0.0047721523,0.0028258072,0.00039508123,0.2997533,0.41181369,0.0013180213,0.22724289,0.0047721523,3.5857455e-14,-0.022715119,-0.0075276345,11.920222,3.0175641,-11.49967,5.2225038,0.85256607,-142.94075,-0.41213229,7.1908189,346.8322,25.194685,328.25925,1.7097443e-26,55.686664,0.29493628,9.1634784,188.80914,4.5520365,95.637666,9.4979342e-14,-37.065635,-0.19631272,11.920222,188.80914,-11.49967,95.637666,9.8665096e-07,44.714629,0.12892295,9.1634784,346.8322,4.5520365,328.25925,0.001392481,-149.28279,-0.43041791,11.920222,346.8322,-11.49967,328.25925,5.407743e-29,-67.179365,-0.19369414,0.41181369,346.8322,0.22724289,328.25925,1.3810158e-06,-138.68021,-0.39013444,23.464479,355.46774,-26.265689,318.84902,1.3253442e-20,-202.13578,-0.58280568,0.0013180213,346.8322,0.0047721523,328.25925,5.8997119e-57,21.351442,0.061561301,3.0175641,346.8322,5.2225038,328.25925,0.12819157,11930.381,279677.44,1.2563853,95.637666,1,7
2.1836126,0.18759756,7.1623271,11.639878,25.177112,17.997458,2.9687658e-06,-0.72467152,-0.070197719,7.1623271,10.323292,25.177112,4.0015462,0.082707804,0.022057583,0.071461818,7.1623271,0.30866249,25.177112,0.77709434,0.077309907,3.9407048,0.1438708,7.5362945,27.390581,25.231943,34.223083,0.00092574718,-4.3335551e-05,-0.031536572,11.639878,0.0013741364,17.997458,0.0049613143,0.43611496,-3.8819422e-05,-0.02825005,0.30866249,0.0013741364,0.77709434,0.0049613143,0.48544108,-0.79000751,-0.27774913,10.323292,2.8443204,4.0015462,6.522406,2.6491247e-12,-170.74275,-0.4228387,7.1623271,403.80114,25.177112,423.71438,6.1354679e-28,33.550793,0.16746352,11.639878,200.34688,17.997458,102.12411,3.1301108e-05,-76.086205,-0.37977234,10.323292,200.34688,4.0015462,102.12411,1.9716171e-22,56.088611,0.13890157,11.639878,403.80114,17.997458,423.71438,0.00056910234,-72.389703,-0.17927067,10.323292,403.80114,4.0015462,423.71438,8.1182343e-06,53.163631,0.13165795,0.30866249,403.80114,0.77709434,423.71438,0.0010961867,-44.442472,-0.10658981,27.390581,416.94861,34.223083,417.83272,0.014361406,-268.79855,-0.6656706,0.0013741364,403.80114,0.0049613143,423.71438,1.3895593e-79,35.788783,0.088629721,2.8443204,403.80114,6.522406,423.71438,0.028349796,12403.286,280948.3,1.2534103,102.12411,1,8
