SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8100705e-05,0.031265302,24.833475,0.00089878243,14.814818,0.0019462883,0.53920334,0.000366158,0.40739336,0.16421967,0.00089878243,0.19351059,0.0019462883,6.0398295e-17,-0.31009173,-0.066695047,33.878336,4.6493966,21.790776,-3.9801154,0.18758895,,,,,,,,27.632208,0.13823054,24.833475,199.89944,14.814818,274.90505,0.006388508,-19.133433,-0.095532847,33.878336,200.2812,21.790776,276.13274,0.058793046,-195.96437,-0.21657713,24.833475,904.82487,14.814818,1385.909,1.6812517e-05,59.780113,0.065708202,33.878336,909.78159,21.790776,1372.5689,0.19421696,-374.37002,-0.41374859,0.16421967,904.82487,0.19351059,1385.909,1.7717074e-17,-22.385779,-0.02382517,36.978275,939.58529,28.169279,1345.8189,0.66392252,-674.77967,-0.72823397,0.00091753919,926.59735,0.002001273,1317.1399,6.0238083e-69,539.41187,0.58214269,4.6474773,926.59735,-4.1581606,1317.1399,1.4625068e-38,5003.1826,299123.55,0.88378533,282.06791,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5021766e-05,0.046051127,11.159088,0.00097764743,3.3352275,0.0017891617,0.42990159,0.00032393112,0.33084661,0.24550576,0.00097909761,0.093568992,0.001787982,5.7746145e-09,0.18543799,0.038420287,30.887928,4.8265644,-31.034142,-4.2411691,0.48871463,,,,,,,,42.894885,0.2989538,11.159088,143.48332,3.3352275,70.356635,1.588461e-07,22.382015,0.12668346,30.887928,176.6767,-31.034142,86.00738,0.021945996,-40.438688,-0.040226322,11.159088,1005.2793,3.3352275,1522.8885,0.49055234,-143.28112,-0.14058317,30.887928,1019.1911,-31.034142,1443.7156,0.01092458,-202.54975,-0.20160312,0.24550576,1004.6955,0.093568992,1526.8286,0.00049437792,-672.97675,-0.63400387,41.169886,1061.4711,-68.644152,1225.2832,1.7139171e-37,-752.93355,-0.71364468,0.001035117,1055.0538,0.0019603334,1231.8788,6.6907593e-65,552.14216,0.5233308,5.1612058,1055.0538,-5.1637939,1231.8788,3.9006003e-30,4900.8335,297991.5,0.89693697,109.9382,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9649319e-05,0.041097117,9.0565344,0.00096477129,3.1869026,0.001777526,0.48420761,0.00018276097,0.1894345,0.26116925,0.00096477129,0.094573229,0.001777526,0.0011432442,0.056339111,0.011410672,30.629369,4.9374052,-31.099715,-4.4121479,0.83763237,,,,,,,,35.203238,0.297071,9.0565344,118.5011,3.1869026,63.291609,2.3184973e-07,25.759509,0.16351205,30.629369,157.5389,-31.099715,79.077043,0.0031133445,19.575733,0.019722443,9.0565344,992.56125,3.1869026,1522.2742,0.73716925,-166.21827,-0.16505479,30.629369,1007.0491,-31.099715,1432.6827,0.0028394994,-183.04502,-0.18441685,0.26116925,992.56125,0.094573229,1522.2742,0.0015508862,-684.68747,-0.65086204,41.61927,1051.9702,-68.70537,1240.5428,2.0246302e-40,-749.65774,-0.71314603,0.0010310161,1051.1981,0.0019457472,1232.7261,8.991256e-65,548.25815,0.52155551,5.1938729,1051.1981,-5.2573456,1232.7261,6.5776163e-30,4864.3679,297902.72,0.89714595,106.35516,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3721261e-05,-0.024261686,7.7225178,0.00097772514,2.9534615,0.0018019585,0.67658855,0.00030947065,0.31652111,0.27392486,0.00097772514,0.10562619,0.0018019585,2.3330732e-08,0.094481389,0.019393096,30.389672,4.8719084,-33.423616,-4.4439643,0.7276151,,,,,,,,20.777688,0.23219402,7.7225178,89.484166,2.9534615,57.452338,5.190272e-05,13.958509,0.095095061,30.389672,146.7848,-33.423616,74.505182,0.086965601,37.582352,0.037875228,7.7225178,992.26734,2.9534615,1487.8091,0.51484402,-215.20343,-0.21528624,30.389672,999.61537,-33.423616,1439.5439,9.1480169e-05,-259.24567,-0.26126595,0.27392486,992.26734,0.10562619,1487.8091,4.8579521e-06,-686.70057,-0.65334592,40.632297,1051.052,-69.660768,1244.9912,6.1529005e-41,-755.31822,-0.71802523,0.0010375166,1051.9383,0.0019435356,1235.843,4.853333e-66,537.98307,0.51142076,5.1685038,1051.9383,-5.2782115,1235.843,1.2256032e-28,4858.8389,297879.92,0.89748424,101.67383,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00014165099,-0.14533803,6.4961891,0.00097463128,3.1280454,0.0017567256,0.013230767,0.00024380358,0.25014956,0.23954417,0.00097463128,0.084943497,0.0017567256,1.6309472e-05,0.12590275,0.025985033,34.657797,4.8452024,-34.816432,-4.5700308,0.64277507,,,,,,,,23.570959,0.19151173,6.4961891,123.07841,3.1280454,64.300489,0.0010468186,28.675144,0.18590036,34.657797,154.25008,-34.816432,81.824431,0.00081718776,155.26792,0.15765707,6.4961891,984.84591,3.1280454,1524.8169,0.0071441038,-201.04033,-0.2012276,34.657797,999.06938,-34.816432,1449.6985,0.00028517394,-171.64936,-0.17429058,0.23954417,984.84591,0.084943497,1524.8169,0.0029007028,-675.15869,-0.64426219,41.088439,1047.9564,-69.459484,1236.0891,9.7426729e-40,-760.248,-0.72178704,0.0010367177,1053.2857,0.0019316679,1230.7536,4.89895e-67,526.20462,0.49958392,5.1655515,1053.2857,-5.4197925,1230.7536,3.3044184e-27,4829.1699,297739.92,0.89687236,111.65141,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9927476e-05,-0.020743749,11.892219,0.00096064969,4.151553,0.0017472848,0.72364165,0.00028912312,0.30119685,0.2459871,0.00095991415,0.087086854,0.0017512334,1.5448797e-07,-0.20637921,-0.044063148,33.59593,4.6837146,-33.252789,-4.5146809,0.43360092,,,,,,,,15.652257,0.14236875,11.892219,109.94166,4.151553,61.228694,0.014728796,26.450577,0.21255521,33.59593,124.44097,-33.252789,71.119803,0.00013388094,-32.609435,-0.032572134,11.892219,1001.1452,4.151553,1518.8203,0.57868318,-255.94918,-0.25104151,33.59593,1019.5492,-33.252789,1460.4149,5.8466082e-06,-278.75205,-0.27814087,0.2459871,1002.1974,0.087086854,1520.9523,1.3784779e-06,-713.63318,-0.66613134,41.977216,1071.31,-68.292081,1246.0099,1.4900973e-43,-764.17425,-0.7191831,0.0010253579,1062.5587,0.0019150916,1228.0098,2.4056625e-66,543.49487,0.51149633,5.1973828,1062.5587,-5.5381411,1228.0098,1.1995938e-28,4787.7289,297627.36,0.89741473,103.19417,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00012746595,-0.13389747,8.3016276,0.00095196686,3.4799144,0.0017750153,0.021205947,0.0002384538,0.2504854,0.26270143,0.00095196686,0.099597569,0.0017750153,1.2946925e-05,-0.31353222,-0.066164389,35.73492,4.7386853,-33.365641,-4.6115761,0.23716454,,,,,,,,6.9100667,0.063625846,8.3016276,108.60471,3.4799144,57.70881,0.27521365,26.30193,0.17441361,35.73492,150.80206,-33.365641,74.502012,0.0017082421,112.52189,0.11605059,8.3016276,969.59345,3.4799144,1479.6096,0.046053022,-226.89228,-0.22886135,35.73492,991.39624,-33.365641,1429.2937,3.4812056e-05,-253.54246,-0.26149358,0.26270143,969.59345,0.099597569,1479.6096,5.1288006e-06,-690.49787,-0.66095955,42.310426,1044.6901,-67.677664,1221.9826,1.9861508e-42,-746.33311,-0.71851134,0.001008716,1038.7214,0.0019208787,1207.7533,3.6162669e-66,529.31324,0.50958152,5.206058,1038.7214,-5.5983868,1207.7533,2.0622778e-28,4802.1967,297561,0.89776917,99.231513,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00013151324,-0.13740497,7.7923893,0.00095712139,3.2634633,0.0017346657,0.018415374,0.00020625433,0.21549443,0.19578075,0.00095712139,0.069820527,0.0017346657,0.00019682682,-0.42737241,-0.089931247,44.391878,4.7522127,-31.049843,-4.6602828,0.11002189,,,,,,,,9.9767893,0.1133099,7.7923893,88.048697,3.2634633,55.018363,0.052277884,33.10561,0.23778176,44.391878,139.22687,-31.049843,69.942354,1.8825879e-05,67.657998,0.066116074,7.7923893,1023.3215,3.2634633,1528.1704,0.2584501,-201.683,-0.19558984,44.391878,1031.1527,-31.049843,1462.803,0.00046089745,-167.48937,-0.16367229,0.19578075,1023.3215,0.069820527,1528.1704,0.0049015042,-688.10861,-0.64415517,42.332027,1068.2342,-67.667521,1227.0659,1.0124746e-39,-772.80668,-0.724296,0.0010054325,1066.9763,0.0019072815,1219.1394,1.0391362e-67,548.93187,0.51447427,5.2131097,1066.9763,-5.6504374,1219.1394,5.1297934e-29,4768.2038,297482.53,0.89830568,95.349078,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1189136e-05,0.043193842,32.64054,0.00095358814,10.490706,0.0016816678,0.45909602,0.00025964316,0.27328058,0.33191086,0.00095009735,0.13479022,0.0016749473,1.9680681e-06,-0.66683672,-0.13669395,36.087722,4.8783192,-24.10379,-4.6319496,0.014709051,,,,,,,,22.527705,0.18991566,32.64054,118.61952,10.490706,62.77298,0.0010251166,19.081008,0.14457133,36.087722,131.98334,-24.10379,66.463042,0.0098372134,-172.6291,-0.16105537,32.64054,1071.8618,10.490706,1588.1536,0.0054807391,-229.32763,-0.21415354,36.087722,1070.8561,-24.10379,1529.3347,0.00011879044,-242.48948,-0.22670965,0.33191086,1069.6037,0.13479022,1597.2765,8.7858576e-05,-634.57135,-0.56865799,44.884547,1115.9104,-40.924295,1289.3769,6.4133937e-30,-818.60702,-0.7342758,0.0010265815,1114.8495,0.0018953992,1267.9109,1.8297407e-70,576.81657,0.51739411,5.1186301,1114.8495,-5.4558451,1267.9109,2.2121656e-29,4738.4981,297674.24,0.89824703,95.299397,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1992059e-05,0.095704855,40.764367,0.00096120577,15.856366,0.0016840932,0.10030519,0.00011415576,0.11849682,0.41792573,0.00096336558,0.34855999,0.0016807739,0.042326031,-0.61391572,-0.12882161,39.64801,4.7656269,12.333427,-4.0246246,0.021784204,,,,,,,,17.535741,0.11245866,40.764367,155.93055,15.856366,78.737674,0.053265686,10.162293,0.066758412,39.64801,152.22491,12.333427,77.23525,0.23592774,-220.04136,-0.19954788,40.764367,1102.6996,15.856366,1642.1406,0.00055352377,-232.88205,-0.21065872,39.64801,1105.4945,12.333427,1631.2024,0.00015787709,-158.95394,-0.14420648,0.41792573,1102.2663,0.34855999,1649.8502,0.013322028,-77.022782,-0.066871036,62.980157,1151.8108,53.084788,1383.4097,0.2235829,-860.52691,-0.75047974,0.0010687347,1146.6358,0.0019105263,1349.4894,3.2675253e-75,591.11798,0.51552375,4.971949,1146.6358,-4.8098932,1349.4894,3.7950049e-29,4776.3157,298360.36,0.89682982,105.9137,1,8
