SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.545204e-05,-0.01511797,9.3599511,0.0010220976,11.52074,0.00242991,0.86764456,0.00015698919,0.15359511,0.13257177,0.0010220976,0.15196354,0.00242991,0.08853766,0.58476728,0.15531412,26.326848,3.765062,30.768522,-2.4291507,0.05364157,,,,,,,,2.6126532,0.012903416,9.3599511,202.47763,11.52074,291.83836,0.88689276,4.4673022,0.022116957,26.326848,201.98539,30.768522,286.98433,0.78473143,-119.28789,-0.14537076,9.3599511,820.57692,11.52074,1186.0782,0.10718942,248.04755,0.2983094,26.326848,831.51101,30.768522,1175.3896,0.0001632041,-293.17049,-0.35727363,0.13257177,820.57692,0.15196354,1186.0782,4.632808e-05,59.867631,0.071998602,19.574707,831.51101,47.151642,1175.3896,0.37331788,-645.53585,-0.77634071,0.00099028443,831.51101,0.0023913418,1175.3896,1.7748652e-32,450.59475,0.54189872,3.765062,831.51101,-2.4291507,1175.3896,3.298335e-13,5978.3545,299081.05,0.90120384,286.98433,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.3915118e-05,-0.040069549,4.0136074,0.0010959724,1.4394671,0.0025507804,0.66660922,6.9694603e-05,0.06359157,0.19199785,0.0010959724,0.078118085,0.0025507804,0.49389899,0.054892321,0.014050764,34.030066,3.9067143,-25.386022,-3.2861531,0.86495085,,,,,,,,30.708026,0.13247085,4.0136074,231.80968,1.4394671,121.80343,0.15271881,73.294889,0.3323676,34.030066,220.52357,-25.386022,118.54141,3.4541535e-05,-11.585262,-0.014020325,4.0136074,826.31906,1.4394671,993.88412,0.88022354,-166.67621,-0.19199998,34.030066,868.10536,-25.386022,1012.1296,0.018986865,-20.572671,-0.024896765,0.19199785,826.31906,0.078118085,993.88412,0.78899907,-538.16147,-0.61174584,35.089671,879.71416,-63.010599,1035.7122,5.6610353e-17,-672.95552,-0.76451699,0.0010958476,880.23619,0.0024358912,1018.0049,5.5630473e-31,373.99678,0.4248823,4.0498514,880.23619,-3.4680099,1018.0049,3.5825236e-08,6089.7281,297923.9,0.9142387,120.37137,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.7674444e-05,-0.088858472,4.0370112,0.0010992136,1.3113231,0.0025420763,0.35149953,0.00014110184,0.12836616,0.22029096,0.0010992136,0.082221609,0.0025420763,0.17738608,0.12484119,0.032380927,32.799355,3.8553927,-23.662895,-3.4801236,0.6990193,,,,,,,,-15.805127,-0.069367469,4.0370112,227.84638,1.3113231,122.86077,0.467375,61.853796,0.28840401,32.799355,214.46926,-23.662895,117.67845,0.00043507628,40.701528,0.048859826,4.0370112,833.02647,1.3113231,982.99737,0.60893894,-113.23862,-0.13148083,32.799355,861.2557,-23.662895,998.00462,0.11493658,-126.60313,-0.15197972,0.22029096,833.02647,0.082221609,982.99737,0.10967281,-532.57939,-0.61652775,35.879206,863.83685,-62.707889,1056.137,5.731466e-17,-659.11297,-0.76381059,0.0010864265,862.92725,0.0023912664,1027.5135,6.7907354e-31,372.09903,0.43120556,4.0194223,862.92725,-3.6018068,1027.5135,2.1280244e-08,5978.1661,297786.93,0.91455424,116.91074,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.1431465e-05,-0.083019258,3.8024539,0.0011013284,1.3519194,0.0024900082,0.38416907,0.00016544384,0.15022208,0.21350469,0.0011013284,0.081245032,0.0024900082,0.11388919,0.3324636,0.086393898,30.489542,3.8482301,-25.469071,-3.4837509,0.30318946,,,,,,,,43.52197,0.20502968,3.8024539,212.27156,1.3519194,113.84633,0.030114469,52.434374,0.27070856,30.489542,193.69307,-25.469071,104.06802,0.0010318779,-32.557347,-0.039564609,3.8024539,822.89067,1.3519194,1007.4873,0.67874419,-121.30071,-0.14313039,30.489542,847.48396,-25.469071,1024.578,0.08700386,-33.427155,-0.040621623,0.21350469,822.89067,0.081245032,1007.4873,0.67065323,-520.64493,-0.62268394,35.322767,836.13034,-62.702319,1037.2337,1.7817713e-17,-644.5026,-0.7618718,0.0010762417,845.94627,0.0023657931,1023.94,1.1696703e-30,367.06071,0.43390547,4.0160063,845.94627,-3.7327411,1023.94,1.6981216e-08,5914.4828,297643.48,0.91523288,109.32897,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00018565294,-0.16746965,4.5886921,0.0011085766,2.0161544,0.0024911831,0.07491554,5.3958677e-05,0.048673838,0.22928043,0.0011085766,0.087091352,0.0024911831,0.60706183,0.52283183,0.13714387,29.93416,3.8122872,-24.938942,-3.5969626,0.10118455,,,,,,,,21.666989,0.092911304,4.5886921,233.20078,2.0161544,133.24504,0.32550048,53.652404,0.25082682,29.93416,213.90218,-24.938942,120.79095,0.0024268392,42.216277,0.049870746,4.5886921,846.51385,2.0161544,995.72396,0.59823961,-171.6275,-0.19705375,29.93416,870.96795,-24.938942,1022.9516,0.017918587,-109.2476,-0.12905589,0.22928043,846.51385,0.087091352,995.72396,0.17116052,-517.4213,-0.59674343,35.127263,867.07499,-63.689004,1050.0244,7.7201815e-16,-667.84358,-0.76920981,0.0010994265,868.22032,0.0023506724,1031.2602,1.4526918e-31,353.22162,0.40683409,4.0553842,868.22032,-3.85138,1031.2602,1.4958402e-07,5876.6809,297528.65,0.91413511,126.4719,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00019877735,-0.17355677,4.7993677,0.001145316,1.6160693,0.0024731703,0.066003693,0.00015050097,0.13140563,0.25449776,0.001145316,0.1085632,0.0024731703,0.16533396,0.49730572,0.13264511,37.460779,3.7491447,-30.240369,-3.4849305,0.11821288,,,,,,,,11.837556,0.056177435,4.7993677,210.71728,1.6160693,115.31875,0.55451937,37.362787,0.19100275,37.460779,195.61387,-30.240369,106.47022,0.02378608,40.258692,0.046097583,4.7993677,873.33628,1.6160693,1019.2018,0.62779446,-178.94433,-0.20375097,37.460779,878.25021,-30.240369,1038.1054,0.015753121,-165.57283,-0.18958657,0.25449776,873.33628,0.1085632,1019.2018,0.044303907,-511.5621,-0.58319138,34.701057,877.17706,-63.913453,1049.9803,4.8484569e-15,-667.85642,-0.76260979,0.0011126059,875.75118,0.0023485744,1025.3312,9.5157197e-31,353.09666,0.4031929,4.11871,875.75118,-3.9477201,1025.3312,1.9758022e-07,5871.4361,297440.95,0.91502006,112.15648,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002573346,-0.22633753,4.530878,0.0011369507,1.3774162,0.0024414845,0.015925414,1.1456621e-05,0.010076621,0.25370965,0.0011369507,0.08933298,0.0024414845,0.91563976,0.21620409,0.057182377,32.919338,3.7809566,-29.768646,-3.5988188,0.49908045,,,,,,,,-1.3471575,-0.0066289429,4.530878,203.22358,1.3774162,109.10217,0.94444526,25.650639,0.13709071,32.919338,187.10705,-29.768646,99.642877,0.10376344,40.695095,0.045804865,4.530878,888.4448,1.3774162,1038.2207,0.62998243,-240.8041,-0.27215646,32.919338,884.80025,-29.768646,1037.3915,0.0010509179,25.660849,0.028882885,0.25370965,888.4448,0.08933298,1038.2207,0.76137254,-535.56711,-0.61052383,34.799743,877.22557,-63.867228,1064.5687,1.7466983e-16,-678.3688,-0.76855691,0.0011002767,882.65266,0.0023316953,1035.4391,1.754392e-31,373.07061,0.42266979,4.0566206,882.65266,-3.9394727,1035.4391,4.2879752e-08,5829.2382,297456.18,0.91524512,107.64644,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00027236148,-0.23914538,5.0068433,0.001138895,1.7151705,0.0024371317,0.011102848,0.00014156014,0.12429604,0.13341391,0.001138895,0.057459731,0.0024371317,0.1916415,0.22897718,0.05924814,32.903946,3.8647151,-26.918355,-3.5786879,0.48525004,,,,,,,,-9.7738161,-0.054618788,5.0068433,178.94604,1.7151705,102.71189,0.56733991,27.462595,0.16191971,32.903946,169.60626,-26.918355,98.631097,0.055078919,66.961502,0.07322937,5.0068433,914.40772,1.7151705,1043.5446,0.44288909,-225.42688,-0.24744688,32.903946,911.01121,-26.918355,1033.7788,0.0030938007,-30.338762,-0.033178593,0.13341391,914.40772,0.057459731,1043.5446,0.72837666,-553.13624,-0.60578707,35.027868,913.08691,-63.980566,1084.4583,5.4556952e-16,-705.4801,-0.77025956,0.0011121224,915.89918,0.0023216529,1051.7991,1.0711223e-31,410.05858,0.44771148,4.0877599,915.89918,-3.9102768,1051.7991,5.1906047e-09,5804.1323,297467.87,0.91549863,106.13174,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00031444468,-0.27408342,7.1458229,0.001147259,3.5205685,0.0024092357,0.0044682702,-0.00018338101,-0.15984273,0.26164413,0.001147259,0.10038253,0.0024092357,0.10169097,0.19567131,0.05072694,33.243288,3.8573451,-23.748155,-3.3376431,0.55460962,,,,,,,,-16.026573,-0.093421826,7.1458229,171.55063,3.5205685,100.39661,0.34083469,35.438892,0.21682241,33.243288,163.44663,-23.748155,96.212509,0.01063768,104.63742,0.1111203,7.1458229,941.65896,3.5205685,1070.3122,0.25679267,-258.63296,-0.27376055,33.243288,944.74152,-23.748155,1109.3414,0.0011580944,115.94531,0.12312877,0.26164413,941.65896,0.10038253,1070.3122,0.20859135,-574.2297,-0.60163741,29.874877,954.4448,-39.780866,1144.5709,4.888256e-16,-738.22165,-0.77092533,0.0011052431,957.57866,0.0022768941,1103.8811,8.8215425e-32,488.32349,0.50995653,4.2160142,957.57866,-3.7496328,1103.8811,1.223034e-11,5692.2352,297620.01,0.91583052,101.27123,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00022838423,-0.20485171,11.397481,0.0011148759,10.453921,0.0023163807,0.037920584,8.1013691e-05,0.072924833,0.35931741,0.0011109205,0.33444491,0.0023306265,0.46636984,0.098725388,0.024060819,31.534113,4.10316,16.402281,-2.7411724,0.77859386,,,,,,,,0.066943284,0.00038473637,11.397481,173.99781,10.453921,108.61998,0.99692257,-9.2163789,-0.056845609,31.534113,162.13001,16.402281,101.7654,0.50625164,30.337474,0.031044728,11.397481,977.21822,10.453921,1216.8985,0.75557299,15.755808,0.015711509,31.534113,1002.8195,16.402281,1220.4305,0.85434722,-91.649776,-0.094301093,0.35931741,971.88456,0.33444491,1203.0841,0.34580392,196.74455,0.19382968,36.201569,1015.0383,70.036133,1223.2907,0.015666628,-795.76116,-0.78397155,0.0011022762,1015.0383,0.0022567219,1223.2907,1.7143862e-33,586.11822,0.57743458,4.3779636,1015.0383,-2.9350763,1223.2907,3.6822622e-15,5641.8047,298482.68,0.9144534,107.19138,1,8
