SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-5.1820178,-0.22767986,1.630052,22.760106,27.823885,10.486846,0.0034674306,-5.380604,-0.19753469,1.7179536,27.23878,27.971873,26.738762,0.008983646,-0.009559056,-0.039922871,1.630052,0.23943809,27.823885,0.25567544,0.61287049,1.5027302,0.068226752,1.9681384,22.025528,27.732347,33.991055,0.35744809,1.4839534e-05,0.0069014043,22.113324,0.0021502195,11.68847,0.0038041103,0.92371563,0.00043212516,0.20096793,0.2404442,0.0021502195,0.27202158,0.0038041103,0.0048456251,-3.0979639,-0.52211776,26.459975,5.9334582,26.22185,4.0011039,8.3911508e-16,-5.0552446,-0.18019613,1.9681384,28.054124,27.732347,61.485056,0.014376646,73.686055,0.27130635,22.113324,271.59723,11.68847,526.64554,0.00012483267,25.927851,0.095172893,26.459975,272.42895,26.22185,526.25926,0.17358739,-2.25637,-0.077274656,22.113324,29.199353,11.68847,59.599076,0.28293448,13.983829,0.48263106,26.459975,28.97416,26.22185,59.178139,2.0384565e-13,-18.447938,-0.6317927,0.2404442,29.199353,0.27202158,59.599076,4.0255071e-23,16.983592,0.5892769,21.953559,28.821072,32.276744,59.683811,1.7137174e-21,-16.553175,-0.56968123,0.0021650328,29.056907,0.00383437,59.256833,4.5467596e-20,-5.5581159,-0.19128381,5.884377,29.056907,3.8101589,59.256833,0.0046888231,9585.9249,280076.45,1.1944384,518.83148,1,daily
-1.2209929,-0.09208254,1.5524923,13.259766,27.79619,3.3741497,0.26731409,0.76954738,0.047297986,1.6364103,16.270193,27.916926,-15.41358,0.55005478,0.0059199248,0.014762717,1.5524923,0.40100509,27.79619,0.21965047,0.85913915,4.1782475,0.12639423,2.0172451,33.057264,27.706764,-41.097826,0.087326132,-0.00011081912,-0.048934522,12.307459,0.0022646408,3.017341,0.0037899511,0.5225951,0.00022135563,0.097744256,0.3862312,0.0022646408,0.20257864,0.0037899511,0.20076661,-2.2655785,-0.34736291,16.28479,6.5222233,-14.992105,3.5152684,9.0966698e-07,-6.5898221,-0.20975688,2.0172451,31.416477,27.706764,55.161546,0.0042665348,19.180465,0.051041939,12.307459,375.77854,3.017341,428.97028,0.50482338,-22.130838,-0.059412477,16.28479,372.49478,-14.992105,427.07316,0.41549608,0.90023019,0.027925909,12.307459,32.236379,3.017341,57.374247,0.71532318,-8.8857348,-0.27297685,16.28479,32.551239,-14.992105,56.035217,0.00013867339,-12.525573,-0.38855397,0.3862312,32.236379,0.20257864,57.374247,1.2733875e-07,-15.008214,-0.45355045,32.758871,33.090505,-41.193023,53.529317,2.6364772e-12,-18.190425,-0.54840615,0.0023600734,33.169623,0.0039494801,53.18134,1.948118e-18,-4.7329937,-0.14269061,6.4761358,33.169623,3.3645207,53.18134,0.035677474,9873.7003,279629.25,1.2043873,417.71325,1,0
-3.3583731,-0.059722629,1.5496341,56.232842,27.796035,7.6408451,0.48017724,1.2188612,0.077410912,1.6256335,15.745341,27.911083,-15.828025,0.33522049,0.012941179,0.033099648,1.5496341,0.39097631,27.796035,0.20145647,0.69576117,4.2418429,0.13038904,2.0014422,32.532205,27.68156,-39.631868,0.079358192,-0.00011125961,-0.049441958,51.735696,0.0022503075,7.5235294,0.0037438733,0.52199067,5.3861179e-05,0.023935031,0.40864427,0.0022503075,0.22183782,0.0037438733,0.75670046,-1.3322654,-0.20472716,17.227488,6.5075165,-15.142473,3.0946263,0.0050624079,-5.3714467,-0.17837999,2.0014422,30.112383,27.68156,53.459046,0.015985241,70.435714,0.18340403,51.735696,384.0467,7.5235294,435.76201,0.016665927,-35.447077,-0.092948882,17.227488,381.36098,-15.142473,435.00716,0.20700578,-4.0610538,-0.12786611,51.735696,31.760204,7.5235294,54.791474,0.096573354,-7.8760814,-0.24701201,17.227488,31.885419,-15.142473,53.913797,0.00067655322,-10.640286,-0.33501944,0.40864427,31.760204,0.22183782,54.791474,7.9834556e-06,-12.6858,-0.39679545,32.190297,31.970628,-39.946009,51.90628,1.9095963e-09,-17.640462,-0.55011615,0.0023412832,32.066795,0.003903665,51.542118,2.0952362e-18,-5.4192457,-0.16899867,6.4741921,32.066795,2.9983744,51.542118,0.013085425,9759.1624,279276.02,1.2042388,426.14829,1,1
-0.82681806,-0.092966826,1.5277532,8.8936892,27.791938,2.5138889,0.26774045,0.29995104,0.018357831,1.611234,16.339133,27.905323,-14.259494,0.81891448,0.034976468,0.083561985,1.5277532,0.41856914,27.791938,0.23480343,0.31937297,4.5944927,0.14049538,1.9966337,32.70209,27.685329,-38.745856,0.059235107,-0.00019115972,-0.088503137,11.363027,0.0021599202,3.5467836,0.0036964106,0.24969092,8.584224e-05,0.039743246,0.42250919,0.0021599202,0.2440766,0.0036964106,0.60578285,-1.8997148,-0.29369116,16.590949,6.4684101,-14.372973,2.7340541,4.962237e-05,-4.1737968,-0.14232268,1.9966337,29.326294,27.685329,50.903797,0.055974922,96.511182,0.25350597,11.363027,380.70575,3.5467836,428.6553,0.00082126304,-57.601585,-0.15166482,16.590949,379.7953,-14.372973,429.83386,0.039320261,-0.36641104,-0.012037577,11.363027,30.438936,3.5467836,52.395177,0.87582584,-6.9361224,-0.22965634,16.590949,30.202182,-14.372973,52.300816,0.0016629624,-11.518448,-0.37841165,0.42250919,30.438936,0.2440766,52.395177,3.3406961e-07,-12.233355,-0.3956449,32.724851,30.920038,-39.252358,49.593439,2.3422769e-09,-17.219996,-0.55471248,0.0023406776,31.043102,0.0038836065,49.206085,1.1495926e-18,-6.0206393,-0.19394452,6.5094633,31.043102,2.6574766,49.206085,0.004404537,9709.0164,278924.26,1.205417,422.32297,1,2
-1.3933613,-0.073365426,1.5345603,18.99207,27.823177,2.6631944,0.38217783,0.26739803,0.017583763,1.5996847,15.2071,27.937753,-14.059375,0.82533219,-0.028179699,-0.063341757,1.5345603,0.44488343,27.823177,0.28452475,0.45070854,4.7167158,0.14055877,2.0198519,33.556894,27.699124,-37.038674,0.059119452,-9.7890762e-05,-0.043471547,20.515336,0.0022518352,3.2294118,0.0037441369,0.57351387,0.0002829973,0.12567407,0.45177772,0.0022518352,0.29767378,0.0037441369,0.102473,-2.3179174,-0.35038394,15.419653,6.6153642,-14.043011,2.5532258,9.4525833e-07,-4.2177964,-0.14816805,2.0198519,28.466302,27.699124,48.952285,0.046526223,61.909588,0.16585747,20.515336,373.26982,3.2294118,433.49027,0.030652436,-80.646813,-0.21637048,15.419653,372.72559,-14.043011,431.06788,0.0030147883,-3.082077,-0.10498679,20.515336,29.356808,3.2294118,50.034864,0.17303088,-5.5080606,-0.18772616,15.419653,29.340933,-14.043011,50.056857,0.010292718,-12.836397,-0.43725453,0.45177772,29.356808,0.29767378,50.034864,2.4930484e-09,-11.649831,-0.38990436,33.37837,29.878689,-37.169811,47.733851,4.157093e-09,-16.237469,-0.54079163,0.0023362104,30.025371,0.0038686069,47.33517,1.1867066e-17,-5.8758618,-0.19569656,6.5605575,30.025371,2.3964953,47.33517,0.0040547997,9671.5173,278658.52,1.2067298,413.71147,1,3
-1.7717383,-0.064010788,1.5539815,27.678745,27.822961,6.5815603,0.4507929,-0.8299536,-0.039354064,1.5961566,21.0894,27.943288,-12.911392,0.62347221,-0.020162024,-0.048305848,1.5539815,0.41738269,27.822961,0.24871792,0.56947394,3.1723872,0.099893293,1.9712392,31.757759,27.679793,-37.483425,0.18090785,0.00041282765,0.18592291,26.451924,0.0022204238,6.7365269,0.0037255311,0.016145033,1.9748577e-05,0.0088940574,0.43602279,0.0022204238,0.26953085,0.0037255311,0.90917792,-1.5483049,-0.23272192,20.311324,6.6530257,-12.875,2.2220109,0.0014776116,-3.6935525,-0.13282523,1.9712392,27.807612,27.679793,46.72539,0.074666621,80.184432,0.22703182,26.451924,353.18588,6.7365269,399.26233,0.0031727209,-49.161956,-0.13795039,20.311324,356.37419,-12.875,405.60579,0.061840696,-3.6405022,-0.12682365,26.451924,28.70523,6.7365269,48.058434,0.10242388,-5.8313634,-0.20378908,20.311324,28.6147,-12.875,48.153174,0.0055257839,-7.8810241,-0.27455011,0.43602279,28.70523,0.26953085,48.058434,0.00032995737,-9.116393,-0.31255778,31.664416,29.167064,-37.636792,45.396565,3.47058e-06,-15.658438,-0.53427579,0.0023344961,29.307781,0.0038703985,45.008,3.4117084e-17,-5.8465283,-0.19948724,6.605459,29.307781,2.1535047,45.008,0.0033823308,9675.9963,278415.8,1.2087492,395.31376,1,4
-1.8552017,-0.086464247,1.5569896,21.456287,27.80319,4.6934307,0.31506634,-0.91274378,-0.057053072,1.6438395,15.998153,27.968199,-14.301282,0.47929425,-0.045790272,-0.11129181,1.5569896,0.41144332,27.80319,0.23865946,0.19541416,2.7570023,0.080705029,1.9544753,34.161468,27.697467,-38.627778,0.2814865,4.4041664e-05,0.021023447,22.59113,0.0020948831,5.8395062,0.0036122395,0.7905919,0.00010503542,0.050139035,0.43259884,0.0020948831,0.26976129,0.0036122395,0.52632706,-2.2047828,-0.33754195,15.663777,6.5318779,-14.049451,1.8582418,3.1650316e-06,-3.865184,-0.1413664,1.9544753,27.341603,27.697467,45.242489,0.058366726,50.654972,0.15034672,22.59113,336.92104,5.8395062,380.3008,0.056177994,-68.667995,-0.1998354,15.663777,343.62278,-14.049451,387.34718,0.0068368453,-2.7624451,-0.098388044,22.59113,28.077041,5.8395062,47.090675,0.21291026,-6.4880231,-0.23021752,15.663777,28.182143,-14.049451,46.585435,0.0017689427,-7.5669449,-0.2695065,0.43259884,28.077041,0.26976129,47.090675,0.00052416693,-8.1808228,-0.28306514,34.101849,28.900849,-38.303318,43.650369,3.0061405e-05,-15.847907,-0.54552405,0.0023137221,29.050794,0.0038584265,43.255277,6.4964643e-18,-6.2731423,-0.21593704,6.5767007,29.050794,1.9429577,43.255277,0.001522076,9646.0664,278195.55,1.2103111,383.63759,1,5
0.50225006,0.010647562,1.5486629,47.170427,27.823809,7.6985294,0.90208477,-0.72379633,-0.045701947,1.6239136,15.837319,27.987269,-13.649351,0.57355766,-0.010466728,-0.024494389,1.5486629,0.42731125,27.823809,0.23705566,0.77713311,3.5395492,0.10685927,1.9548521,33.123465,27.714114,-39.102778,0.15335779,0.00034625242,0.15947504,43.705047,0.0021712014,7.5925926,0.0036544043,0.042656289,0.00027340259,0.12592226,0.43290613,0.0021712014,0.24684152,0.0036544043,0.11033704,-2.3095502,-0.34636281,15.943651,6.6680084,-14,1.7668536,1.7861207e-06,-3.3560523,-0.12165883,1.9548521,27.585768,27.714114,43.692231,0.10375789,76.731358,0.23164111,43.705047,331.25103,7.5925926,383.08902,0.0030177123,-88.301399,-0.26025536,15.943651,339.28754,-14,388.93728,0.00040272538,-2.9662182,-0.10883068,43.705047,27.25535,7.5925926,43.983441,0.16803036,-2.9689445,-0.10480688,15.943651,28.327764,-14,44.583276,0.16027907,-7.096907,-0.26038584,0.43290613,27.25535,0.24684152,43.983441,0.00081861114,-7.4385568,-0.25813263,33.024988,28.816802,-38.718009,41.960684,0.00014957021,-15.219544,-0.5254281,0.0022868011,28.965988,0.0038374456,41.566687,1.6265588e-16,-4.9978664,-0.17254259,6.6272432,28.965988,1.7441338,41.566687,0.01165889,9593.6139,277976.5,1.2117403,374.816,1,6
-3.2516707,-0.24356741,1.5238528,13.350188,27.825102,2.5474453,0.0041296295,-0.8158625,-0.024402588,1.6023681,33.433441,27.987442,-11.429487,0.76236087,-0.034749754,-0.080259458,1.5238528,0.43296772,27.825102,0.24681506,0.35117609,2.4187728,0.074316289,1.9757425,32.547008,27.736339,-36.969444,0.32144969,0.00027444913,0.12218767,24.113444,0.0022461279,5.9181818,0.0037582744,0.11794418,0.00022096318,0.098375156,0.45136242,0.0022461279,0.27808214,0.0037582744,0.20871862,-0.8857585,-0.13317879,33.073168,6.6508977,-12.737838,1.5967622,0.070729747,-3.7730707,-0.14603098,1.9757425,25.837468,27.736339,40.924784,0.050458011,31.966053,0.10089695,24.113444,316.81883,5.9181818,379.87276,0.1972295,-42.359752,-0.13156579,33.073168,321.96632,-12.737838,382.42748,0.074240704,-1.9487826,-0.074075943,24.113444,26.307902,5.9181818,40.853178,0.34435833,-3.0944545,-0.11807681,33.073168,26.207132,-12.737838,41.289453,0.10943504,-6.0133699,-0.22857657,0.45136242,26.307902,0.27808214,40.853178,0.0031470788,-5.8098097,-0.21751823,32.469005,26.70953,-37.554502,39.414479,0.0014777587,-14.34195,-0.53405291,0.0023052171,26.854923,0.0038555288,39.04439,4.1917808e-17,-6.4797669,-0.24128786,6.6164648,26.854923,1.5056385,39.04439,0.00038027769,9638.822,277709.96,1.2129724,370.54391,1,7
-1.3849067,-0.077763284,1.5678187,17.809261,27.809622,5.676259,0.36286715,0.39478973,0.02290196,1.6484983,17.238251,27.945055,-3.2305195,0.77799925,-0.13629583,-0.30141242,1.5678187,0.45219048,27.809622,0.34356108,0.00031126665,2.0249486,0.087792777,1.9898597,23.065093,27.741892,6.325,0.24122832,0.00035730815,0.1612992,19.16677,0.0022151886,7.3682635,0.003639378,0.037301839,5.7272211e-05,0.025854328,0.44933929,0.0022151886,0.34579427,0.003639378,0.74014789,-3.6721002,-0.56163909,18.52474,6.5381848,-4.4344262,1.4704918,1.3269859e-16,-2.5425375,-0.096487997,1.9898597,26.350817,27.741892,42.841078,0.19756769,38.643085,0.1171722,19.16677,329.79737,7.3682635,436.63307,0.13154811,31.4016,0.093988442,18.52474,334.10066,-4.4344262,437.97206,0.20567664,-4.1058412,-0.15620651,19.16677,26.284701,7.3682635,43.664035,0.043814303,3.5600154,0.13715361,18.52474,25.956411,-4.4344262,43.616273,0.06410839,-4.2391008,-0.16127636,0.44933929,26.284701,0.34579427,43.664035,0.03732912,3.9149192,0.14706486,23.260552,26.620358,4.4834123,40.981624,0.032746832,-14.630129,-0.54612332,0.0022723207,26.789059,0.0037995333,40.59682,5.8819592e-18,-7.0604132,-0.26355585,6.4971721,26.789059,1.4748826,40.59682,9.9057685e-05,9498.8333,277683.31,1.2082091,425.57056,1,8
