SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
0.47810594,0.28954792,7.4441165,1.6512152,28.53369,1.3010797,1.4902499e-06,-5.1041765,-0.33570512,7.5513613,15.204345,29.168893,11.420681,5.459738e-09,0.029467421,0.35541442,7.4441165,0.082910035,28.53369,0.098518172,2.2792834e-09,-0.83054586,-0.047728009,7.6331636,17.401645,29.726047,14.992839,0.44348611,1.5314189e-05,0.015540398,1.9263005,0.00098544379,1.4182001,0.0020492396,0.78217366,0.00032276618,0.32753384,0.090628473,0.00098544379,0.10754021,0.0020492396,2.058868e-09,-2.5126167,-0.38813262,15.463371,6.4736036,11.008235,-8.7236142,6.3777623e-14,-52.786303,-0.23314985,7.9376522,226.40505,28.559221,252.81997,3.9245829e-05,3.4808571,0.018978266,1.9263005,183.41281,1.4182001,448.44599,0.73561757,23.447042,0.12739195,15.463371,184.05434,11.008235,452.18768,0.017588582,24.837892,0.1119769,1.9263005,221.81265,1.4182001,240.13441,0.045672292,35.035398,0.15901325,15.463371,220.33005,11.008235,236.63373,0.0029748786,-60.544172,-0.27295185,0.090628473,221.81265,0.10754021,240.13441,7.4117248e-07,11.189134,0.068566703,17.47618,163.18612,15.31061,200.70082,0.22052873,-85.753896,-0.39572959,0.0010036087,216.69822,0.002047545,237.19491,3.5929936e-15,-48.294054,-0.22286318,6.673966,216.69822,-9.0917517,237.19491,1.6828736e-05,5118.8624,269446.5,1.1899547,452.04634,1,daily
0.084389774,0.046893453,7.0812133,1.7996067,27.345451,-0.39612109,0.47913835,-4.0370309,-0.18441551,7.22578,21.890951,27.738121,-7.5332483,0.0042280847,0.025080723,0.14954062,7.0812133,0.16771846,27.345451,0.080286658,0.023310384,5.3564374,0.20259086,7.3527599,26.43968,29.036568,-26.423897,0.0029086975,-0.0001772241,-0.17436887,1.9781825,0.0010163747,-0.32295692,0.0019087165,0.0034207976,0.00011131663,0.10952322,0.17671467,0.0010163747,0.082297921,0.0019087165,0.067252268,0.17443114,0.024245189,21.205672,7.1944641,-9.2382136,-9.7674094,0.67731251,-36.697471,-0.14980162,7.7145219,244.97379,27.516156,215.93321,0.013917684,20.1432,0.076601164,1.9781825,262.96206,-0.32295692,378.51169,0.20127516,39.276012,0.14533297,21.205672,270.24847,-9.2382136,382.90941,0.012162727,16.421721,0.074277454,1.9812149,221.08622,-0.32567081,201.20132,0.21615496,-25.328651,-0.11482047,21.168417,220.59352,-9.3402552,198.95277,0.048425032,-2.7190502,-0.012298596,0.17699301,221.08622,0.082520171,201.20132,0.83795301,-57.522095,-0.39646326,25.974195,145.08809,-25.402882,149.87889,2.3526507e-12,-68.941394,-0.30177282,0.0010452268,228.45462,0.0019570707,197.32082,1.0733903e-08,-18.977062,-0.083067098,7.2479493,228.45462,-9.8193491,197.32082,0.12356869,4892.6768,268650.95,1.198675,384.55701,1,0
0.1321852,0.07309596,6.97805,1.808379,27.332082,-0.29595851,0.27065138,-3.9247868,-0.20596713,7.1300722,19.055403,27.727064,-8.371831,0.001397803,0.012071917,0.047766504,6.97805,0.25272767,27.332082,0.11501832,0.4719601,4.3811409,0.17387128,7.2195486,25.197612,29.023276,-25.621139,0.011408765,-0.00013002765,-0.12888354,2.0634306,0.0010088771,-0.24388788,0.0018811655,0.031697639,0.00012183543,0.12076341,0.25283192,0.0010088771,0.11400062,0.0018811655,0.044238426,0.49124777,0.067926992,18.870212,7.2319965,-9.7492341,-10.051645,0.24479909,-27.578261,-0.11327606,7.6250502,243.46064,27.422739,211.92247,0.064068148,24.508111,0.093994562,2.0634306,260.73967,-0.24388788,368.0711,0.11791042,41.77432,0.1550518,18.870212,269.42169,-9.7492341,372.98941,0.007631576,8.7712121,0.039746596,2.0667609,220.67832,-0.24633591,190.58634,0.51003436,-26.089339,-0.11838414,18.816731,220.37866,-9.8537081,188.98599,0.042523933,-22.795208,-0.10329609,0.25322649,220.67832,0.11433893,190.58634,0.08616047,-59.009046,-0.42981735,25.049505,137.28866,-25.0443,139.43582,3.048424e-14,-69.884895,-0.30908598,0.001043547,226.10179,0.0019450758,188.13865,4.997723e-09,-20.84833,-0.092207717,7.2955032,226.10179,-9.9965994,188.13865,0.088173695,4862.6896,268466.94,1.2000715,373.75487,1,1
0.16793031,0.11522016,6.999419,1.4574733,27.404304,-0.31363721,0.081212897,-3.9700983,-0.20201141,7.1516671,19.652842,27.799013,-7.5153763,0.0016948279,0.015779828,0.075666746,6.999419,0.20854377,27.404304,0.080578475,0.25306766,4.6185499,0.18145832,7.2287544,25.452401,29.126675,-24.918705,0.0083938247,-7.3383743e-05,-0.07287824,1.6134509,0.0010069363,-0.21237084,0.001859239,0.22495565,0.00017277185,0.17158171,0.21510066,0.0010069363,0.085993972,0.001859239,0.0040471919,0.71393147,0.098194624,19.431292,7.2705759,-8.9100473,-10.196056,0.09173156,-34.512024,-0.14154988,7.6544977,243.81527,27.471144,209.25171,0.020442584,14.762306,0.057133886,1.6134509,258.38091,-0.21237084,357.10271,0.34169755,38.558768,0.14851941,19.431292,259.62106,-8.9100473,359.1776,0.010508905,-0.35345473,-0.0015441309,1.615892,228.90206,-0.21469669,192.492,0.9795526,-16.529699,-0.072689097,19.385899,227.40273,-9.0113224,188.43865,0.2131968,-24.020575,-0.10493822,0.21545229,228.90206,0.086230316,192.492,0.080704723,-54.432008,-0.39270701,24.911442,138.60717,-24.020553,135.07799,6.5724247e-12,-75.877669,-0.33154207,0.0010404348,228.86287,0.0019290233,186.55512,3.0383246e-10,-27.033772,-0.11812214,7.3369017,228.86287,-10.15324,186.55512,0.028718459,4822.5582,268297.81,1.2017062,360.58845,1,2
0.18728103,0.13174923,6.9721227,1.4214962,27.342924,-0.2612922,0.046425203,-3.6119955,-0.1917598,7.1461094,18.836041,27.784782,-6.9962453,0.002914016,0.019676244,0.14051961,6.9721227,0.1400249,27.342924,0.06410798,0.033555936,3.9782655,0.15731753,7.2233894,25.288126,29.121149,-22.791611,0.022586451,-2.6003903e-05,-0.026187926,1.5432217,0.000992973,-0.1858207,0.0018338357,0.66203317,9.8342222e-05,0.099038162,0.16022685,0.000992973,0.070339921,0.0018338357,0.097548277,0.48133185,0.066019129,18.469075,7.2907938,-8.3471794,-10.41198,0.2559076,-32.057047,-0.12717215,7.6518651,252.076,27.464552,212.51283,0.037468558,31.274102,0.12105012,1.5432217,258.35664,-0.1858207,350.09646,0.042602468,36.598841,0.14084717,18.469075,259.84789,-8.3471794,354.52711,0.014960964,8.1501997,0.034067756,1.5455376,239.235,-0.18803512,189.75063,0.57025414,-15.827177,-0.066865617,18.421357,236.70128,-8.4458773,185.58827,0.2506517,-19.674963,-0.082241154,0.16048567,239.235,0.07051867,189.75063,0.16996158,-53.20229,-0.38180573,24.235918,139.34388,-21.806482,130.41571,2.1519972e-11,-80.086048,-0.34220765,0.0010333773,234.02764,0.0019107046,184.03487,6.5159193e-11,-31.65095,-0.1352445,7.3871153,234.02764,-10.334402,184.03487,0.011920091,4776.7616,268133.04,1.2023412,354.62575,1,3
0.12472361,0.088502633,7.0445099,1.4092644,27.500358,-0.33347697,0.17820195,-3.6730904,-0.19404339,7.1849493,18.929222,27.884893,-8.3355249,0.0024306249,0.017603212,0.11368789,7.0445099,0.15483805,27.500358,0.067539289,0.083334827,3.3238263,0.134691,7.2466156,24.677421,29.275701,-21.481636,0.048559209,-5.4581101e-05,-0.055160965,1.556069,0.00098948778,-0.23474709,0.0018106295,0.3586543,0.00010410889,0.10521493,0.20382291,0.00098948778,0.082648231,0.0018106295,0.079358841,0.82049234,0.11144913,18.115806,7.3620348,-8.9659288,-10.602152,0.055039906,-40.7018,-0.16727807,7.6932859,243.31821,27.614211,205.21546,0.0055926536,9.3464856,0.037245208,1.556069,250.94465,-0.23474709,342.8638,0.53556094,26.565944,0.1060587,18.115806,250.4834,-8.9659288,345.18581,0.067966916,0.02454932,0.00010319585,1.5583551,237.89058,-0.23715343,187.64718,0.99863333,-9.485351,-0.040648165,18.062326,233.3525,-9.0670505,181.86875,0.48601158,-25.328809,-0.10647252,0.20415599,237.89058,0.08287254,187.64718,0.076345781,-54.11586,-0.41798707,23.744143,129.46779,-20.525869,124.98755,1.7667319e-13,-79.212013,-0.34609155,0.0010329778,228.87589,0.0018922078,180.33101,4.3657345e-11,-35.705694,-0.15600461,7.5005793,228.87589,-10.542783,180.33101,0.003774073,4730.5194,267916.77,1.2036553,345.39677,1,4
0.11732679,0.10633592,7.0221682,1.1033599,27.377643,-0.26838825,0.10851532,-3.2201203,-0.17526096,7.1723999,18.373289,27.773165,-7.3826346,0.006716744,0.011015081,0.068204034,7.0221682,0.16150189,27.377643,0.065421451,0.30410815,3.3199062,0.14121608,7.2664592,23.509406,29.221307,-19.968654,0.039947957,-5.6735066e-05,-0.057305135,1.2037507,0.00099005204,-0.21283973,0.0018050435,0.34025018,8.2757619e-05,0.08358916,0.18020979,0.00099005204,0.071924208,0.0018050435,0.16380622,0.98206965,0.13190718,18.087804,7.4451567,-8.844146,-10.731132,0.023459273,-46.638834,-0.18649946,7.7040213,250.0749,27.550561,203.00537,0.0020886743,10.573511,0.041757376,1.2037507,253.21302,-0.21283973,346.80399,0.48727007,18.764035,0.07513013,18.087804,249.75379,-8.844146,347.10511,0.19818383,-1.2380776,-0.0050178262,1.2052925,246.73585,-0.21516727,185.25626,0.93362299,-9.0043075,-0.037251589,18.034467,241.71606,-8.9455414,179.71791,0.52462551,-18.351946,-0.074378919,0.18050803,246.73585,0.072109941,185.25626,0.21635831,-50.843159,-0.4152469,23.089481,122.44079,-19.705921,121.08336,2.8942674e-13,-81.487376,-0.34804718,0.0010345729,234.12739,0.0018781945,179.21544,3.5652149e-11,-39.357268,-0.16810194,7.5737518,234.12739,-10.691884,179.21544,0.0018109874,4695.4863,267753.28,1.2046767,339.63899,1,5
0.17856023,0.14535524,7.0296548,1.2284403,27.61081,-0.31958478,0.026187337,-3.4163648,-0.14173255,7.1651539,24.104306,27.989996,-6.6602092,0.027163258,0.0017358611,0.0099810567,7.0296548,0.17391556,27.61081,0.078911874,0.87929186,2.1126321,0.095179226,7.2539293,22.196358,29.251205,-18.264057,0.16334996,-0.00012246168,-0.1213954,1.2821365,0.0010087835,-0.29356679,0.0018040799,0.042010802,0.00012559064,0.12449712,0.18880803,0.0010087835,0.085231925,0.0018040799,0.036999392,0.70351209,0.09286493,23.166361,7.5756488,-8.236113,-10.818598,0.11024132,-51.353711,-0.21369361,7.7207858,240.31467,27.612952,199.50707,0.00038643456,-25.979771,-0.10170262,1.2821365,255.44839,-0.29356679,338.33747,0.088818725,27.527516,0.1093722,23.166361,251.68659,-8.236113,339.63017,0.05975605,-1.7686342,-0.0074164355,1.2852481,238.47496,-0.29878388,183.83507,0.9018502,-14.123381,-0.060410945,23.119055,233.78845,-8.4340941,178.03507,0.30107461,-26.4618,-0.11096259,0.18940533,238.47496,0.085697457,183.83507,0.064192703,-45.298129,-0.38230105,22.037874,118.48811,-18.493238,118.60206,2.3711954e-11,-82.720773,-0.36781532,0.0010366004,224.89758,0.0018702042,174.56434,2.3057151e-12,-46.511929,-0.20681383,7.6722869,224.89758,-10.829851,174.56434,0.0001197157,4675.5104,267601.94,1.2056949,333.70215,1,6
0.13567947,0.09308635,7.1491856,1.4575657,27.670745,-0.27649203,0.15400583,-4.4911179,-0.22661383,7.2880417,19.818375,28.085896,-6.2787835,0.00033977475,0.010535132,0.040698021,7.1491856,0.25886103,27.670745,0.10911689,0.53384121,1.9253932,0.094551605,7.3792811,20.363411,29.380857,-13.175242,0.16127995,-7.6182395e-05,-0.076618479,1.6775084,0.00099430837,-0.17978816,0.0017890745,0.19875475,0.00018788241,0.18895789,0.28961219,0.00099430837,0.12498452,0.0017890745,0.0014055353,0.43750629,0.057413938,19.581406,7.6202103,-7.9645376,-10.90963,0.32082244,-59.847496,-0.23726263,7.8142217,252.24156,27.787335,199.39521,6.8682873e-05,-8.0570283,-0.031790534,1.6775084,253.44111,-0.17978816,335.7052,0.59433322,49.290454,0.19774875,19.581406,249.25798,-7.9645376,336.35861,0.00055918749,-6.4536043,-0.025752031,1.6826832,250.60564,-0.18415831,185.08465,0.66731948,-23.134816,-0.094392613,19.502562,245.09138,-8.1580535,178.40733,0.10331234,-34.662832,-0.13831625,0.290509,250.60564,0.12572968,185.08465,0.0203719,-30.836854,-0.25553316,20.611268,120.67653,-13.86022,118.84918,1.12937e-05,-86.923023,-0.36798581,0.0010294693,236.21297,0.0018636333,175.32574,1.9386909e-12,-52.736083,-0.2232565,7.7031668,236.21297,-10.892079,175.32574,3.0133297e-05,4659.0832,267543.85,1.2060516,330.4019,1,7
0.20861126,0.11502184,6.9199433,1.8136666,28.502974,0.3621349,0.083095325,-6.5929525,-0.34530938,7.0186555,19.092886,28.857342,3.8755909,4.8524678e-08,0.028361823,0.14111741,6.9199433,0.20098033,28.502974,0.10326899,0.033189472,-5.6829317,-0.18216287,7.4509531,31.196982,29.229221,27.277841,0.0064956325,6.9340216e-05,0.071842357,2.3984056,0.00096517179,0.44576719,0.0018534212,0.22745933,0.00017698061,0.18336695,0.20372635,0.00096517179,0.10534085,0.0018534212,0.0019164942,-0.66954637,-0.092690868,17.911281,7.223434,2.2425896,-10.349408,0.10792759,-53.785572,-0.23277783,7.7558946,231.05969,27.894578,189.43146,0.00010673428,51.355442,0.20390709,2.3984056,251.85707,0.44576719,335.00144,0.00054512283,72.782278,0.29358356,17.911281,247.90992,2.2425896,335.59202,2.0392754e-07,14.252239,0.062965337,2.4110503,226.35056,0.44374916,167.89329,0.2928773,15.965141,0.072026502,17.754881,221.65648,2.0346471,161.37622,0.21429141,-12.680549,-0.056021727,0.20469107,226.35056,0.10565489,167.89329,0.3494564,32.199532,0.24638212,31.163354,130.6894,26.574609,115.391,2.2771682e-05,-76.80335,-0.35504539,0.00101518,216.31981,0.0018978999,164.86927,1.6555155e-11,-35.746887,-0.16525018,7.412374,216.31981,-10.558444,164.86927,0.002270555,4744.7499,267869.56,1.2054544,331.1707,1,8
