SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00068182526,-0.476598,9.7449272,0.0014306087,9.6767857,0.002859113,1.3703992e-06,-0.00012011739,-0.083962435,0.20269128,0.0014306087,0.50058821,0.002859113,0.42361365,-3.7406936,-0.67877366,15.884774,5.5109587,-0.13181321,-2.010476,7.6075356e-14,,,,,,,,173.02435,0.53813148,9.7449272,321.52802,9.6767857,612.78533,2.6505013e-08,102.04856,0.31738622,15.884774,321.52802,-0.13181321,612.78533,0.0019356472,88.995436,0.47662516,9.7449272,186.71997,9.6767857,423.18826,1.3682398e-06,19.196422,0.10280862,15.884774,186.71997,-0.13181321,423.18826,0.32676891,-9.0488502,-0.048462145,0.20269128,186.71997,0.50058821,423.18826,0.64458166,76.949647,0.41211257,20.33334,186.71997,18.775814,423.18826,4.0523072e-05,-63.094373,-0.33790908,0.0014306087,186.71997,0.002859113,423.18826,0.00092429194,-10.90073,-0.058380097,5.5109587,186.71997,-2.010476,423.18826,0.5783084,7147.7824,272736.51,1.2213972,612.78533,1,daily
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00063994955,-0.44411779,13.397584,0.0014409455,7.917768,0.0027686066,2.3185455e-05,-4.151258e-05,-0.028809264,0.47264856,0.0014409455,0.48837083,0.0027686066,0.79475664,-3.1867189,-0.53109546,19.478986,6.0002752,-3.3967835,-2.6686429,2.0220206e-07,,,,,,,,143.18532,0.3601774,13.397584,397.5411,7.917768,565.2766,0.0007645502,80.15782,0.20163404,19.478986,397.5411,-3.3967835,565.2766,0.065877524,57.145036,0.27447002,13.397584,208.20138,7.917768,373.24197,0.011517591,-17.757958,-0.085292221,19.478986,208.20138,-3.3967835,373.24197,0.44046383,13.809335,0.06632682,0.47264856,208.20138,0.48837083,373.24197,0.54887458,-103.34048,-0.49634869,18.273826,208.20138,-21.609732,373.24197,1.5739309e-06,-34.342845,-0.16495013,0.0014409455,208.20138,0.0027686066,373.24197,0.13376157,18.250132,0.087656157,6.0002752,208.20138,-2.6686429,373.24197,0.42785239,6921.5164,272051.99,1.227782,565.2766,1,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00060227645,-0.42305556,13.543944,0.0014236344,8.1439007,0.0026420081,0.00011391913,-6.6868611e-05,-0.046970353,0.47448338,0.0014236344,0.49052123,0.0026420081,0.68301016,-3.2392391,-0.55034299,19.358167,5.8858551,-3.6455882,-3.2262692,1.7914909e-07,,,,,,,,133.30997,0.32652486,13.543944,408.26896,8.1439007,601.0473,0.0035267559,64.714002,0.15850826,19.358167,408.26896,-3.6455882,601.0473,0.16572075,54.661651,0.26538492,13.543944,205.9712,8.1439007,379.4535,0.018861851,-13.294569,-0.064545767,19.358167,205.9712,-3.6455882,379.4535,0.5745009,0.60525442,0.002938539,0.47448338,205.9712,0.49052123,379.4535,0.97962941,-99.273273,-0.48197647,17.368389,205.9712,-22.352667,379.4535,7.8981169e-06,-36.544484,-0.17742521,0.0014236344,205.9712,0.0026420081,379.4535,0.12017593,16.801542,0.081572289,5.8858551,205.9712,-3.2262692,379.4535,0.4777165,6605.0201,271508.34,1.2256517,601.0473,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00060506505,-0.36307884,15.105087,0.0016664839,8.9215507,0.0027045066,0.0011728434,-0.00023753212,-0.1425349,0.46056947,0.0016664839,0.47294897,0.0027045066,0.21623329,-3.9667381,-0.6177274,22.282244,6.4215026,-4.6530527,-3.0125779,2.1696745e-09,,,,,,,,132.12845,0.32077627,15.105087,411.90221,8.9215507,598.25599,0.0044503778,49.472468,0.12010732,22.282244,411.90221,-4.6530527,598.25599,0.2981211,32.219177,0.15050601,15.105087,214.07235,8.9215507,395.14517,0.19136908,-36.768047,-0.17175523,22.282244,214.07235,-4.6530527,395.14517,0.13527541,28.214576,0.13179925,0.46056947,214.07235,0.47294897,395.14517,0.25320064,-80.686515,-0.37691235,17.911283,214.07235,-22.086403,395.14517,0.00072796215,-23.687993,-0.11065414,0.0016664839,214.07235,0.0027045066,395.14517,0.33803725,33.552463,0.15673422,6.4215026,214.07235,-3.0125779,395.14517,0.1734279,6761.2666,271648.12,1.2267613,598.25599,1,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00062861635,-0.37783898,13.138624,0.0016637149,8.129427,0.0028515765,0.00054960984,-0.00015560503,-0.093528658,0.4754942,0.0016637149,0.50518486,0.0028515765,0.40926332,-4.1085901,-0.6415038,21.736341,6.4046233,-5.0356451,-2.4273312,1.4427194e-10,,,,,,,,149.49764,0.37599939,13.138624,397.60076,8.129427,565.49457,0.0005878557,28.06956,0.070597351,21.736341,397.60076,-5.0356451,565.49457,0.53375704,50.246296,0.22794976,13.138624,220.42706,8.129427,377.28032,0.041990567,-38.848892,-0.17624376,21.736341,220.42706,-5.0356451,377.28032,0.1178573,-3.0789425,-0.013968079,0.4754942,220.42706,0.50518486,377.28032,0.9021277,-65.756729,-0.29831514,19.179275,220.42706,-20.293431,377.28032,0.0071943857,-28.199826,-0.12793269,0.0016637149,220.42706,0.0028515765,377.28032,0.25809295,31.299683,0.14199565,6.4046233,220.42706,-2.4273312,377.28032,0.20895776,7128.9411,272324.95,1.2268496,565.49457,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00045857643,-0.36341288,11.756849,0.0012618607,8.721016,0.0025362336,0.0017026836,9.8610509e-05,0.078146905,0.46563375,0.0012618607,0.46598378,0.0025362336,0.51408368,-3.1400358,-0.5256934,20.803686,5.9731314,-2.2171861,-3.6025625,2.1180505e-06,,,,,,,,188.79283,0.46248836,11.756849,408.21099,8.721016,566.5293,4.3114626e-05,66.032716,0.16176124,20.803686,408.21099,-2.2171861,566.5293,0.17461387,106.12491,0.44386008,11.756849,239.09542,8.721016,386.73466,9.4089175e-05,-22.249224,-0.093055833,20.803686,239.09542,-2.2171861,386.73466,0.43687867,22.854171,0.095585982,0.46563375,239.09542,0.46598378,386.73466,0.42445848,-84.792544,-0.35463892,17.710246,239.09542,-22.572069,386.73466,0.0022389806,-19.382602,-0.081066385,0.0012618607,239.09542,0.0025362336,386.73466,0.49843909,51.816154,0.21671746,5.9731314,239.09542,-3.6025625,386.73466,0.067471235,6340.5839,271056.81,1.2307743,566.5293,1,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00055776152,-0.38300365,11.810384,0.0014562825,8.2058622,0.0026027585,0.00038312672,-3.9507754e-05,-0.027129183,0.43675476,0.0014562825,0.46170071,0.0026027585,0.80882799,-3.0162517,-0.48516762,19.836163,6.216927,-3.0302348,-3.7050488,3.84596e-06,,,,,,,,146.93763,0.37571467,11.810384,391.08834,8.2058622,529.05636,0.0005044701,66.935681,0.17115233,19.836163,391.08834,-3.0302348,529.05636,0.12418919,94.314162,0.42815209,11.810384,220.28192,8.2058622,362.44365,6.0057287e-05,0.53201324,0.0024151471,19.836163,220.28192,-3.0302348,362.44365,0.98281939,7.9066606,0.035893371,0.43675476,220.28192,0.46170071,362.44365,0.74886094,-78.037224,-0.35426069,17.98379,220.28192,-19.772061,362.44365,0.0010934695,-44.885705,-0.20376482,0.0014562825,220.28192,0.0026027585,362.44365,0.066334408,15.61303,0.070877493,6.216927,220.28192,-3.7050488,362.44365,0.52688625,6506.8962,270984.82,1.2337371,529.05636,1,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0005046517,-0.3551664,12.833601,0.0014208881,8.4348691,0.0026664497,0.00085164688,5.0259889e-05,0.035372166,0.45417031,0.0014208881,0.4862315,0.0026664497,0.74791693,-2.9524128,-0.49573873,19.332275,5.9555822,-3.2933525,-3.4649118,1.4062644e-06,,,,,,,,180.0604,0.4933069,12.833601,365.00686,8.4348691,502.84533,1.6121628e-06,119.7295,0.32801986,19.332275,365.00686,-3.2933525,502.84533,0.0021789812,89.997179,0.4310465,12.833601,208.78764,8.4348691,345.29162,3.8175841e-05,25.296395,0.12115849,19.332275,208.78764,-3.2933525,345.29162,0.26934946,-9.2899195,-0.044494586,0.45417031,208.78764,0.4862315,345.29162,0.68595808,-76.119187,-0.36457708,17.413757,208.78764,-19.111924,345.29162,0.0006028333,-66.669457,-0.31931707,0.0014208881,208.78764,0.0026664497,345.29162,0.0028940938,-7.4241348,-0.035558307,5.9555822,208.78764,-3.4649118,345.29162,0.74663497,6666.1244,271239.28,1.2350906,502.84533,1,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00064307331,-0.41349941,12.56257,0.0015551977,7.9152919,0.0027333062,0.00011282031,-0.00011045317,-0.071021948,0.45075073,0.0015551977,0.48504612,0.0027333062,0.52604217,-3.2889098,-0.51788073,19.664867,6.3507089,-3.6511849,-3.3344207,6.2670048e-07,,,,,,,,170.99343,0.47662227,12.56257,358.76089,7.9152919,510.17526,5.9947024e-06,113.2798,0.31575291,19.664867,358.76089,-3.6511849,510.17526,0.0038562759,95.685916,0.47170254,12.56257,202.85224,7.9152919,346.50851,7.6987329e-06,24.94803,0.12298622,19.664867,202.85224,-3.6511849,346.50851,0.2709944,-8.3940894,-0.041380314,0.45075073,202.85224,0.48504612,346.50851,0.71203809,-92.984921,-0.45838746,18.265321,202.85224,-18.703707,346.50851,1.4866469e-05,-76.06281,-0.37496658,0.0015551977,202.85224,0.0027333062,346.50851,0.00051873218,-21.197586,-0.10449767,6.3507089,202.85224,-3.3344207,346.50851,0.35014873,6833.2656,271384.31,1.2338971,510.17526,1,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00046150732,-0.33031657,10.4253,0.0013971667,9.1178812,0.0026513475,0.0021501906,-0.00016654297,-0.1192005,0.43422626,0.0013971667,0.57692665,0.0026513475,0.28015248,-3.45071,-0.57381203,19.208188,6.0136592,-0.074197312,-3.4185476,1.1579313e-08,,,,,,,,189.68923,0.5396568,10.4253,351.49975,9.1178812,517.68816,1.1763191e-07,116.63672,0.3318259,19.208188,351.49975,-0.074197312,517.68816,0.0020455776,85.595633,0.41264427,10.4253,207.43202,9.1178812,362.32953,9.5956937e-05,21.02511,0.10135904,19.208188,207.43202,-0.074197312,362.32953,0.35892419,-26.824983,-0.1293194,0.43422626,207.43202,0.57692665,362.32953,0.24103527,-10.185366,-0.04910219,17.39728,207.43202,-0.065077381,362.32953,0.6573654,-73.320825,-0.35346918,0.0013971667,207.43202,0.0026513475,362.32953,0.00097302265,-14.721139,-0.070968496,6.0136592,207.43202,-3.4185476,362.32953,0.52119752,6628.3688,271242.99,1.2342961,517.68816,1,8
