SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
3.2501265,0.45713104,4.5033039,7.1098355,9.7433013,9.5485087,2.9118907e-26,0.49645662,0.036766289,4.5033039,13.503039,9.7433013,31.746614,0.42061086,0.042161124,0.36758627,4.5033039,0.11469722,9.7433013,0.15986919,7.237545e-17,4.247465,0.16039135,4.4881607,26.481883,9.7028539,31.451843,0.00042507624,0.00067591755,0.50718075,7.1066002,0.0013326956,9.5374677,0.0029975732,6.2096467e-33,0.00083563607,0.62702697,0.11471916,0.0013326956,0.15961048,0.0029975732,3.8979676e-54,0.06778067,0.017871495,13.489105,3.7926693,31.748739,8.683322,0.69522069,-251.29081,-0.292726,4.5033039,858.45059,9.7433013,1926.816,5.5988666e-11,59.388602,0.28290223,7.1066002,209.92624,9.5374677,406.20218,2.4342772e-10,-20.276275,-0.096587616,13.489105,209.92624,31.748739,406.20218,0.033821362,-513.33225,-0.59734487,7.1066002,859.35659,9.5374677,1924.2886,4.8600429e-48,247.06918,0.28750484,13.489105,859.35659,31.748739,1924.2886,1.2055564e-10,-529.95823,-0.61669188,0.11471916,859.35659,0.15961048,1924.2886,6.1273791e-52,-93.028754,-0.1081242,26.456643,860.38791,31.468165,1922.7729,0.017804596,-697.20967,-0.81131591,0.0013326956,859.35659,0.0029975732,1924.2886,3.257824e-114,493.52196,0.57429241,3.7926693,859.35659,8.683322,1924.2886,1.0000696e-43,7493.9329,296677,1.0371611,416.32886,1,daily
0.35059098,0.096563599,4.5329383,3.6306743,9.493056,1.2468332,0.037590309,1.1301771,0.083360813,4.528112,13.557655,9.4941462,-11.177267,0.072515291,0.025122302,0.094450859,4.5329383,0.26598278,9.493056,0.10753706,0.04199254,2.2858603,0.089360707,4.5121816,25.58015,9.5233114,-79.315375,0.052361865,0.00027071775,0.18785774,3.620412,0.0014410784,1.2398313,0.0030575283,4.4041276e-05,0.00019765134,0.13715516,0.26539557,0.0014410784,0.10752418,0.0030575283,0.0029774887,-0.13955038,-0.034570515,13.574912,4.0366879,-11.232294,6.6074776,0.45560844,-276.4626,-0.30552286,4.5446244,904.88351,9.6067008,1622.667,8.7246242e-12,58.810265,0.30651948,3.620412,191.86469,1.2398313,88.185573,1.2893908e-11,-39.828084,-0.20464999,13.574912,194.61562,-11.232294,89.747683,8.0919822e-06,-124.67973,-0.13749144,3.620412,906.81813,1.2398313,1627.2163,0.0029070021,-0.39239148,-0.0004317673,13.574912,908.80315,-11.232294,1623.8305,0.99256735,-120.88685,-0.13330881,0.26539557,906.81813,0.10752418,1627.2163,0.0039017388,-302.22386,-0.33297438,25.660764,907.649,-79.224657,1618.121,9.2232321e-14,-720.88355,-0.79604723,0.0014331067,905.57887,0.0030592011,1618.4419,1.5904893e-106,514.71743,0.56838498,4.0279474,905.57887,6.5717214,1618.4419,1.6655975e-42,7648.0028,294415.66,1.0654132,93.379279,1,0
0.57391962,0.13540734,4.5548455,4.2384675,9.4789674,1.4058475,0.0034039185,0.41015376,0.026344835,4.5521057,15.568659,9.4989117,-12.418118,0.56928096,0.021430801,0.078558462,4.5548455,0.27280067,9.4789674,0.10748781,0.090282725,1.7145615,0.067841049,4.5092943,25.273216,9.4618821,-78.861655,0.14195901,0.00027739571,0.19512039,4.231194,0.0014216644,1.3992504,0.003032982,2.1306949e-05,0.00024890744,0.17508172,0.27312522,0.0014216644,0.10826107,0.003032982,0.0001407127,-0.028241449,-0.007009494,15.599034,4.0290281,-12.453647,6.3510435,0.87940665,-270.73436,-0.30141292,4.5430526,898.21748,9.5463962,1596.9349,1.8733373e-11,61.850268,0.32704471,4.231194,189.11869,1.3992504,83.243737,3.9682384e-13,-34.289021,-0.17793451,15.599034,192.70585,-12.453647,85.554906,0.00010343359,-115.94233,-0.12981929,4.231194,893.10562,1.3992504,1607.072,0.0049108783,-30.474626,-0.033937937,15.599034,897.95161,-12.453647,1597.7411,0.46246506,-167.71039,-0.18778338,0.27312522,893.10562,0.10826107,1607.072,4.3523182e-05,-289.81417,-0.3216261,25.320708,901.09034,-78.763718,1590.7623,8.0619003e-13,-715.65604,-0.79519938,0.0014439572,899.97057,0.0030576234,1591.816,1.7280958e-105,494.79782,0.54979333,4.0113149,899.97057,6.3311203,1591.816,4.1479741e-39,7644.0584,294172.71,1.0661986,87.225402,1,1
0.24852522,0.062194948,4.539122,3.9959069,9.45119,1.2337531,0.17921209,-0.10614096,-0.0077849464,4.5343408,13.634129,9.4523601,-11.621673,0.86646793,0.012583499,0.048801716,4.539122,0.25784951,9.45119,0.11050639,0.29209033,2.5642827,0.099388614,4.4857192,25.800568,9.3924668,-77.991533,0.03139835,0.00019437292,0.13471846,3.9889265,0.0014428084,1.2279403,0.0030542389,0.0034313046,0.00018507739,0.1282758,0.25763708,0.0014428084,0.11083199,0.0030542389,0.0053517471,0.16553352,0.04077937,13.686765,4.0592466,-11.666689,6.1117558,0.37721931,-277.08701,-0.30439996,4.5214301,910.2728,9.4780356,1571.9152,1.2161703e-11,72.98868,0.40813006,3.9889265,178.83681,1.2279403,79.200035,2.7204317e-20,-47.509562,-0.26075112,13.686765,182.20272,-11.666689,80.850662,9.2696153e-09,-106.58436,-0.11730759,3.9889265,908.58877,1.2279403,1569.9037,0.010921858,25.694824,0.028229291,13.686765,910.21854,-11.666689,1566.7378,0.5411062,-109.21222,-0.12019983,0.25763708,908.58877,0.11083199,1569.9037,0.0090968062,-303.66066,-0.33301146,25.888356,911.86249,-78.003574,1567.5093,1.0962068e-13,-719.59823,-0.78977336,0.0014391432,911.14523,0.0030469867,1567.7639,4.2704749e-103,506.97309,0.55641304,4.0690848,911.14523,6.081886,1567.7639,3.3279118e-40,7617.4668,293910.84,1.0670258,83.018329,1,2
0.39240267,0.077537558,4.5356702,5.0608077,9.3510108,1.3801262,0.096355227,0.074234737,0.0057607527,4.5358263,12.886291,9.3764569,-11.475831,0.90150789,0.026426808,0.095064399,4.5356702,0.27798849,9.3510108,0.11332215,0.04133038,2.6190134,0.10079162,4.5082442,25.984436,9.3396043,-77.224392,0.029769555,0.00029740822,0.20783018,5.0472791,0.0014310156,1.3680219,0.0030368115,6.3584355e-06,0.00035034637,0.24482358,0.27715638,0.0014310156,0.1129474,0.0030368115,9.2471371e-08,0.18082716,0.044075898,12.902007,4.1026313,-11.547529,5.8714272,0.34191032,-273.43383,-0.30221757,4.5403411,904.75821,9.4233885,1542.5262,2.1023601e-11,54.754682,0.33813646,5.0472791,161.93072,1.3680219,73.397659,7.1191436e-14,-28.643097,-0.17604962,12.902007,162.699,-11.547529,74.488765,0.00013120935,-111.46009,-0.12385143,5.0472791,899.94996,1.3680219,1549.8866,0.0075640043,19.019327,0.021045865,12.902007,903.70847,-11.547529,1541.1666,0.65009056,-173.36895,-0.19264287,0.27715638,899.94996,0.1129474,1549.8866,2.9452826e-05,-312.50215,-0.34467889,25.99414,906.6472,-77.203516,1537.9735,1.6804222e-14,-709.315,-0.78344377,0.0014321481,905.38087,0.0030441797,1538.3135,1.4523194e-99,498.50046,0.55059752,4.095781,905.38087,5.839866,1538.3135,6.3325231e-39,7610.4493,293664.28,1.0677877,76.386543,1,3
0.10135876,0.026501147,4.5268118,3.8246934,9.2790159,1.1373742,0.57159854,1.3685299,0.10702382,4.5368437,12.787153,9.3330373,-10.79185,0.021123414,0.022410777,0.082876692,4.5268118,0.2704111,9.2790159,0.11581388,0.076420949,3.1886168,0.12010372,4.5365257,26.548859,9.3155135,-76.007546,0.0094557954,0.00025166417,0.17614326,3.8169207,0.0014287471,1.1247632,0.0030254266,0.00014385081,0.00040049819,0.28031426,0.27072552,0.0014287471,0.11671527,0.0030254266,9.0402414e-10,-0.012268553,-0.0030228257,12.8325,4.0586373,-10.832852,5.5812066,0.94805545,-282.66956,-0.31707774,4.5728622,891.48346,9.4026044,1512.7908,1.7480266e-12,51.32063,0.35103447,3.8169207,146.19826,1.1247632,66.534083,8.1619422e-15,-13.843242,-0.091255756,12.8325,151.6972,-10.832852,70.46229,0.048737321,-72.118247,-0.082000876,3.8169207,879.48142,1.1247632,1525.0183,0.078608674,-55.650791,-0.062684169,12.8325,887.79658,-10.832852,1507.218,0.17627418,-216.91633,-0.24664118,0.27072552,879.48142,0.11671527,1525.0183,8.1252117e-08,-303.44275,-0.33958131,26.515066,893.57907,-76.027557,1508.2901,4.0213218e-14,-701.40873,-0.7865367,0.0014312697,891.76859,0.0030367981,1508.3749,4.5057151e-101,473.22176,0.53065533,4.0430042,891.76859,5.5627905,1508.3749,7.3876135e-36,7591.9951,293386.5,1.0684909,72.948443,1,4
0.41428239,0.11212245,4.5595583,3.6949103,9.2795744,1.2569406,0.016136824,1.2587016,0.097494607,4.5565446,12.910474,9.2743071,-9.8726167,0.035979292,0.021904861,0.076856621,4.5595583,0.28500942,9.2795744,0.11739889,0.099693406,3.8857715,0.14406204,4.5342831,26.972903,9.2604391,-74.774109,0.0018429867,0.0002208111,0.1544744,3.6850582,0.0014294348,1.2485562,0.0030219885,0.00085315733,0.00027785016,0.19437763,0.28419337,0.0014294348,0.11680294,0.0030219885,2.5375166e-05,0.10094288,0.025263994,12.875235,3.9955236,-9.8972997,5.4015011,0.58644368,-265.78186,-0.30243822,4.5673135,878.79719,9.3452319,1495.7685,2.0297802e-11,33.596229,0.22911219,3.6850582,146.63659,1.2485562,64.942107,6.260103e-07,-20.012876,-0.13154361,12.875235,152.13872,-9.8972997,67.630327,0.0044498054,-101.74703,-0.11644263,3.6850582,873.79537,1.2485562,1498.6692,0.012165456,-16.468483,-0.018760543,12.875235,877.82546,-9.8972997,1489.8683,0.68626247,-137.19127,-0.15700618,0.28419337,873.79537,0.11680294,1498.6692,0.00069819381,-320.37704,-0.36382732,27.027606,880.57444,-74.670555,1490.0376,4.2919086e-16,-693.59293,-0.78903457,0.0014329887,879.03998,0.0030279938,1491.212,6.2947419e-102,449.37205,0.51120775,3.9811551,879.03998,5.3839673,1491.212,6.4184623e-33,7569.9846,293191.23,1.0690401,72.60694,1,5
0.41522765,0.12705939,4.5817185,3.2679808,9.193969,1.0571495,0.0068965239,0.80720959,0.05836068,4.5752804,13.831395,9.2171179,-10.14566,0.21253585,0.032702653,0.13282386,4.5817185,0.24621067,9.193969,0.10120431,0.0047214342,3.9638145,0.14864393,4.5369031,26.666507,9.2068455,-74.670759,0.0012906148,0.00021648035,0.15337932,3.2588618,0.0014114051,1.0508875,0.0030127981,0.0010435838,0.00034332289,0.243249,0.24596484,0.0014114051,0.10147763,0.0030127981,1.540011e-07,-0.076801655,-0.01931877,13.795709,3.9754941,-10.147422,5.3362505,0.67909084,-260.31954,-0.29780627,4.5721823,874.12377,9.2931992,1486.2785,4.0219597e-11,41.792918,0.27724774,3.2588618,150.74214,1.0508875,64.084921,1.8631456e-09,-27.127408,-0.17163696,13.795709,158.05108,-10.147422,68.631688,0.0002133088,-94.602858,-0.10981398,3.2588618,861.48286,1.0508875,1491.7332,0.019259565,4.6415387,0.00533483,13.795709,870.04435,-10.147422,1476.6852,0.9090527,-196.77208,-0.22841091,0.24596484,861.48286,0.10147763,1491.7332,8.7180455e-07,-317.34857,-0.36233766,26.812672,875.83655,-74.512588,1479.7371,5.3634719e-16,-688.28405,-0.78721774,0.0014250308,874.32487,0.0030148761,1481.6513,2.3137852e-101,441.7997,0.50530383,3.9777904,874.32487,5.2557084,1481.6513,3.778178e-32,7537.1903,293029.83,1.0696766,72.779128,1,6
0.73915702,0.14194435,4.5035567,5.2073717,9.184492,2.060804,0.0024608526,-0.13937161,-0.010045315,4.5196469,13.874289,9.248551,-10.260359,0.83005402,0.041917027,0.1305414,4.48771,0.32110141,9.2048117,0.14586095,0.00544315,3.829695,0.15637972,4.5174685,24.489716,9.188545,-58.390305,0.00072418561,0.00031038665,0.22019933,5.1841254,0.0014095712,2.0375279,0.0030060355,1.8555282e-06,0.00028236409,0.20039102,0.32171576,0.0014090655,0.14767107,0.0030095713,1.5220015e-05,-0.09003565,-0.02297336,13.939516,3.9191328,-10.341394,5.4206416,0.6208401,-257.36709,-0.29755403,4.5507218,864.94237,9.2733721,1498.848,4.5999915e-11,60.740595,0.39913291,5.1841254,152.18137,2.0375279,63.940675,5.0964471e-19,-28.61391,-0.18650457,13.939516,153.42203,-10.341394,66.532679,5.1028788e-05,-151.71425,-0.17803594,5.1841254,852.15516,2.0375279,1505.8905,0.00012365358,-21.89446,-0.02545047,13.939516,860.27725,-10.341394,1487.3371,0.58368272,-158.49406,-0.18581278,0.32171576,852.97718,0.14767107,1505.259,6.2022317e-05,-316.28028,-0.36586702,24.582481,864.46787,-58.298682,1489.936,2.2992607e-16,-681.26,-0.78945211,0.0014211281,862.95293,0.003019295,1491.2568,9.6016984e-103,432.13642,0.50076476,3.9234972,862.95293,5.3753941,1491.2568,1.2100201e-31,7548.2375,293121.74,1.0700792,70.28016,1,7
3.8111878,0.3578445,4.5199233,10.650402,9.245106,11.663446,3.6723565e-15,-0.13882449,-0.0086330826,4.5506756,16.080524,9.2890198,12.033708,0.85333856,0.093708336,0.26148154,4.5199233,0.35837458,9.245106,0.46863152,1.560483e-08,-0.69290027,-0.026315453,4.4993895,26.330547,9.1755886,41.450422,0.57178733,0.00057311965,0.39300129,10.607683,0.0014583149,11.526555,0.0031123086,1.4999371e-18,0.00040928513,0.28065621,0.3567917,0.0014583149,0.46506554,0.0031123086,7.9139591e-10,-0.095807396,-0.024478065,15.969153,3.9140103,12.020515,7.116367,0.59657098,-272.04888,-0.3011745,4.5454708,903.29321,9.2791361,1652.1299,2.4811959e-11,38.023699,0.23844506,10.607683,159.46524,11.526555,69.616534,2.0812397e-07,-27.181538,-0.15673663,15.969153,173.42173,12.020515,76.490432,0.00064958166,-339.2923,-0.38280154,10.607683,886.33997,11.526555,1667.884,1.3171935e-17,85.827778,0.095838918,15.969153,895.54202,12.020515,1648.2145,0.037802612,-255.57595,-0.2883498,0.3567917,886.33997,0.46506554,1667.884,2.5726314e-10,-140.95063,-0.1567089,26.123575,899.44241,41.324188,1645.8178,0.0006254507,-727.36308,-0.8078515,0.0014720409,900.36731,0.0031267901,1645.9267,8.0413526e-112,492.67266,0.54719074,3.9082521,900.36731,7.0619323,1645.9267,7.7002834e-39,7816.9752,294877.15,1.0662859,80.607574,1,8
