SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
2.3585642,0.38445299,14.151136,6.1348571,39.833193,8.423714,0.00019947662,-0.35014262,-0.02415411,14.179113,14.496192,40.01706,19.214234,0.8212202,0.043621146,0.32279134,14.151136,0.13513729,39.833193,0.20487079,0.002034214,1.2984675,0.082110916,14.16788,15.813579,39.871978,32.679968,0.43906798,-9.3592769e-05,-0.080462806,6.1348571,0.0011631805,8.423714,0.002629484,0.45351354,0.0001876584,0.16133214,0.13513729,0.0011631805,0.20487079,0.002629484,0.130941,-2.8096445,-0.47465861,14.496192,5.9192954,19.214234,-0.046412037,2.2838538e-06,-214.44043,-0.48155804,14.16788,445.30547,39.871978,810.96758,1.3486918e-06,36.588253,0.20639817,6.1348571,177.27024,8.423714,402.83204,0.052309221,-14.190577,-0.080322088,14.496192,176.67092,19.214234,404.08354,0.45170971,9.2195879,0.021103008,6.1348571,436.88502,8.423714,826.97492,0.84438097,9.4768082,0.021407194,14.496192,442.69269,19.214234,817.99787,0.84126898,-191.16161,-0.43755589,0.13513729,436.88502,0.20487079,826.97492,1.8046433e-05,116.79922,0.26229011,15.813579,445.30547,32.679968,810.96758,0.012017211,-117.86456,-0.26468249,0.001188946,445.30547,0.0026655297,810.96758,0.011232007,168.11379,0.37752465,5.8898572,445.30547,-0.067811355,810.96758,0.00022507549,6663.8242,276719.66,1.2037734,,1,daily
0.660695,0.12310844,14.042541,5.3667728,41.060897,1.7724359,0.2829118,5.1155789,0.26978102,14.382901,18.961967,40.171512,-17.12907,0.012004923,0.014284877,0.069360434,14.042541,0.20595138,41.060897,0.086252841,0.54623459,4.3038309,0.21632879,14.401938,19.89486,40.107143,-34.815934,0.039439323,-0.00057400745,-0.39653576,5.3667728,0.0014475553,1.7724359,0.0026632413,0.00032551171,9.4145918e-05,0.065037873,0.20595138,0.0014475553,0.086252841,0.0026632413,0.57158094,-2.8678116,-0.43974801,18.961967,6.5214886,-17.12907,-2.0598837,2.2720935e-05,-208.57711,-0.4687932,14.401938,444.92349,40.107143,572.65448,2.776219e-06,44.810089,0.19695175,5.3667728,227.5181,1.7724359,308.63737,0.083930912,-89.444306,-0.39468827,18.961967,226.62013,-17.12907,288.05002,0.00016957029,139.48241,0.31376487,5.3667728,444.5444,1.7724359,609.85361,0.0051520258,-179.70892,-0.40433368,18.961967,444.45695,-17.12907,597.97909,0.00011292391,-69.276852,-0.15583787,0.20595138,444.5444,0.086252841,609.85361,0.17305844,-131.68163,-0.29596466,19.89486,444.92349,-34.815934,572.65448,0.0043939281,-144.43344,-0.32462533,0.0014549618,444.92349,0.0026831112,572.65448,0.0016929169,114.75893,0.25792958,6.3576722,444.92349,-2.0076923,572.65448,0.013571964,6707.778,274748.5,1.218663,,1,0
1.2101872,0.20788869,13.922577,5.8213228,40.657595,1.7607595,0.065996953,3.7514432,0.20551402,14.410379,18.253953,39.86954,-16.566667,0.056182271,0.070286596,0.25749325,13.922577,0.27296481,40.657595,0.14216213,0.021966427,4.6166174,0.23085816,14.395447,19.997636,40.023077,-34.459341,0.027691152,-0.00066944156,-0.45048728,5.8213228,0.0014860387,1.7607595,0.0026864673,3.1015748e-05,0.00014981958,0.10081809,0.27296481,0.0014860387,0.14216213,0.0026864673,0.37666212,-2.9996116,-0.46139117,18.253953,6.5012332,-16.566667,-2.3224138,6.8664528e-06,-194.37612,-0.45710494,14.395447,425.23303,40.023077,541.65635,5.2442943e-06,56.063926,0.24526893,5.8213228,228.58145,1.7607595,315.56044,0.02935802,-95.820439,-0.41565325,18.253953,230.52975,-16.566667,291.92111,6.238416e-05,112.80565,0.25886203,5.8213228,435.77518,1.7607595,582.26504,0.021247487,-173.29329,-0.40429045,18.253953,428.63562,-16.566667,556.7693,0.00010292397,-79.837049,-0.18320697,0.27296481,435.77518,0.14216213,582.26504,0.10606512,-150.83226,-0.35470495,19.997636,425.23303,-34.459341,541.65635,0.00056103748,-136.21887,-0.32033935,0.0014777826,425.23303,0.0026718789,541.65635,0.0019640975,99.190616,0.23326179,6.3599936,425.23303,-2.3379121,541.65635,0.026067317,6679.6973,274429.2,1.2189517,,1,1
1.5639562,0.24893858,13.700209,6.2824982,40.555769,2.3333333,0.0279638,4.1851171,0.22367279,14.303543,18.710891,39.836047,-16.27907,0.038432648,0.061001706,0.17507565,13.635966,0.34843056,40.787013,0.18220213,0.12777284,4.4913038,0.22337246,14.414058,20.106793,39.924176,-34.102198,0.033307934,-0.00035500074,-0.23816357,6.2824982,0.0014905753,2.3333333,0.0026507966,0.035749905,0.0001625529,0.10862081,0.34843056,0.0014965171,0.18220213,0.0026628522,0.34704327,-3.3964047,-0.51578584,18.710891,6.5849127,-16.27907,-2.5697674,3.7275313e-07,-180.7936,-0.44382061,14.414058,407.35739,39.924176,511.72687,1.0508418e-05,35.839797,0.15393213,6.2824982,232.82857,2.3333333,322.69592,0.17843871,-95.167901,-0.40667495,18.710891,234.01466,-16.27907,299.13522,0.00010211957,68.058338,0.16293773,6.2824982,417.69538,2.3333333,535.22561,0.15405937,-173.44516,-0.42281413,18.710891,410.21609,-16.27907,531.27444,5.0013739e-05,-68.278501,-0.1632215,0.34843056,418.31807,0.18220213,539.965,0.15608344,-148.55474,-0.36467914,20.106793,407.35739,-34.102198,511.72687,0.00037950139,-117.06037,-0.28736528,0.0014978987,407.35739,0.002667761,511.72687,0.005746512,96.046324,0.23577902,6.4717865,407.35739,-2.6241758,511.72687,0.024454195,6669.4025,274133.2,1.2191751,,1,2
1.0745002,0.15639394,14.062363,6.8704725,40.244375,2.88,0.16594378,2.9680917,0.15126988,14.5095,19.621167,39.59593,-16.350581,0.16443581,0.03849994,0.099905322,14.062363,0.38536425,40.244375,0.20817574,0.37792529,3.5417507,0.1799182,14.414569,19.685339,39.826374,-34.323077,0.087907572,-3.9830341e-05,-0.027036276,6.8704725,0.0014732185,2.88,0.0026591643,0.81183657,-5.6498787e-05,-0.038350582,0.38536425,0.0014732185,0.20817574,0.0026591643,0.73555632,-3.6311583,-0.54477158,19.621167,6.6654694,-16.350581,-2.7087209,5.8745405e-08,-171.81669,-0.4313857,14.414569,398.29019,39.826374,497.05289,1.9627661e-05,35.522591,0.15104775,6.8704725,235.17457,2.88,318.88333,0.18108,-90.565356,-0.38617899,19.621167,234.51653,-16.350581,302.98926,0.00024026661,51.042568,0.12791842,6.8704725,399.02438,2.88,518.61221,0.25814649,-169.51495,-0.42188294,19.621167,401.80566,-16.350581,515.63397,5.2168504e-05,-23.195105,-0.058129544,0.38536425,399.02438,0.20817574,518.61221,0.60852714,-161.08039,-0.40442971,19.685339,398.29019,-34.323077,497.05289,7.0102394e-05,-107.55386,-0.27003894,0.0014695885,398.29019,0.0026544601,497.05289,0.0096344874,93.910615,0.23578441,6.517418,398.29019,-2.8082418,497.05289,0.024450834,6636.1503,273954.52,1.2189117,,1,3
1.5324499,0.25699109,14.215298,5.9630468,39.766883,3.3006494,0.02405551,1.3914476,0.070267343,14.381042,19.802195,39.559412,-16.945882,0.52280248,0.016523057,0.043375381,14.215298,0.38093169,39.766883,0.19565243,0.70798157,2.6570471,0.13956207,14.422188,19.038462,39.726923,-33.408791,0.18703528,0.00016640279,0.11614171,5.9630468,0.0014327565,3.3006494,0.0025529897,0.31447378,-0.00030828596,-0.21516982,0.38093169,0.0014327565,0.19565243,0.0025529897,0.060203226,-3.502605,-0.53325657,19.802195,6.5683297,-16.945882,-3.0117647,1.4855153e-07,-140.14903,-0.37605956,14.422188,372.67776,39.726923,482.57109,0.00023915669,35.637134,0.15347083,5.9630468,232.20787,3.3006494,324.90423,0.18266847,-91.453459,-0.39794378,19.802195,229.81502,-16.945882,310.10388,0.00016223006,62.358037,0.1631461,5.9630468,382.22204,3.3006494,527.41246,0.15627731,-145.45205,-0.3882065,19.802195,374.67701,-16.945882,505.12942,0.00024143407,22.629413,0.059204886,0.38093169,382.22204,0.19565243,527.41246,0.60902037,-144.95039,-0.38894296,19.038462,372.67776,-33.408791,482.57109,0.00013887855,-96.944263,-0.26012892,0.0014273281,372.67776,0.0026345146,482.57109,0.012767227,85.184138,0.22857317,6.4847424,372.67776,-2.9923077,482.57109,0.029313552,6586.2865,273781.22,1.2184357,,1,4
2.2028564,0.29635166,14.302976,7.4332515,39.751205,3.4301205,0.0065214129,-0.41902847,-0.021258589,14.340189,19.711019,39.354598,-15.763793,0.84504771,0.026777399,0.065402136,14.302976,0.40942698,39.751205,0.25968997,0.55691162,2.4179845,0.12691667,14.412425,19.051749,39.62967,-32.904396,0.2305956,1.4258115e-05,0.010526334,7.4332515,0.0013545186,3.4301205,0.0025508685,0.92475354,0.00011822552,0.087282314,0.40942698,0.0013545186,0.25968997,0.0025508685,0.43267678,-3.2367099,-0.50420537,19.711019,6.4194277,-15.763793,-3.3614943,6.3918558e-07,-113.0603,-0.32027716,14.412425,353.0077,39.62967,464.29039,0.0019683055,58.328822,0.25651783,7.4332515,227.38701,3.4301205,321.83172,0.019239331,-87.098701,-0.37967956,19.711019,229.40055,-15.763793,309.27741,0.00028672691,99.125049,0.27520876,7.4332515,360.18129,3.4301205,486.21545,0.011799839,-171.9129,-0.48543936,19.711019,354.13877,-15.763793,478.07765,1.8826769e-06,-70.263525,-0.19507822,0.40942698,360.18129,0.25968997,486.21545,0.077175366,-158.10354,-0.44787563,19.051749,353.0077,-32.904396,464.29039,8.5257638e-06,-92.13624,-0.26100349,0.0013830871,353.0077,0.0025975976,464.29039,0.012458949,75.789176,0.21469553,6.3973123,353.0077,-3.2840659,464.29039,0.040988187,6493.994,273481.5,1.2185597,,1,5
1.0474346,0.16590798,14.212598,6.3133464,39.421519,3.314557,0.14394241,0.82482902,0.041337093,14.384019,19.953726,39.564535,-17.162209,0.70550746,0.082397864,0.24277958,14.212598,0.33939372,39.421519,0.19972383,0.031095903,1.1148562,0.058736678,14.377954,18.98058,39.50989,-33.185165,0.58023305,-7.1172884e-05,-0.056253434,6.3133464,0.0012652185,3.314557,0.0024404617,0.62242798,-0.00015658049,-0.12375767,0.33939372,0.0012652185,0.19972383,0.0024404617,0.27719899,-3.0590608,-0.47608541,19.953726,6.4254453,-17.162209,-3.3819767,3.6027247e-06,-98.421283,-0.28034409,14.377954,351.07314,39.50989,465.20723,0.0071122274,73.997142,0.32839101,6.3133464,225.33243,3.314557,333.99777,0.0031298495,-77.233859,-0.3442024,19.953726,224.38501,-17.162209,320.48244,0.0011742749,122.32912,0.34133059,6.3133464,358.38897,3.314557,503.61515,0.0020806331,-162.47173,-0.45799431,19.953726,354.74618,-17.162209,480.53506,9.2518652e-06,-66.169422,-0.18463018,0.33939372,358.38897,0.19972383,503.61515,0.10333221,-161.83181,-0.46096323,18.98058,351.07314,-33.185165,465.20723,4.2621153e-06,-83.243778,-0.23711235,0.0013048713,351.07314,0.0025274999,465.20723,0.023634754,83.436614,0.23766162,6.3341163,351.07314,-3.5681319,465.20723,0.023304057,6318.7499,273171.98,1.2190345,,1,6
1.3982235,0.21487566,14.271085,6.5071284,39.614458,4.1048193,0.051083975,2.1347164,0.10702404,14.235255,19.94614,39.6375,-14.732955,0.32096661,0.062542838,0.16356106,14.271085,0.38238219,39.614458,0.23782021,0.13954612,2.1791527,0.1152348,14.367471,18.910544,39.436264,-28.63022,0.2767267,-8.7849286e-05,-0.073139089,6.5071284,0.0012011263,4.1048193,0.0024106711,0.51111379,-0.00011531543,-0.096006077,0.38238219,0.0012011263,0.23782021,0.0024106711,0.38792364,-3.2197989,-0.52094019,19.94614,6.1807459,-14.732955,-3.7681818,1.9581074e-07,-87.538506,-0.25839628,14.367471,338.77618,39.436264,460.94529,0.013397608,60.454274,0.25559678,6.5071284,236.52205,4.1048193,339.12303,0.019692034,-73.572721,-0.31239008,19.94614,235.51554,-14.732955,330.29254,0.0030454474,117.7747,0.34476805,6.5071284,341.60562,4.1048193,485.76044,0.0014138123,-164.4597,-0.48289891,19.94614,340.56755,-14.732955,470.35325,1.8886478e-06,-17.480378,-0.051171225,0.38238219,341.60562,0.23782021,485.76044,0.64593035,-140.65353,-0.41518128,18.910544,338.77618,-28.63022,460.94529,4.2741722e-05,-76.620203,-0.22616762,0.0012406243,338.77618,0.0024669426,460.94529,0.0311077,83.986841,0.24791247,6.1075743,338.77618,-3.8120879,460.94529,0.017819062,6167.3565,272892.05,1.2196615,,1,7
1.4237407,0.1897965,14.223299,7.5014067,39.35814,9.1755814,0.080068005,-1.0852875,-0.055799987,14.259388,19.449601,39.604444,5.3316667,0.60141085,-0.000440425,-0.0011800395,14.223299,0.37322902,39.35814,0.40688564,0.99139649,2.237439,0.13832517,14.304313,16.175212,39.407143,18.457692,0.1910115,-4.6755006e-05,-0.043162703,7.5014067,0.001083227,9.1755814,0.0024315435,0.69313723,-0.00021223163,-0.19592534,0.37322902,0.001083227,0.40688564,0.0024315435,0.070619726,-4.009687,-0.68544597,19.449601,5.8497491,5.3316667,-2.9644444,9.1463432e-14,-86.715055,-0.24326053,14.304313,356.46989,39.407143,505.91613,0.020152449,34.321255,0.1472632,7.5014067,233.06064,9.1755814,328.36779,0.17603366,-36.349158,-0.15746284,19.449601,230.84277,5.3316667,327.83617,0.13828553,68.552467,0.19502951,7.5014067,351.49792,9.1755814,530.13815,0.071941882,-78.933939,-0.22129184,19.449601,356.69611,5.3316667,509.62588,0.036075541,4.4368705,0.01262275,0.37322902,351.49792,0.40688564,530.13815,0.90816753,-122.125,-0.34259556,16.175212,356.46989,18.457692,505.91613,0.00088679969,-97.741481,-0.27419281,0.0012313603,356.46989,0.0025475306,505.91613,0.0085363534,80.129706,0.22478674,5.8182298,356.46989,-2.9527473,505.91613,0.032178845,6368.8266,273730.47,1.2178891,,1,8
