SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
1.0756229,0.11058839,6.2433225,9.7263638,31.672069,7.162195,0.051749233,-0.23632263,-0.0075406809,6.2433225,31.339694,31.672069,-6.1143813,0.89480006,0.018780997,0.12246,6.2433225,0.15336434,31.672069,0.29535883,0.031119628,-0.98191493,-0.065734761,7.3872149,14.93753,32.191816,19.714782,0.22059546,-4.8163734e-05,-0.045053231,12.344771,0.0010690406,7.1988376,0.0042670779,0.38687546,0.00016146628,0.15103849,0.16644729,0.0010690406,0.32100488,0.0042670779,0.0035439519,-0.85027048,-0.267568,30.709286,3.1777734,-6.924984,1.7924751,1.6765692e-07,-5.3921365,-0.35030911,7.2729308,15.39251,31.896263,13.08854,2.0610635e-12,9.1918093,0.04697962,12.344771,195.65525,7.1988376,272.24203,0.36687833,-100.80578,-0.51522146,30.709286,195.65525,-6.924984,272.24203,1.5260012e-26,2.2410241,0.15300725,12.344771,14.646522,7.1988376,12.137278,0.0031307586,-1.1982458,-0.081810945,30.709286,14.646522,-6.924984,12.137278,0.11569322,-2.8562897,-0.19501488,0.16644729,14.646522,0.32100488,12.137278,0.00015687249,-2.7492507,-0.19394018,14.948999,14.175766,19.05249,11.853385,0.00011602561,-7.2418254,-0.49103266,0.0010703641,14.748154,0.0041732019,12.094955,3.3478982e-28,-3.5497414,-0.24069056,3.2809249,14.748154,1.4592285,12.094955,3.033064e-07,10433.005,278057.16,1.2148141,275.71839,1,daily
1.1804449,0.057678842,6.5999205,20.465822,31.911393,4.1613668,0.32851744,-0.065171761,-0.0013531372,6.6193824,48.163454,31.89701,-8.8614094,0.98179101,0.029401545,0.079884614,6.6193824,0.36805016,31.89701,0.25930143,0.17714985,3.3347517,0.15666643,7.7057935,21.285681,32.344876,-14.836236,0.0034342787,0.00019249368,0.18381143,25.727439,0.0010472345,3.8498156,0.0042172217,0.00057948971,6.5878709e-05,0.062982959,0.37348369,0.0010459767,0.27480196,0.0042101673,0.24330344,-0.77203188,-0.23416246,47.889812,3.2969926,-10.782,1.3059348,1.108534e-05,-3.3952094,-0.22366074,7.5749081,15.180176,32.090117,8.9612265,1.075202e-05,51.275371,0.20201524,25.727439,253.81932,3.8498156,212.99882,0.00015144826,-86.676988,-0.35315479,47.889812,245.43625,-10.782,207.88068,1.4319884e-11,2.5944787,0.18312945,25.727439,14.167458,3.8498156,8.2586094,0.00060793565,-5.2163622,-0.3698711,47.889812,14.10319,-10.782,8.1522587,1.2619043e-12,-2.1668515,-0.15364266,0.37348369,14.10319,0.27480196,8.1522587,0.0042306513,-8.4141949,-0.602075,21.142468,13.975327,-14.63759,8.1107053,1.550632e-39,-5.1228732,-0.34975184,0.0010776096,14.647166,0.0040821868,8.3635069,3.9039746e-14,-1.6218675,-0.1107291,3.5309442,14.647166,0.84213946,8.3635069,0.020025606,10205.467,277423.93,1.2214916,220.00308,1,0
1.2128962,0.098396429,6.5775225,12.326629,31.875345,3.372281,0.094434698,1.4161666,0.035123934,6.5907099,40.319133,31.846247,-10.707717,0.55273698,0.028335893,0.07309352,6.5907099,0.38766628,31.846247,0.28372223,0.21619907,3.2383671,0.1467516,7.6857778,22.066996,32.313742,-14.606598,0.0061690544,0.00012831895,0.12116999,21.102446,0.0010589994,3.355329,0.0041713767,0.02378406,0.00013341305,0.1269915,0.39727246,0.0010505667,0.30054465,0.0041607798,0.018117611,-1.0837492,-0.3244348,43.141021,3.3404222,-13.050186,1.1232038,6.3703407e-10,-3.2278568,-0.20681215,7.5552369,15.607675,32.05698,8.9401834,4.8606095e-05,54.950247,0.21543811,21.102446,255.06279,3.355329,204.68195,5.0744909e-05,-120.23812,-0.50338442,43.141021,238.85945,-13.050186,197.8791,1.2570957e-23,3.1964957,0.21946031,21.102446,14.565257,3.355329,8.2280746,3.6323212e-05,-4.9814706,-0.34688227,43.141021,14.360695,-13.050186,8.0261223,3.2185185e-11,-2.4758138,-0.17240208,0.39727246,14.360695,0.30054465,8.0261223,0.0012846005,-8.804801,-0.61955307,21.873734,14.211536,-14.477642,8.086021,2.1391969e-42,-5.0431603,-0.33660277,0.001067459,14.982528,0.0040502173,8.290913,3.5991061e-13,-1.2642494,-0.084381585,3.5406632,14.982528,0.73206109,8.290913,0.076368101,10125.543,277314.66,1.2219406,217.64521,1,1
0.59937988,0.062914906,6.1818075,9.5268342,31.72444,1.8341954,0.29067964,1.0592418,0.027470349,6.1538689,38.559458,31.656249,-10.551623,0.64657827,0.019682957,0.05671567,6.1538689,0.34704618,31.656249,0.23318565,0.34351004,2.9844458,0.14870404,7.6487048,20.069702,32.273961,-12.670994,0.0055116604,8.8328173e-05,0.080403846,16.57354,0.0010985566,1.981424,0.0041724536,0.13783882,6.6734179e-05,0.060597627,0.36369996,0.0011012672,0.26189471,0.0041737749,0.26587064,-1.0843055,-0.31371015,42.254099,3.4563928,-12.991522,1.144708,3.5394802e-09,-3.4051181,-0.21832432,7.5200491,15.596605,32.017172,8.6312352,1.7563144e-05,-5.3921581,-0.021625938,16.57354,249.33754,1.981424,218.95624,0.69024979,-136.44191,-0.55474788,42.254099,245.953,-12.991522,216.01882,9.4555508e-29,1.3374146,0.091746706,16.57354,14.577249,1.981424,8.1313553,0.090254491,-5.0780834,-0.3514883,42.254099,14.447375,-12.991522,8.0549653,2.7117925e-11,-2.0551202,-0.14224869,0.36369996,14.447375,0.26189471,8.0549653,0.0087222615,-9.1467565,-0.64949192,20.052386,14.082941,-12.781266,7.7867326,9.7524241e-48,-5.1910787,-0.34739932,0.0010871909,14.942685,0.0040423479,8.0647568,5.5449434e-14,-1.5618642,-0.10452366,3.5560545,14.942685,0.67691403,8.0647568,0.028000218,10105.87,277250.16,1.2206924,234.13304,1,2
0.65402214,0.076559924,6.1769423,8.5426175,31.677528,1.8083627,0.19830025,-1.9740457,-0.042497856,6.1488841,46.450477,31.625459,-9.7219875,0.47799006,-0.0034449868,-0.010341973,6.1488841,0.33310731,31.625459,0.23398759,0.86296986,2.6820866,0.14388199,7.6216863,18.640878,32.247151,-11.212869,0.0072630657,9.0978165e-05,0.082734009,18.16495,0.0010996465,1.0742442,0.0041590995,0.1267517,-1.0021909e-05,-0.0090843388,0.35373746,0.0011032074,0.2635881,0.0041583011,0.86764855,-1.2186338,-0.349919,47.163821,3.4826169,-12.089077,1.063385,3.3648106e-11,-3.786515,-0.24282059,7.4934681,15.593879,31.988958,8.5361887,1.6701158e-06,-25.925295,-0.10751853,18.16495,241.12398,1.0742442,210.70959,0.046939082,-107.24039,-0.45209992,47.163821,237.20506,-12.089077,207.78251,1.7591676e-18,1.4123001,0.10034638,18.16495,14.074251,1.0742442,7.8402828,0.063793991,-3.9599255,-0.2826672,47.163821,14.009144,-12.089077,7.7892183,1.1994835e-07,-3.1118646,-0.22213096,0.35373746,14.009144,0.2635881,7.7892183,3.6844525e-05,-8.8936471,-0.62277992,18.759657,14.280562,-11.389667,7.7281824,6.0578202e-43,-5.3011914,-0.35483398,0.0010903403,14.939921,0.004028257,7.9824191,1.46566e-14,-1.8670959,-0.12497361,3.5545773,14.939921,0.61488462,7.9824191,0.0085309802,10070.643,277192.07,1.2213656,227.01821,1,3
0.93101929,0.084326735,6.1496361,11.040618,31.656507,2.3087211,0.15564471,-2.5730358,-0.05502635,6.1876265,46.760066,31.626758,-9.7975943,0.35809844,0.0097888666,0.027300933,6.1876265,0.35855429,31.626758,0.25495535,0.64861147,2.8722362,0.15277735,7.5880226,18.800144,32.232637,-11.321024,0.0043387586,7.0734546e-05,0.064323809,19.798012,0.0010996635,2.2665073,0.0041351965,0.2347642,5.5010816e-05,0.050390225,0.37535451,0.0010916962,0.28414518,0.004120105,0.35571131,-0.92561586,-0.27054398,47.469089,3.4213139,-11.911682,0.94729882,4.4192918e-07,-4.0163763,-0.26053113,7.4719338,15.416109,31.972109,8.5572084,2.6844144e-07,17.084489,0.070354887,19.798012,242.83302,2.2665073,208.69766,0.19365394,-99.604748,-0.45291948,47.469089,219.91712,-11.911682,197.79537,1.685669e-18,1.1741674,0.083350295,19.798012,14.087142,2.2665073,8.041226,0.12338591,-4.0646618,-0.28857881,47.469089,14.085101,-11.911682,7.9018995,6.6218671e-08,-1.2613242,-0.089550242,0.37535451,14.085101,0.28414518,7.9018995,0.10026593,-8.992844,-0.63934229,19.004217,14.065774,-11.465272,7.6693471,5.6447561e-46,-5.5259612,-0.37369014,0.0010895554,14.787549,0.0040107649,8.0108524,4.6121878e-16,-2.2557789,-0.15254583,3.548736,14.787549,0.55119841,8.0108524,0.0013126693,10026.912,277131.02,1.2220993,219.47778,1,4
-0.25526282,-0.021331393,6.1324966,11.966533,31.685909,1.8859146,0.71896637,-2.4956398,-0.070350016,6.1582218,35.474615,31.657106,-10.226093,0.23728682,0.013655726,0.039875772,6.1582218,0.34245672,31.657106,0.2133359,0.50330351,3.193055,0.17709678,7.57133,18.030001,32.20728,-10.901362,0.00095438598,-0.00010946344,-0.099843847,17.070851,0.0010963464,0.83339275,0.0041189573,0.063965841,8.9942641e-05,0.082373856,0.36726944,0.0010918833,0.25326526,0.0041123862,0.12841869,-0.85789398,-0.25199731,37.634165,3.4043776,-11.724232,0.90203363,2.3634677e-06,-3.9251645,-0.25608803,7.4456405,15.327404,31.949307,8.4767583,4.4919085e-07,-29.26534,-0.12300992,17.070851,237.91041,0.83339275,205.0683,0.022301054,-108.96454,-0.49446118,37.634165,220.37026,-11.724232,197.97099,1.7320684e-22,1.4967959,0.10841244,17.070851,13.806496,0.83339275,7.8329942,0.044188515,-4.5387424,-0.32952276,37.634165,13.773684,-11.724232,7.7379501,4.1850282e-10,-2.1330001,-0.15486054,0.36726944,13.773684,0.25326526,7.7379501,0.0040953047,-8.6093652,-0.62196067,18.266115,13.842299,-10.973615,7.4544663,8.3567138e-43,-5.782694,-0.39666354,0.0010904023,14.578335,0.0039972142,7.8255393,4.5434946e-18,-2.7018689,-0.18533453,3.5346687,14.578335,0.48361791,7.8255393,9.0424051e-05,9993.0354,277066.97,1.2224451,216.33033,1,5
0.26780342,0.030881597,6.1198952,8.671942,31.6673,1.7914024,0.60236083,0.71252986,0.022426307,6.1294123,31.772055,31.660122,-10.162044,0.70569076,-0.00058766834,-0.0016308412,6.1294123,0.36034676,31.660122,0.24002054,0.97809343,2.6920258,0.15205982,7.5413091,17.703729,32.197642,-10.539186,0.0045862569,-5.207681e-05,-0.048695626,13.556961,0.0010694351,1.1951522,0.0040976983,0.36719841,5.4387284e-05,0.05084523,0.38522435,0.0010696634,0.27468302,0.0041005662,0.34710764,-0.97046845,-0.28864612,35.358191,3.3621393,-11.53977,0.85969331,5.0214395e-08,-3.7809337,-0.24387929,7.4260719,15.5033,31.928981,8.4053643,1.5986096e-06,-17.786918,-0.07772134,13.556961,228.855,1.1951522,201.7404,0.14971173,-107.63861,-0.46971935,35.358191,229.15516,-11.53977,201.53065,2.7924999e-20,1.7296903,0.12497657,13.556961,13.840117,1.1951522,7.594016,0.020231704,-4.638557,-0.33481249,35.358191,13.854193,-11.53977,7.6160917,1.8647808e-10,-1.7975894,-0.12975056,0.38522435,13.854193,0.27468302,7.6160917,0.016042711,-8.3655888,-0.60156629,17.952176,13.906346,-10.775796,7.4104761,1.4894372e-39,-6.265422,-0.42629302,0.0010694558,14.697454,0.0039780041,7.7020669,6.7256069e-21,-3.0456324,-0.20722177,3.4830361,14.697454,0.41522676,7.7020669,1.1491691e-05,9945.0103,276993.2,1.2229634,212.67382,1,6
1.5740946,0.13924541,6.4550775,11.304463,31.762694,3.5768564,0.017862187,-0.95441966,-0.033458362,6.4833296,28.525594,31.752769,-9.4827797,0.57308628,0.030359562,0.077685666,6.4833296,0.39080005,31.752769,0.27653484,0.1901922,2.4739949,0.11590489,7.5287823,21.345043,32.174493,-8.9116391,0.031375042,1.5515432e-05,0.014661312,16.678,0.0010582567,3.0123746,0.0040840859,0.78551503,5.5464371e-05,0.052455435,0.40830794,0.0010573618,0.30344787,0.0040927109,0.33203145,-0.64750735,-0.19461029,32.739819,3.3272,-11.103219,0.83768605,0.00028219182,-3.6200966,-0.23522899,7.4026643,15.38967,31.901847,8.3641541,3.777553e-06,29.455102,0.13422873,16.678,219.43963,3.0123746,200.76447,0.012324384,-113.53272,-0.5155363,32.739819,220.22256,-11.103219,200.5408,9.4503254e-25,2.2841624,0.16238963,16.678,14.065938,3.0123746,7.4869952,0.0024114813,-3.9166394,-0.27758287,32.739819,14.109802,-11.103219,7.5522888,1.6692015e-07,-2.3242197,-0.16472376,0.40830794,14.109802,0.30344787,7.5522888,0.0021765989,-6.8801157,-0.5043887,21.050884,13.640503,-9.1785646,7.452115,2.2878421e-26,-6.3081318,-0.43270427,0.001063223,14.57839,0.0039639789,7.6287269,1.5053806e-21,-3.072763,-0.21077519,3.4783041,14.57839,0.36390816,7.6287269,8.0457288e-06,9909.9473,276935.12,1.2232451,211.66576,1,7
0.61795291,0.052401904,6.4558781,11.792566,31.779718,3.8513702,0.37812095,-2.8966481,-0.081073839,6.4461161,35.728518,31.754913,-7.7730629,0.1715218,0.0027150921,0.0067916991,6.4644746,0.39976625,31.768467,0.30938577,0.90927563,-1.1757857,-0.050994836,7.4838953,23.056957,32.151838,16.982293,0.34428037,-2.295929e-06,-0.0021768734,15.710393,0.0010546911,3.6990977,0.0040951825,0.96795828,2.9852282e-06,0.0028374812,0.41154567,0.0010520698,0.33076002,0.0041002359,0.95830382,-0.91339091,-0.27928633,38.422082,3.2704461,-9.3981352,0.93729797,1.3920508e-07,-3.8064546,-0.24513896,7.3591348,15.527742,31.895992,9.2400408,1.4066244e-06,44.00268,0.20937581,15.710393,210.16124,3.6990977,198.83029,9.3476801e-05,-100.99845,-0.48092476,38.422082,210.00885,-9.3981352,199.67049,2.5939324e-21,2.9570784,0.20699558,15.710393,14.285708,3.6990977,8.3414292,0.00011268349,-3.3687665,-0.23618231,38.422082,14.263416,-9.3981352,8.3350913,9.5385514e-06,-1.0182717,-0.071210375,0.41154567,14.299485,0.33076002,8.3658194,0.18892776,-3.389476,-0.24268409,22.534794,13.966618,15.923813,8.2562006,1.357635e-06,-6.6887247,-0.45177254,0.0010596834,14.805514,0.003978503,8.4279214,1.6235577e-23,-3.3960187,-0.22937526,3.4277993,14.805514,0.48725341,8.4279214,1.15788e-06,9946.2575,277040.74,1.2235498,208.06327,1,8
