SWC1_LE,SWC1_LE_R,SWC1_LE_SSD,SWC1_LE_TSD,SWC1_LE_SM,SWC1_LE_TM,SWC1_LE_pval,SWC1_H,SWC1_H_R,SWC1_H_SSD,SWC1_H_TSD,SWC1_H_SM,SWC1_H_TM,SWC1_H_pval,SWC1_EF,SWC1_EF_R,SWC1_EF_SSD,SWC1_EF_TSD,SWC1_EF_SM,SWC1_EF_TM,SWC1_EF_pval,SWC1_NETRAD,SWC1_NETRAD_R,SWC1_NETRAD_SSD,SWC1_NETRAD_TSD,SWC1_NETRAD_SM,SWC1_NETRAD_TM,SWC1_NETRAD_pval,LE_QA,LE_QA_R,LE_QA_SSD,LE_QA_TSD,LE_QA_SM,LE_QA_TM,LE_QA_pval,EF_QA,EF_QA_R,EF_QA_SSD,EF_QA_TSD,EF_QA_SM,EF_QA_TM,EF_QA_pval,H_TA,H_TA_R,H_TA_SSD,H_TA_TSD,H_TA_SM,H_TA_TM,H_TA_pval,SWC1_LCL,SWC1_LCL_R,SWC1_LCL_SSD,SWC1_LCL_TSD,SWC1_LCL_SM,SWC1_LCL_TM,SWC1_LCL_pval,LE_PBLH,LE_PBLH_R,LE_PBLH_SSD,LE_PBLH_TSD,LE_PBLH_SM,LE_PBLH_TM,LE_PBLH_pval,H_PBLH,H_PBLH_R,H_PBLH_SSD,H_PBLH_TSD,H_PBLH_SM,H_PBLH_TM,H_PBLH_pval,LE_LCL,LE_LCL_R,LE_LCL_SSD,LE_LCL_TSD,LE_LCL_SM,LE_LCL_TM,LE_LCL_pval,H_LCL,H_LCL_R,H_LCL_SSD,H_LCL_TSD,H_LCL_SM,H_LCL_TM,H_LCL_pval,EF_LCL,EF_LCL_R,EF_LCL_SSD,EF_LCL_TSD,EF_LCL_SM,EF_LCL_TM,EF_LCL_pval,NETRAD_LCL,NETRAD_LCL_R,NETRAD_LCL_SSD,NETRAD_LCL_TSD,NETRAD_LCL_SM,NETRAD_LCL_TM,NETRAD_LCL_pval,QA_LCL,QA_LCL_R,QA_LCL_SSD,QA_LCL_TSD,QA_LCL_SM,QA_LCL_TM,QA_LCL_pval,TA_LCL,TA_LCL_R,TA_LCL_SSD,TA_LCL_TSD,TA_LCL_SM,TA_LCL_TM,TA_LCL_pval,ME_MEAN,TE_MEAN,DEN_MEAN,PBLH_MEAN,month,sub-daily
-4.8392923,-0.23261953,1.4830002,20.803465,11.643323,81.062452,0.1004507,-10.639001,-0.56799286,1.5614589,18.730871,11.754757,32.457844,9.1656605e-06,0.11745204,0.53160051,1.4830002,0.22094042,11.643323,0.55662619,5.9663967e-05,-12.481825,-0.30900139,1.5614589,40.394076,11.754757,148.11213,0.024364597,-0.00023393762,-0.40091947,20.803465,0.00058350276,81.062452,0.01533875,0.0035506693,3.1057543e-05,0.053226043,0.22094042,0.00058350276,0.55662619,0.01533875,0.71067497,1.0099963,0.75153953,18.730871,1.343903,32.457844,22.326462,8.9173696e-11,-136.84257,-0.62030833,1.5614589,220.60411,11.754757,433.08806,7.2675053e-07,25.619325,0.22889122,20.803465,111.92795,81.062452,498.45731,0.1061774,11.746936,0.10503026,18.730871,111.84334,32.457844,494.38301,0.45417502,121.33405,0.56239028,20.803465,215.74706,81.062452,445.30996,1.7467521e-05,166.47326,0.75462447,18.730871,220.60411,32.457844,433.08806,6.7560436e-11,-73.031247,-0.33850402,0.22094042,215.74706,0.55662619,445.30996,0.015112359,144.33157,0.65425602,40.394076,220.60411,148.11213,433.08806,1.0777955e-07,-165.19644,-0.74883664,0.00059341968,220.60411,0.015369243,433.08806,1.133507e-10,209.279,0.94866316,1.343903,220.60411,22.326462,433.08806,3.7345428e-27,38423.106,306950.27,1.0542856,494.38301,1,daily
8.7497481,0.25521136,1.7576286,34.28432,11.77357,21.406097,0.0736594,-1.0794471,-0.11227976,1.7626959,9.6139061,11.877745,-16.977616,0.42344811,0.10297453,0.18249056,1.7576286,0.5642732,11.77357,0.38588554,0.20463799,11.387351,0.53975646,1.7626959,21.097203,11.877745,-26.276886,3.0334662e-05,3.2388143e-05,0.041973912,34.28432,0.00077162556,21.406097,0.015417347,0.77225923,-5.9438276e-05,-0.077029947,0.5642732,0.00077162556,0.38588554,0.015417347,0.59493487,-0.089580556,-0.066412452,9.6139061,1.3488518,-16.977616,20.446708,0.63658191,-120.89802,-0.67667003,1.7626959,178.66613,11.877745,187.12108,2.6656631e-08,-0.95222549,-0.0023578166,34.28432,403.85902,21.406097,218.60674,0.98703447,21.652768,0.055127238,9.6139061,392.77803,-16.977616,212.83801,0.69501325,-6.4717249,-0.036093716,34.28432,179.30337,21.406097,196.85787,0.80347923,-26.734317,-0.14963282,9.6139061,178.66613,-16.977616,187.12108,0.28488834,3.138911,0.017506147,0.5642732,179.30337,0.38588554,196.85787,0.90395607,-126.71195,-0.7092108,21.097203,178.66613,-26.276886,187.12108,2.7862597e-09,-67.766466,-0.37929106,0.00075734925,178.66613,0.015438831,187.12108,0.0050955294,149.89149,0.83894744,1.3488518,178.66613,20.446708,187.12108,4.3964169e-15,38597.078,304948.93,1.07994,212.83801,1,0
9.4758152,0.27909127,1.7833932,33.952388,11.78861,17.912629,0.049674921,-1.2863928,-0.1075407,1.7768026,11.961916,11.882594,-16.886092,0.44339896,0.1030864,0.22343853,1.7833932,0.46136359,11.78861,0.22835144,0.11881181,11.48397,0.51529619,1.7768026,22.286153,11.882594,-26.273586,7.8696712e-05,8.4629029e-05,0.11729052,33.952388,0.00072153339,17.912629,0.015339194,0.41725218,6.2375865e-05,0.086449035,0.46136359,0.00072153339,0.22835144,0.015339194,0.55054406,-0.11970418,-0.091040803,11.961916,1.314841,-16.886092,20.146925,0.51677075,-99.739084,-0.59813892,1.7768026,166.74903,11.882594,159.97818,2.247299e-06,5.8009301,0.014305249,33.952388,405.51059,17.912629,223.21312,0.92145594,58.324486,0.14804634,11.961916,393.961,-16.886092,220.2569,0.29008429,-9.1332947,-0.054296907,33.952388,168.21022,17.912629,168.10835,0.70803034,-17.658355,-0.1058978,11.961916,166.74903,-16.886092,159.97818,0.45043501,-8.2294214,-0.048923433,0.46136359,168.21022,0.22835144,168.10835,0.7358205,-110.8947,-0.66503956,22.286153,166.74903,-26.273586,159.97818,5.585202e-08,-51.072805,-0.30628548,0.0007096568,166.74903,0.015363734,159.97818,0.025712348,140.77555,0.8442361,1.314841,166.74903,20.146925,159.97818,2.0069796e-15,38409.335,304677.42,1.0794507,220.2569,1,1
13.160357,0.34110251,2.1052244,38.581824,11.90893,17.978192,0.0153444,0.30551011,0.035404233,2.0713594,8.6291974,11.987887,-16.575912,0.80128878,0.18349036,0.37106661,2.1052244,0.4944944,11.90893,0.26734348,0.0079798164,11.557299,0.52243414,2.0713594,22.122021,11.987887,-25.322988,6.003568e-05,4.598112e-05,0.071646944,38.581824,0.00064177363,17.978192,0.015407708,0.62099352,2.8922991e-06,0.0045067279,0.4944944,0.00064177363,0.26734348,0.015407708,0.9752205,-0.35851151,-0.34721807,8.6291974,1.0325255,-16.575912,19.84316,0.01085587,-62.181858,-0.55291254,2.0713594,112.46238,11.987887,114.42436,1.7604696e-05,49.81021,0.32869219,38.581824,151.54059,17.978192,178.40116,0.01977518,6.4823746,0.043871215,8.6291974,147.75918,-16.575912,179.2735,0.75510009,-0.48225873,-0.0042537387,38.581824,113.37291,17.978192,119.93828,0.97661112,-44.971617,-0.39988144,8.6291974,112.46238,-16.575912,114.42436,0.0030109181,-27.294166,-0.24074681,0.4944944,113.37291,0.26734348,119.93828,0.092152483,-75.456295,-0.67094701,22.122021,112.46238,-25.322988,114.42436,3.8517461e-08,-17.331837,-0.15411231,0.00062743659,112.46238,0.015424716,114.42436,0.27054886,88.170551,0.78400043,1.0325255,112.46238,19.84316,114.42436,3.8532813e-12,38561.789,304392.39,1.0821677,179.2735,1,2
5.8701534,0.11606945,2.0128303,50.574492,11.84534,18.514307,0.42215128,-1.0045054,-0.083389814,1.9838376,12.0459,11.925481,-14.42586,0.55274868,0.11758187,0.23751,2.0128303,0.49506072,11.84534,0.28588563,0.096747305,10.493912,0.47852961,1.9838376,21.929493,11.925481,-24.244278,0.00028964149,9.092106e-06,0.013714557,50.574492,0.00066295295,18.514307,0.015362118,0.92468964,2.2482122e-05,0.033912093,0.49506072,0.00066295295,0.28588563,0.015362118,0.81514273,-0.014735803,-0.014509055,12.0459,1.0156281,-14.42586,19.771245,0.91787236,-63.418156,-0.46753896,1.9838376,135.64251,11.925481,112.01571,0.00041589163,31.217756,0.18577708,50.574492,168.03879,18.514307,194.86503,0.19646288,-28.101328,-0.17174652,12.0459,163.62095,-14.42586,192.56725,0.21881676,20.101528,0.14568776,50.574492,137.97678,18.514307,116.86315,0.31272958,-17.323696,-0.12771584,12.0459,135.64251,-14.42586,112.01571,0.36210882,4.5948314,0.033301484,0.49506072,137.97678,0.28588563,116.86315,0.81841444,-83.291196,-0.61404938,21.929493,135.64251,-24.244278,112.01571,1.0083522e-06,-55.100511,-0.40621861,0.0006501002,135.64251,0.015376291,112.01571,0.0025436044,107.4981,0.79251045,1.0156281,135.64251,19.771245,112.01571,1.545145e-12,38440.728,304327.25,1.0811894,192.56725,1,3
8.768397,0.16042813,1.7977476,54.656233,11.810431,19.86037,0.26076459,-3.6224468,-0.38873633,1.7996397,9.3185188,11.87366,-14.833181,0.0040193059,0.11041823,0.22361715,1.7977476,0.49378247,11.810431,0.27071659,0.11470262,10.270268,0.48445243,1.7996397,21.199745,11.87366,-23.082734,0.00023712288,-2.7331309e-05,-0.042736957,54.656233,0.00063952399,19.86037,0.015297987,0.7658767,-3.5579834e-06,-0.005563487,0.49378247,0.00063952399,0.27071659,0.015297987,0.96909247,0.085326719,0.10231106,9.3185188,0.83399311,-14.833181,19.496283,0.46600704,-38.895863,-0.48546829,1.7996397,80.120297,11.87366,84.486254,0.00022904018,48.335369,0.28443385,54.656233,169.93536,19.86037,208.53126,0.043083349,-27.182706,-0.16261174,9.3185188,167.16324,-14.833181,209.06596,0.24468128,19.522873,0.24353595,54.656233,80.164236,19.86037,87.523544,0.085049223,-9.1677141,-0.11442436,9.3185188,80.120297,-14.833181,84.486254,0.41458996,9.2031238,0.11480336,0.49378247,80.164236,0.27071659,87.523544,0.42244184,-47.532729,-0.59326701,21.199745,80.120297,-23.082734,84.486254,2.8479129e-06,-15.363354,-0.19175358,0.00064161869,80.120297,0.015321458,84.486254,0.16897584,49.643179,0.61960803,0.83399311,80.120297,19.496283,84.486254,7.5414164e-07,38303.645,304033.67,1.0805529,209.06596,1,4
8.3884339,0.30518291,1.7515584,27.486578,11.833069,12.9528,0.029431796,-3.8464335,-0.27986411,1.7533748,13.743933,11.895566,-13.536821,0.042395826,0.17079429,0.36851515,1.7515584,0.46346613,11.833069,0.25454357,0.0077945487,10.953965,0.53227743,1.7533748,20.579428,11.895566,-22.066038,4.0919719e-05,-1.4703401e-05,-0.023925836,27.486578,0.00061454072,12.9528,0.015212444,0.86764349,-1.0351178e-05,-0.016843763,0.46346613,0.00061454072,0.25454357,0.015212444,0.90661069,0.24139731,0.29381435,13.743933,0.8215981,-13.536821,19.360245,0.032730432,-37.570438,-0.46883918,1.7533748,80.135021,11.895566,77.565748,0.00039871846,86.105442,0.49217176,27.486578,174.94999,12.9528,221.45124,0.00024411759,-24.367663,-0.141613,13.743933,172.07222,-13.536821,222.04137,0.31178503,-4.7449746,-0.058945889,27.486578,80.497126,12.9528,80.271416,0.68116096,22.604103,0.28207521,13.743933,80.135021,-13.536821,77.565748,0.040723856,-5.6462081,-0.070141735,0.46346613,80.497126,0.25454357,80.271416,0.62477295,-50.808969,-0.634042,20.579428,80.135021,-22.066038,77.565748,3.4526838e-07,-15.051728,-0.18782959,0.00061737179,80.135021,0.015238212,77.565748,0.17803301,51.028264,0.63677857,0.8215981,80.135021,19.360245,77.565748,2.9637957e-07,38095.531,303865.75,1.0801581,222.04137,1,5
6.6530841,0.29284883,1.9183553,22.718493,11.805,14.174623,0.041148505,-3.3849015,-0.46667689,1.9692217,7.2532014,11.987821,-15.706252,0.00042764406,0.054925131,0.10414644,1.9183553,0.52738364,11.805,0.31371024,0.47637482,7.994817,0.44259591,1.9692217,18.063468,11.987821,-6.6175162,0.00090496588,-3.3848917e-05,-0.063772396,22.718493,0.00053077693,14.174623,0.01523366,0.66332563,2.474656e-05,0.046623278,0.52738364,0.00053077693,0.31371024,0.01523366,0.75040086,0.10017196,0.13207929,7.2532014,0.75842291,-15.706252,19.34233,0.34580252,-35.408453,-0.49487531,1.9692217,71.550252,11.987821,73.955076,0.0001652647,76.36085,0.43321777,22.718493,176.26435,14.174623,229.9552,0.0018753033,-63.2748,-0.3598041,7.2532014,175.85903,-15.706252,235.54704,0.008139668,-2.1795625,-0.029847488,22.718493,73.023315,14.174623,77.23063,0.83867856,-4.9173056,-0.068725203,7.2532014,71.550252,-15.706252,73.955076,0.6248591,11.549537,0.15816232,0.52738364,73.023315,0.31371024,77.23063,0.27774242,-36.143866,-0.50515357,18.063468,71.550252,-6.6175162,73.955076,0.00011443219,-7.6090772,-0.10634592,0.00053448776,71.550252,0.0152367,73.955076,0.44850979,48.814473,0.6822404,0.75842291,71.550252,19.34233,73.955076,1.8483534e-08,38091.75,303794.54,1.0798208,235.54704,1,6
-3.4320729,-0.18618152,2.124964,18.434015,11.847958,33.990464,0.20515024,-12.669915,-0.57053765,2.2262036,22.206975,12.115811,2.861272,8.1836071e-06,-0.055898529,-0.13625035,2.124964,0.41026339,11.847958,0.79420892,0.355797,-11.745385,-0.26049467,2.2262036,45.088774,12.115811,80.107894,0.059581644,0.00010431349,0.17784005,18.434015,0.00058655794,33.990464,0.015505481,0.22654685,6.7151929e-05,0.11448473,0.41026339,0.00058655794,0.79420892,0.015505481,0.43844702,0.74269442,0.65085587,22.206975,1.1411043,2.861272,20.110047,1.3188998e-07,-70.107636,-0.57119836,2.2262036,122.73781,12.115811,133.40182,7.9450884e-06,-35.548581,-0.21197888,18.434015,167.69869,33.990464,261.81434,0.14806058,-48.996967,-0.29249665,22.206975,167.51291,2.861272,271.78739,0.033557036,78.220744,0.62586215,18.434015,124.98079,33.990464,142.83723,1.9646031e-06,74.081824,0.60357786,22.206975,122.73781,2.861272,133.40182,1.7171273e-06,5.7882918,0.046313453,0.41026339,124.98079,0.79420892,142.83723,0.7546007,52.179611,0.4251307,45.088774,122.73781,80.107894,133.40182,0.0015076239,-3.1983305,-0.026058233,0.00058104364,122.73781,0.015512183,133.40182,0.85306074,104.64578,0.85259611,1.1411043,122.73781,20.110047,133.40182,5.4656523e-16,38780.457,304541.65,1.0762246,271.78739,1,7
-10.064203,-0.17480276,1.8264052,57.574625,11.641043,93.54776,0.23991782,-20.423857,-0.48306578,2.1223845,42.279659,12.033962,36.658162,0.00024857482,-0.027810635,-0.11251884,1.8264052,0.24716426,11.641043,0.73402284,0.4514411,-30.404999,-0.29062566,2.1223845,104.61911,12.033962,201.45342,0.034760424,6.8063967e-06,0.011284107,57.574625,0.00060318434,93.54776,0.015655383,0.9399926,0.00015544197,0.25770227,0.24716426,0.00060318434,0.73402284,0.015655383,0.080322769,1.225788,0.74214414,42.279659,1.6516846,36.658162,21.336443,2.0269488e-10,-121.6156,-0.59698007,2.1223845,203.71803,12.033962,266.13795,2.3783866e-06,-18.903001,-0.13512562,57.574625,139.89206,93.54776,353.3675,0.36515155,-42.061224,-0.28795879,42.279659,146.06682,36.658162,366.78809,0.036537312,149.20133,0.73010644,57.574625,204.35559,93.54776,288.6813,5.7576174e-09,157.55798,0.77341207,42.279659,203.71803,36.658162,266.13795,1.1361935e-11,-39.811142,-0.19481309,0.24716426,204.35559,0.73402284,288.6813,0.18944558,140.12667,0.68784621,104.61911,203.71803,201.45342,266.13795,1.2682868e-08,-32.290039,-0.15850359,0.00059951627,203.71803,0.015667234,266.13795,0.25696579,189.8623,0.93198577,1.6516846,203.71803,21.336443,266.13795,3.9790589e-24,39168.084,305777.52,1.0672498,366.78809,1,8
