time,hoy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,EF_DV,LCL_DV,QA_DV,ME_DV,PBLH_ERA5
2017-01-01 00:00:00,1,-1.2665,0,278.7965,0.3705,-9999,-9999,-9999,-9999,-9999,-9999,-9999,418.4335,-9999,-9999,-9999,-9999,-0.1034075,-6.436925,0.015810741,116.82763,-9999,-9999,269.79932
2017-01-01 01:00:00,2,-1.2575,0,279.2295,0.368,-9999,-9999,-9999,-9999,-9999,-9999,-9999,418.567,-9999,-9999,-9999,-9999,-0.100981,-6.42434,0.015475254,115.94459,-9999,-9999,268.75562
2017-01-01 02:00:00,3,-4.6435,0,288.1545,0.168,101.5,0,2.29,0.2797115,-9999,-9999,-9999,428.0715,-9999,-9999,-9999,-9999,0.5993975,-2.86136,0,65.367741,0.0025575875,276243,271.41211
2017-01-01 03:00:00,4,-4.7245,0,288.554,0.1695,101.45,0,2.4345,0.239472,-9999,-9999,-9999,428.6895,-9999,-9999,-9999,-9999,0.407246,33.0098,0.012186774,66.328517,0.0025416851,276121.84,270.74805
2017-01-01 04:00:00,5,-4.765,0,288.3065,0.1705,101.35,0,2.441,0.248625,-9999,-9999,-9999,428.918,-9999,-9999,-9999,-9999,-0.9229505,6.56693,0,66.912288,0.0025354852,276065.64,278.14819
2017-01-01 05:00:00,6,-4.8685,0,287.967,0.1735,101.3,0,2.5615,-9999,-9999,-9999,-9999,432.0845,-9999,-9999,-9999,-9999,-0.810368,-14.92335,0.051505181,68.596553,0.002514291,275908.64,286.02271
2017-01-01 06:00:00,7,-4.838,0,288.284,0.1725,101.2,0,3.0035,0.312815,-9999,-9999,-9999,430.2855,-9999,-9999,-9999,-9999,0.0723945,2.55285,0.027576289,68.051331,0.0025234574,275962.2,309.2666
2017-01-01 07:00:00,8,-4.799,0,288.3625,0.172,101.15,0,3.2305,0.286515,-9999,-9999,-9999,424.484,-9999,-9999,-9999,-9999,0.324207,6.88421,0.044976172,67.669271,0.002532788,276024.72,311.63843
2017-01-01 08:00:00,9,-4.8365,0.507,288.339,0.1725,101.1,0,3.166,0.3029965,-9999,-9999,-9999,422.4275,-9999,-9999,-9999,-9999,-1.346225,6.834475,0,68.044332,0.0025262559,275970.71,306.13574
2017-01-01 09:00:00,10,-4.6755,7.6825,288.466,0.169,101.1,0,3.257,-9999,-9999,-9999,-9999,422.964,-9999,-9999,-9999,-9999,2.5126865,27.585015,0.083484332,65.907928,0.0025606555,276218.51,301.77148
